;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
augustus;°Â¹ÅË¹¶¼;Augustus;Augustus;;Augustus;;;;;;;;;x
augustus_desc;Õâ¸öÈËÎïÊÇÏÖÈÎÂŞÂíµÛ¹úµÄÍ³ÖÎÕß£¬ÀíÓ¦µÃµ½·ûºÏÆäÉí·İµÄ×ğÖØ¡£;Ce personnage est l'actuel Empereur de l'Empire romain restaur? La grandeur de sa fonction impose le respect ?tous.;Dieser Charakter ist der gegenwärtige Herrscher des wiederhergestellten Römischen Reiches und verlangt den Respekt	der einem Amt solcher Größe gebührt.;;Este personaje es el gobernante actual del restaurado Imperio Romano e inspira el respeto que se debe a un cargo con tal magnitud.;;;;;;;;;x
blinded;ÖÂÃ¤;La vue lui a ét?ôtée;Geblendet;;Cegado;;;;;;;;;x
blinded_desc;Õâ¸öÈËÎïÒÑ¾­±»ÖÂÃ¤¶øÓÀ¾ÃÊ§Ã÷¡£;Ce personnage a ét?aveugl?;Dieser Charakter wurde seines Augenlichts beraubt und kann nicht sehen.;;Este personaje ha sido permanentemente cegado y no puede ver.;;;;;;;;;x
born_in_the_purple;×ÏÒÂ¹ó×å;N?dans la pourpre;Purpurgeboren;;Nacido en la púrpura;;;;;;;;;x
born_in_the_purple_desc;Õâ¸ö½ÇÉ«ÉúÓÚ×ÏÊÒ¡ª¡ª×ÖÃæÒâË¼¾ÍÊÇ'³öÉúÓÚ×ÏÉ«µÄ·¿¼ä'¡£ÕâÊÇÒ»¸ö×¨ÊôÓÚÔÚÎ»»ÊµÛ»òÅ®»Ê½µÉúÓÚ»Ê¹¬×ÏÉ«ÇŞ¹¬µÄ×ÓÅ®µÄÈÙÓş¡£ËûÃÇµÄ¼Ì³ĞÈ¨ÒªÓÅÏÈÓÚ¸¸Ä¸µÇ»ùÒÔÇ°¾Í³öÉúµÄĞÖ³¤ÃÇ¡£;Ce personnage est un porphyrogénète - littéralement? 'n?dans la pourpre'. C'est un honneur confér?seulement aux enfants nés dans la chambre pourpre d'un palais impérial et issus d'un basileus ou d'une basilissa. Leur prétention ?la succession est plus forte que celle de leurs aînés nés avant que leurs parents ne deviennent empereurs.;Dieser Charakter ist porphyrogennetos ?sprichwörtlich purpurgeboren. Diese Ehre wird nur den Kindern eines regierenden Basileus oder einer regierenden Basilissa der Porphyra des Kaiserpalastes zuteil. Ihr Erbfolge-Anspruch ist stärker als der älterer Ges;;Este personaje es porphyrogennetos - literalmente "nacido en la púrpura". Es un honor otorgado sólo a los niños nacidos para reinar Brasileirus o Basileia en la Cámara Púrpura del Palacio Imperial. Su derecho de sucesión es más fuerte que el de sus hermanos mayores nacidos antes de que sus padres ascendieran al trono.;;;;;;;;;x
claim_constantinople;Ë÷Òª¾ıÊ¿Ì¹¶¡±¤;Revendiquer Constantinople;Konstantinopel beanspruchen;;Constantinopla reivindica.;;;;;;;;;x
claim_constantinople_desc;×÷ÎªÂŞÂíµÛ¹ú[Root.GetTitle]µÛ¶¼Ó¦¸Ã´¦ÓÚÄãµÄÍ³ÖÎÖ®ÏÂ¡£;En tant que [Root.GetTitle] romain	vous devriez régner sur la Cit?impériale.;Als römischer [Root.GetTitle] sollte die kaiserliche Stadt durch Euch regiert werden.;;Como el romano [Root.GetTitle]	la Ciudad Imperial debe ser tuya y t?debes gobernarla.;;;;;;;;;x
deploy_fleet;Ò»Ö§µÛ¹úÌØÇ²½¢¶ÓÔÚºÚº£ÉÏÓÎß®ÒÔËÑ²¶º£µÁ¡£;Un groupe naval impérial recherche des pirates en mer Noire.;Ein kaiserliches Einsatzkommando ist im Schwarzen Meer auf der Jagd nach Piraten. ;;Una  fuerza de imperial merodea el Mar Negro en busca de los piratas.;;;;;;;;;x
eunuch;»Â¹Ù;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
eunuch_declined;Äã¾Ü¾øÁËÀ¡Ôù¡£;Vous déclinez l'offre.;Ihr lehnt das Geschenk ab.;;Tu rechazas el regalo.;;;;;;;;;x
eunuch_desc;Õâ¸öÈËÎïÒÑ¾­±»ÑË¸î³ÉÁËÒ»¸ö»Â¹Ù¡£;Ce personnage a ét?castr?et est donc un eunuque.;Dieser Charakter wurde kastriert und ist ein Eunuch.;;Este personaje ha sido castrado y es un eunuco.;;;;;;;;;x
eunuch_offer;ÉÌÈË¼ÌĞø½²ËûµÄ¹ÊÊÂ¡£;Le marchand continue ses histoires.;Der Kaufmann fährt mit seiner Geschichte fort.;;El comerciante continúa sus cuentos.;;;;;;;;;x
EVTDESCLoR.1;¹ÅÀÏµÄĞğÀûÑÇ°ÍÀÕË¹Ì¹ĞĞÊ¡ÖÕÓÚÒÑ¾­´ÓÒ°ÂùÈËµÄÕÆ¿ØÖĞ½â·Å£¬ÖØ¹éÂŞÂíµÛ¹ú¡£Ò»ÏîÊ¢´óµÄ¿­ĞıÊ½½«ÎªÍê³É´Ë´Î×³¾ÙµÄÓ¢ĞÛÃÇ¾ÙĞĞ.ËûÃÇµÄĞÕÃû½«ÓÀÔ¶»ØÏì£¡;La totalit?de l'ancienne province de Syrie-Palestine a enfin ét?libérée des griffes cruelles des barbares et a réintégr?l'Empire romain. Un grand triomphe sera réserv??ces héros qui ont réalis?cet exploit avec courage. Que leurs noms résonnent ?travers l'éternité !;Die gesamte altertümliche Provinz Syria Palaestina wurde endlich aus dem Würgegriff der berüchtigten Barbaren befreit und zum Römischen Reich zurückgeführt. Ein gewaltiger Triumphzug wird zu Ehren der tapferen Helden gehalten	die dies vollbracht haben. M;;Todas las partes de la antigua provincia de Siria Palestina finalmente han sido liberadas de las garras terribles de los bárbaros y devueltas a Imperum Romanum. Los valientes héroes que efectuaron esta hazaña obtendrán un gran triunfo. Que sus nombres hagan eco por toda la eternidad!;;;;;;;;;x
