#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
INSULT_PIGFACE;ÖíÍ·;de face de cochon;Schweinegesicht;;caracerdo;;;;;;;;;x
IDLE;¿ÕÏĞ;§GAttend nos ordres?;Untätig;;holgazán;;;;;;;;;x
ISNT_WICKED;²»ÊÇĞ°¶ñµÄ;N'est pas une mauvaise personne;Ist nicht ruchlos;;No es malvado;;;;;;;;;x
IS_WICKED;Ğ°¶ñµÄ;Est une mauvaise personne;Ist ruchlos;;Es malvado;;;;;;;;;x
ISNT_VIRTOUS;²»ÉÆµÄ;N'est pas une personne vertueuse;Ist nicht tugendhaft;;No es virtuoso;;;;;;;;;x
IS_VIRTOUS;ÉÆÁ¼µÄ;Est une personne vertueuse;Ist tugendhaft;;Es virtuoso;;;;;;;;;x
ISNT_NEUTRAL;·ÇÖĞÁ¢;N'est pas neutre;Ist nicht neutral;;No es neutral;;;;;;;;;x
IS_NEUTRAL;ÖĞÁ¢;Est neutre;Ist neutral;;Es neutral;;;;;;;;;x
#SUCCESSION_DESC;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Long live $NEW_TITLE$ $NEW_NAME$!;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$. Votre pr¨¦d¨¦cesseur [GetDeathReason], ¨¤l'age de [GetAgeYears] ans. $DEATH_TRAIT_DESC$. Longue vie ¨¤$NEW_NAME$, d¨¦sormais notre $NEW_TITLE$?!;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ im Alter von [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Lang lebe $NEW_TITLE$ $NEW_NAME$!;;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ a los [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. ?Viva $NEW_TITLE$ $NEW_NAME$!;;;;;;;;;x;
SM_EFFECT_VOLUME;ÒôĞ§ÒôÁ¿;Effets;Effekte;;Efecto;;;;;;;;;x
SM_MASTER_VOLUME;Ö÷ÒôÁ¿;Principal;Hauptlautstärke;;Principal;;;;;;;;;x
SM_MUSIC_VOLUME;ÒôÀÖ;Musique;Musik;;Música;;;;;;;;;x
SM_DEATH_SOUND;ÈËÎïËÀÍöÒôĞ§;Sons des décès;Sterbegeräusche;;Sonidos de Muerte;;;;;;;;;x
ReapersDLC;ËÀÉñË÷Ãü;Notre d??la Faucheuse;Reaper's Due;;El trabajo del Segador;;;;;;;;;x
INSULT_OCCULTIST;ÉñÃØÑ§¼Ò;d'occultiste;Okkultist;;ocultista;;;;;;;;;x
INSULT_CORRUPT;¸¯»¯;corrompu;korrupt;;corrupto;;;;;;;;;x
release_tributary;ÊÍ·Å¸½Êô;Libérer le pays tributaire;Tributpflichtiges Reich entlassen;;Liberar tributario;;;;;;;;;x
release_tributary_desc;Äã¿ÉÒÔÑ¡Ôñ²»ÔÙ±£»¤ÏòÄãĞ§ÖÒµÄ¸½Êô¡£Õâ»á½µµÍÄãµÄÍşÍû£¬µ«Äã½«ÄÜ¹»ÔÙ´Î¹¥´òËûÃÇ;Vous pouvez choisir de ne plus protéger un de vos pays tributaires. Le faire diminuera votre prestige, mais il sera possible de l'attaquer ?nouveau.;Ihr könnt den Schutz von tributpflichtigen Reichen, die Euch die Treue geschworen haben, einstellen. Dadurch verliert Ihr zwar an Prestige, Ihr könnt sie dann jedoch wieder angreifen.;;Puedes elegir dejar de proteger los reinos tributarios que te juraron lealtad. Hacerlo dañar?tu prestigio pero te permitir?volver a atacarlo.;;;;;;;;;x
employ_court_physician;¹ÍÓ¶¹¬Í¢Ò½Ê¦;Embaucher un physicien de la Cour;Hofarzt anheuern;;Contratar Médico de la corte;;;;;;;;;x
