;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RD_APPEARANCE;ÍâÃ²;Apparence;Aussehen;;Apariencia;;;;;;;;;x
RD_COAT_OF_ARMS;¶Ü»Õ;Écu;Wappen;;Escudo de Armas;;;;;;;;;x
RD_ATTRIBUTES;ÄÜÁ¦;Attributs;Attribute;;Atributos;;;;;;;;;x
RD_ETHNICITY;ÖÖ×å;Ethnie;Ethnie;;Etnicidad;;;;;;;;;x
RD_EYES;ÑÛ¾¦;Yeux;Augen;;Ojos;;;;;;;;;x
RD_NOSE;±Ç×Ó;Nez;Nase;;Nariz;;;;;;;;;x
RD_MOUTH;×ì°Í;Bouche;Mund;;Boca;;;;;;;;;x
RD_CHIN;ÏÂ°Í;Menton;Kinn;;Mentón;;;;;;;;;x
RD_NECK;¾±²¿;Cou;Hals;;Cuello;;;;;;;;;x
RD_CHEEKS;Á³¼Õ;Joues;Wangen;;Carrillos;;;;;;;;;x
RD_EARS;¶ú¶ä;Oreilles;Ohren;;Orejas;;;;;;;;;x
RD_EYE_COLOR;Í«É«;Couleur des yeux;Augenfarbe;;Color de Ojos;;;;;;;;;x
RD_HAIRSTYLE;·¢ĞÍ;Coiffure;Frisur;;Peinado;;;;;;;;;x
RD_HAIR_COLOR;·¢É«;Couleur;Haarfarbe;;Color de Pelo;;;;;;;;;x
RD_BEARD;ºúĞë;Barbe;Bart;;Barba;;;;;;;;;x
RD_VISUALIZE;Ğ¤Ïñ;Visualiser;Visualisieren;;Visualizar;;;;;;;;;x
RD_CLOTHES;·şÊÎ;Habits;Kleidung;;Ropajes;;;;;;;;;x
RD_HEADGEAR;Í·ÊÎ;Couvre-chef;Kopfbedeckung;;Corona;;;;;;;;;x
RD_AGE;ÄêÁä;Âge;Alter;;Edad;;;;;;;;;x
RD_BACKGROUND;±³¾°;Décor;Hintergrund;;Escenario;;;;;;;;;x
RD_CANCEL;È¡Ïû;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
RD_NEXT;ÏÂÒ»²½;Suivant;Weiter;;Siguiente;;;;;;;;;x
RD_LAYOUT;ÑùÊ½;Composition;Layout;;Disposición;;;;;;;;;x
RD_SLOT_1;À¸Î»1;I;Spalte 1;;Partición 1;;;;;;;;;x
RD_SLOT_2;À¸Î»2;II;Spalte 2;;Partición 2;;;;;;;;;x
RD_SLOT_3;À¸Î»3;III;Spalte 3;;Partición 3;;;;;;;;;x
RD_SLOT_4;À¸Î»4;IV;Spalte 4;;Partición 4;;;;;;;;;x
RD_COLOR_1;ÑÕÉ«1;Couleur 1;Farbe 1;;Color 1;;;;;;;;;x
RD_COLOR_2;ÑÕÉ«2;Couleur 2;Farbe 2;;Color 2;;;;;;;;;x
RD_COLOR_3;ÑÕÉ«3;Couleur 3;Farbe 3;;Color 3;;;;;;;;;x
RD_EMBLEM;ÎÆÕÂ;Figure;Emblem;;Emblema;;;;;;;;;x
