;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
opinion_hajj_promised;麦加朝圣之诺.;A promis de faire le hajj;Hat versprochen auf Hadsch zu gehen.;;Prometi?ir de Hajj.;;;;;;;;;x
opinion_bring_on_hajj;携手朝圣;Ont fait le hajj ensemble;Wurden beide Hadsch;;Convertidos en Hajjaj juntos;;;;;;;;;x
opinion_jihad_promised;圣战之诺.;A promis de faire le djihad;Versprach Dschihad;;Prometi?Yihad;;;;;;;;;x
opinion_attepmt_hajj;在朝圣之事上对我横加指责.;M'a r閜rimand?au sujet du hajj;Scholt mich wegen Hadsch;;Me amonest?acerca de la Hajj;;;;;;;;;x
opinion_declined_hajj;拒绝麦加朝圣.;A d閏lin?l'invitation de faire le hajj;Lehnte Hadsch ab;;Rechaz?la Hajj;;;;;;;;;x
opinion_refused_hajj;拒绝同赴麦加朝圣.;A refus?de faire le hajj avec moi;Weigerte sich mit mir auf Hadsch zu gehen;;Se neg?a hacer la Hajj conmigo;;;;;;;;;x
opinion_hajj_saved_from_bandit;朝圣途中从土匪手中获救.;A 閠?sauv?des bandits pendant le hajj;Rettete ihn vor Banditen auf Hadsch;;Salvado de bandidos en la Hajj;;;;;;;;;x
opinion_hajj_saving_on_hajj;救之于匪.;L'a sauv?des bandits;Rettete ihn vor Banditen ;;Le salv?de los bandidos;;;;;;;;;x
opinion_hajj_attempt_murder;打破朝圣休战.;A rompu la tr陃e du hajj;Hat den Waffenstillstand des Hadsch gebrochen;;Rompi?Tregua de la Hajj;;;;;;;;;x
opinion_hajj_rivalry_mended;关于朝圣的积极会谈.;Discours positif ?propos du hajj;Positives Gespr鋍h auf Hadsch;;Charla positiva sobre la Hajj;;;;;;;;;x
opinion_helped_wudu;帮助小净.;Aid?avec les ablutions;Hat mit Wudu geholfen;;Ha ayudado con el Wudu;;;;;;;;;x
opinion_hajj_not_helpin;不行善.;Ne montre aucune charit?Zeigt keine Barmherzigkeit;;No  muestra caridad;;;;;;;;;x
EVTDESC86000;你已经开始做麦加朝圣的准备,很快你就将谦卑地和他人一道踏上前往伊斯兰教五大支柱之一的行程.;Vous vous pr閜arez ?partir en p鑜erinage ?La Mecque. Tr鑣 vite, vous ferez preuve d'humilit?et voyagerez en groupe avec d'autres compagnons pour r閍liser l'un des cinq piliers de l'islam.;Ihr habt Euch auf eine Wallfahrt nach Mekka vorbereitet. Bald werdet Ihr Euch erniedrigen und mit anderen in einer Gruppe reisen, um einen Pfeiler des Islams zu erf黮len.;;Has comenzado a prepararte para ir de peregrinaci髇 a La Meca. Pronto mostrar醩 humildad y viajar醩 con otros para completar uno de los cinco pilares del islam.;;;;;;;;;x
EVTOPTA86000;真主座前,众生平等.;Nous sommes tous 間aux aux yeux de Dieu?;Vor Gott sind alle gleich!;;odos son iguales ante los ojos de Dios!;;;;;;;;;x
