;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
mesoamerican;中美洲人;m閟o-am閞icain;Mesoamerikaner;;Mesoamericano;;;;;;;;;x
nahuatl;纳瓦;nahua;Nahua;;Nahua;;;;;;;;;x
aztec;阿兹特克;azt鑡ue;Azteke;;Aztec;;;;;;;;;x
e_mexikha;阿兹特克帝国;Empire azt鑡ue;Aztekenreich;;Aztec Empire;;;;;;;;;x
e_mexikha_adj;阿兹特克;azt鑡ue;aztekisch;;Aztec;;;;;;;;;x
emperor_nahuatl;大特拉多阿尼;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
emperor_female_nahuatl;大特拉多阿尼;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
king_nahuatl;特拉多阿尼;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
king_female_nahuatl;特拉多阿尼;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
duke_nahuatl;大卡丕师奇;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_nahuatl;大卡丕师奇;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_nahuatl;卡丕师奇;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
count_female_nahuatl;卡丕师奇;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
baron_nahuatl;特乌库特里;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_nahuatl;特乌库特里;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
GOD_HUITZILOPOCHTLI;维齐洛波奇特利;Huitzilopochtli;Huitzilopochtli;;Huitzilopochtli;;;;;;;;;x
GOD_XIPE_TOTEC;西佩托堤克;Xipe Totec;Xipe-Totec;;Xipe-Totec;;;;;;;;;x
GOD_TEZCATLIPOCA;特斯卡特利波卡;Tezcatlipoca;Tezcatlipoca;;Tezcatlipoca;;;;;;;;;x
GOD_QUETZALCOATL;魁札尔科亚特尔;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
GOD_MICTLANTECUHTLI;米克特兰堤库特里;Mictlantecuhtli;Mictlantecuhtli;;Mictlantecuhtli;;;;;;;;;x
