;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AIREASON_TOO_OLD;§Y[GetTitledFirstName]§£¡ÒÑ¾­¹ıÁËÉúÓıÄêÁä;§Y[GetTitledFirstName]§! n'est plus en âge d'avoir des enfants.;§Y[GetTitledFirstName]§! hat das gebärfähige Alter überschritten;;§Y[GetTitledFirstName]§! ha superado la edad fértil;;;;;;;;;x
AIREASON_OPINION;¶Ô§Y[GetTitledFirstName]§£¡µÄºÃ¸Ğ¶È;Opinion envers §Y[GetTitledFirstName]§!;Meinung von §Y[GetTitledFirstName]§!;;Opinión de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_SKILLS;§Y[GetTitledFirstName]§£¡µÄ¼¼ÄÜ;Compétences de §Y[GetTitledFirstName]§!;Fähigkeiten von §Y[GetTitledFirstName]§!;;Habilidades de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_REALPOLITIK;ÕşÖÎ¹Ø×¢;Intérêts politiques;Politische Vorbehalte;;Intereses políticos;;;;;;;;;x
AIREASON_REALPOLITIK_VS;¶Ô§Y[GetTitledFirstName]§£¡µÄÕşÖÎ¹Ø×¢;Intérêts politiques contre §Y[GetTitledFirstName]§!;Politische Vorbehalte gegen §Y[GetTitledFirstName]§!;;Intereses políticos versus §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_WRONG_RELIGION;²»Í¬×Ú½Ì;Fausse religion;Falsche Religion;;Religión falsa;;;;;;;;;x
AIREASON_WRONG_CULTURE;Íâ¹úÎÄ»¯;Culture étrangère;Ausländische Kultur;;Cultura extranjera;;;;;;;;;x
AIREASON_TOO_WEAK;±ÈÎÒÈõĞ¡;Plus faible que moi;Schwächer als ich;;Más débil que yo;;;;;;;;;x
AIREASON_WEAKNESS;È±·¦È¨Á¦;Manque de pouvoir;Machtmangel;;Falta de poder;;;;;;;;;x
AIREASON_STRENGTH;È¨Á¦;Pouvoir;Macht;;Poder;;;;;;;;;x
AIREASON_IS_RULER;ÊÇÍ³ÖÎÕß;Est un dirigeant;Ist ein Herrscher;;Es un gobernante;;;;;;;;;x
AIREASON_NOT_DE_JURE_LIEGE;²»ÊÇÎÒµÄ·¨Àí·â³¼;N'est pas mon seigneur de jure;Nicht mein de jure-Lehnsherr;;No es mi señor de iure;;;;;;;;;x
AIREASON_CANNOT_AFFORD;ÎŞ·¨¸ºµ£;Moyens insuffisants;Zu teuer;;No puedo permitírmelo;;;;;;;;;x
AIREASON_NO_INTEREST_IN_CHAR;¶Ô§Y[GetTitledFirstName]§£¡²»¸ĞĞËÈ¤;Aucun intérêt pour §Y[GetTitledFirstName]§!;Kein Interesse an §Y[GetTitledFirstName]§!;;Sin interés en §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_SAME_DYNASTY_AS_TARGET;Óë§Y[GetTitledFirstName]§£¡Í¬Ò»Íõ³¯;Même dynastie que : §Y[GetTitledFirstName]§!;Gleiche Dynastie wie §Y[GetTitledFirstName]§!;;La misma dinastía que §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_TOO_CLOSE_FOR_SUCC_MARR;§Y[GetTitledFirstName]§£¡¼Ì³ĞË³Î»¹ı¸ß;§Y[GetTitledFirstName]§! occupe un rang trop élevé dans la ligne de succession.;§Y[GetTitledFirstName]§! steht in der Erbfolge zu hoch;;§Y[GetTitledFirstName]§! está demasiado arriba en la línea de sucesión;;;;;;;;;x
AIREASON_SUCC_LOWLY_RANK;§Y[GetTitledFirstName]§£¡µØÎ»¹ıµÍ²»ÄÜ½øĞĞÆÕÍ¨»éÒö;§Y[GetTitledFirstName]§! occupe un rang trop bas pour un mariage classique.;§Y[GetTitledFirstName]§! steht für eine reguläre Heirat im Rang zu niedrig;;§Y[GetTitledFirstName]§! es de una clase demasiado baja para un matrimonio normal;;;;;;;;;x
AIREASON_NOT_A_SUCCESSION_MARRIAGE;§Y[GetTitledFirstName]§£¡ÇãÏòÓÚÈë×¸»éÒö;§Y[GetTitledFirstName]§! préférerait un mariage matrilinéaire.;§Y[GetTitledFirstName]§! würde eine matrilineale Heirat bevorzugen;;§Y[GetTitledFirstName]§! prefiere un matrimonio matrilineal;;;;;;;;;x
AIREASON_POWER_TO_PRESS_CLAIMS;§Y[GetTitledFirstName]§£¡ÓĞÈ¨Á¦Ë÷È¡ÎÒµÄĞû³Æ;§Y[GetTitledFirstName]§! a le pouvoir d'appuyer mes revendications.;§Y[GetTitledFirstName]§! hat die Macht, meine Ansprüche voranzutreiben;;§Y[GetTitledFirstName]§! tiene el poder de instar mis reivindicaciones;;;;;;;;;x
AIREASON_UNABLE_PRESS_CLAIMS;§Y[GetTitledFirstName]§£¡ÎŞÁ¦Ë÷È¡ÎÒµÄĞû³Æ;§Y[GetTitledFirstName]§! n'a pas le pouvoir d'appuyer mes revendications.;§Y[GetTitledFirstName]§! kann meine Ansprüche nicht vorantreiben;;§Y[GetTitledFirstName]§! no puede instar mis reivindicaciones;;;;;;;;;x
AIREASON_REBELLIOUS;ÅÑÂÒ¶È;Rebelle;Rebellisch;;Rebelde;;;;;;;;;x
AIREASON_AGE_FACTOR;§Y[GetTitledFirstName]§£¡µÄÄêÁä;Âge de §Y[GetTitledFirstName]§!;Alter von §Y[GetTitledFirstName]§!;;Edad de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_IS_MY_LIEGE;§Y[GetTitledFirstName]§£¡ÊÇÎÒµÄ¾ıÖ÷;§Y[GetTitledFirstName]§! est mon seigneur lige;§Y[GetTitledFirstName]§! ist mein Lehnsherr;;§Y[GetTitledFirstName]§! es mi señor;;;;;;;;;x
AIREASON_PRESTIGE_EFFECTS;ÍşÍû;Effets du prestige;Prestige-Effekte;;Efectos del prestigio;;;;;;;;;x
AIREASON_WANTS_FREEDOM;Òª×ÔÓÉ;Veut la liberté;Möchte Freiheit;;Desea libertad;;;;;;;;;x
AIREASON_CLOSE_RELATIVE;§Y[GetTitledFirstName]§£¡ÊÇ½üÇ×;§Y[GetTitledFirstName]§! est un proche parent.;§Y[GetTitledFirstName]§! ist ein naher Verwandter;;§Y[GetTitledFirstName]§! es un pariente cercano;;;;;;;;;x
AIREASON_DARE_NOT_REFUSE;²»¸Ò¾Ü¾ø;N'ose pas refuser;Wagt keinen Widerstand;;No osa negarse;;;;;;;;;x
AIREASON_CONFLICTING_INTERESTS;ÀûÒæ³åÍ»;Conflits d'intérêt;Gegensätzliche Interessen;;Intereses contrapuestos;;;;;;;;;x
AIREASON_SAME_REALM;Í¬Ò»Íõ¹ú;Même pays;Gleiches Reich;;El mismo reino;;;;;;;;;x
AIREASON_GREED;Ì°À·;Cupidité;Gier;;Codicia;;;;;;;;;x
AIREASON_LAND_IS_GOOD;ÍÁµØ¼´ÊÇºÃ;La terre, c'est bien;Land ist gut;;La tierra es buena;;;;;;;;;x
AIREASON_FEAR;º¦ÅÂ§Y[GetTitledFirstName]§£¡;Peur de §Y[GetTitledFirstName]§!;Angst vor §Y[GetTitledFirstName]§!;;Miedo de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_GOLD_IS_GOOD;½ğÇ®¼´ÊÇºÃ;L'or, c'est bien;Gold ist gut;;El oro es bueno;;;;;;;;;x
