;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
LEDGER_SORT_DELAYED;点击后按此栏排序;Cliquez pour trier cette colonne;Zum Sortieren nach dieser Spalte hier klicken;;Clic para ordenar usando esta columna;;;;;;;;;x
show_true_humility;展示了他的谦逊;a prouv?son humilit?Zeigte seine wahre Ergebenheit;;Ha mostrado su aut閚tica humildad;;;;;;;;;x
shown_true_humility;喜欢我们的谦逊;admire notre humilit?Mag unsere Ergebenheit;;Aprecia nuestra humildad;;;;;;;;;x
talent_recognized;认识到了我的天赋;reconna顃 mon talent;Erkennt mein Talent;;Reconoce mi talento;;;;;;;;;x
slothful_ruler;怠惰的统治者;Dirigeant paresseux;Fauler Herrscher;;Gobernante perezoso;;;;;;;;;x
nick_the_lisp_and_lame;口齿不清的瘸子;le B鑗ue boiteux;die Lispelnden und die Lahmen;;el Tartamudo y Cojo;;;;;;;;;x
ANY_WARD_STARTS;任何被监护人;N'importe quel garde;Jeder Bezirk;;Cualquier sala;;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;在 $DATE$?之前不能篡夺头衔;Vous ne pouvez pas usurper ce titre avant le $DATE$?;Kann sich diesen Titel nicht vor $DATE$? aneignen;;o es posible usurpar este t韙ulo antes de $DATE$?;;;;;;;;;x
fair;魅力非凡;Beaut?Attraktiv;;Atractivo;;;;;;;;;x
c_grassland_cheremisa_adj;克尔热涅茨;kerjenetsienne;Kerzhenetsianisch;;Kerzhenetsiano;;;;;;;;;x
c_mountain_cheremisa_adj;克里米斯;tch閞閙isse;Cheremisanisch;;Cheremisano;;;;;;;;;x
PROV589;克尔热涅茨;Kerjenets;Kerzhenets;;Kerzhenets;;;;;;;;;x
PROV591;克里米斯;Tch閞閙isse;Cheremisa;;Cheremisa;;;;;;;;;x
black_honor;违反封建义务;Contrevenir aux obligations f閛dales;Lehensverpflichtungen nicht erf黮len;;Rompiendo las Obligaciones Feudales;;;;;;;;;x
EVTOPTF40020;揭发刺客的雇主!;D関oiler le commanditaire des assassins?;Entlarvt den Auftraggeber des Attent鋞ers!;;xponer al empleador de los asesinos!;;;;;;;;;x
