#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AIREASON_ALL_HELP_IS_APPRECIATED;¶ÔËùÓĞµÄ°ïÖú±íÊ¾¸ĞĞ»;Toute aide est appréciable;Jegliche Hilfe ist willkommen;;Toda ayuda se agradece;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_SETUP;Ò»Î»ÁìÖ÷¼ÓÈëÁËÕ½Õù¶Ô¿¹ÎÒÃÇ;Un chef nous déclare la guerre ;Ein Herrscher schließt sich einem Krieg gegen uns an;;Un gobernante se une a una guerra contra nosotros;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§!ÔÚ§Y$WAR$§!ÖĞ¼ÓÈëÁË§Y$ENEMY$§!Ò»·½;§Y$WHO$? a rejoint §Y$ENEMY$? dans la §Y$WAR$?;§Y$WHO$? schließt sich §Y$ENEMY$? im §Y$WAR$? an;;§Y$WHO$? Se ha unido a §Y$ENEMY$? en la §Y$WAR$?;;;;;;;;;x
joined_my_war;¼ÓÈëÎÒµÄÕ½Õù;A rejoint ma guerre;Schließt sich meinem Krieg an;;Se ha unido a mi guerra;;;;;;;;;x
#d_venetian_navy;ÍşÄáË¹º£¾ü;;Venezianische Marine;;Armada Veneciana;;;;;;;;;x;
#d_venetian_navy_adj;ÍşÄáË¹;;Venezianisch;;Veneciana;;;;;;;;;x;
#d_genoese_navy;ÈÈÄÇÑÇº£¾ü;;Genoesische Marine;;Armada Genov¨¦s;;;;;;;;;x;
#d_genoese_navy_adj;ÈÈÄÇÑÇ;;Genoesisch;;Genov¨¦s;;;;;;;;;x;
#d_hanseatic_navy;ººÈøÍ¬ÃËº£¾ü;;Hanseatische Marine;;Armada Hanse¨¢tica;;;;;;;;;x;
#d_hanseatic_navy_adj;ººÈøÍ¬ÃË;;Hanseatisch;;Hanse¨¢tica;;;;;;;;;x;
#d_frisian_navy;·ğÀïË¹À¼º£¾ü;;Friesische Marine;;Armada Frisia;;;;;;;;;x;
#d_frisian_navy_adj;·ğÀïË¹À¼;;Friesisch;;Frisio;;;;;;;;;x;
d_maghreb_corsairs;Âí¸ñÀï²¼º£¾ü;Marine barbaresque;Maghreb Marine;;Armada Magreb?;;;;;;;;x
d_maghreb_corsairs_adj;Âí¸ñÀï²¼;barbaresque;Maghreb  ;;Magreb;;;;;;;;;x
k_frisia;¸¥ÀïÎ÷ÑÇ;Frise;Friesland;;Frisia;;;;;;;;;x
k_frisia_adj;¸¥ÀïÎ÷ÑÇ;frisonne;Friesisch;;Frisio;;;;;;;;;x
#k_lotharingia;ÂåÁÖ;;Lothringen;;Lotaringia;;;;;;;;;x;
#k_lotharingia_adj;ÂåÁÖ;;Lothringisch;;Lotaringia;;;;;;;;;x;
k_pomerania;²¨ÃÀÀ­ÄáÑÇ;Poméranie;Pommern;;Pomerania;;;;;;;;;x
k_pomerania_adj;²¨ÃÀÀ­ÄáÑÇ;poméranienne;Pommersche;;Pomerania;;;;;;;;;x
k_bavaria;°Í·¥ÀûÑÇ;Bavière;Bayern;;Baviera;;;;;;;;;x
k_bavaria_adj;°Í·¥ÀûÑÇ;bavaroise;Bayrisch;;Bávaro;;;;;;;;;x
PLOT_TO_MURDER;ÒõÄ±Ä±É±;Comploter pour assassiner;Mordanschlag;;Complot para asesinar a ;;;;;;;;;x
INITIAL_PLOT_POWER;ÆğÊ¼ÒõÄ±Á¦Á¿;Puissance initiale du complot;Erst-Anschlagskraft;;Poder del complot inicial;;;;;;;;;x
TITLE_RATING_LOWER_THAN;³ÖÓĞÍ·ÏÎµÍÓÚ;Rang du titre détenu inférieur ?Hielt Titel-Berechtigung weniger als;;Valoración del título en propiedad es menor de;;;;;;;;;x
TITLE_RATING_AT_LEAST;ÖÁÉÙĞèÒª³ÖÓĞÍ·ÏÎ;Rang du titre détenu au moins égal ?Hielt Titel-Berechtigung mindestens;;Valoración del título en propiedad es al menos de;;;;;;;;;x
LOADING_TIP_48;ÌáÃûÄ³ÈËµ£ÈÎÖ÷½Ì»á°ş¶áÆä¼Ì³ĞÈ¨;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemandem einen Bischof zu nominieren, disqualifiziert ihn als Erben;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x
LOADING_TIP_50;Ì°À·ºÍ·Å×İµÄÈËÊÜµ½ÀñÎïÊ±Ôö¼ÓµÄºÃ¸Ğ¸ü¶à;Les sujets gourmands et généralement indulgents aiment beaucoup les cadeaux ;Geizige und allgemein nachsichtige Charaktere mögen Geschenke mehr;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x
AIREASON_EAGER_TO_MURDER;²»µÀµÂ;Amoral;Amoralisch;;Inmoral;;;;;;;;;x
AIREASON_RELUCTANT_TO_MURDER;µÀµÂÒÉÂÇ;Scrupules ;Moralische Skrupel;;Escrúpulos morales;;;;;;;;;x
TITLE_CANNOT_USURP_SAME_REALM;ÎŞ·¨°ş¶áÍ¬Ò»ÁìµØµÄËûÈËÍ·ÏÎ£¬³ı·ÇÄãÓµÓĞÇ¿Ğû³Æ;Ne peut usurper un titre de quelqu'un dans le même Royaume, sauf si vous avez une Revendication;Man kann nicht einen Titel von jemandem des selben Reiches an sich reißen, außer man hat einen Anspruch;;No se puede usurpar un título de cualquier persona en el mismo reino a menos que tengas una reclamación ;;;;;;;;;x
REASONING;ÍÆÀí;Raisonnement;Beweisführung;;Razonamiento;;;;;;;;;x
RulerDesignerDLC;×Ô¶¨ÒåÈËÎï;Créateur de souverain;Herrschafts-Konstrukteur;;Diseñador de las Reglas;;;;;;;;;x
PLOT_CONDITION_FOR_YOU;¶ÔÄã¶øÑÔÒ»¶¨Èç´Ë;Doit être vrai pour vous;Muss zutreffen auf:;;Debe ser cierto para ti;;;;;;;;;x
PLOT_CONDITION_FOR_TARGET;¶Ô$TARGET$¶øÑÔÒ»¶¨Èç´Ë;Doit être vrai pour $TARGET$;Muss auf $TARGET$ zutreffen;;Debe ser cierto para $TARGET$;;;;;;;;;x
ALREADY_HAVE_AMBITION;ÕıÔÚÅ¬Á¦ÊµÏÖ$PLOT$Ò°ĞÄ;S'efforce déj?de $PLOT$;Strebt bereits einen $PLOT$ an;;Tratando de $PLOT$;;;;;;;;;x
