;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC61152;½è¿Ú¾«ÉñÊ§³£°ÑÄã¹ØÑºÆğÀ´µÄÇ°ÉãÕşÕßÒÑ¾­Ê§È¥ÁË¹¬Í¢ÖĞµÄÓ°ÏìÁ¦.ĞÂÉãÕşÕßÊÍ·ÅÁËÄã.;Ce mécréant, votre ancien régent qui vous avait mis en prison pour folie, n'exerce plus aucune influence à la Cour. Le nouveau régent vous a libéré.;Der Schuft von einem früheren Regenten, der euch wegen angeblichem Wahnsinn einkerkern hat lassen, hat keinen Einfluß mehr am Hof. Der neue Regent hat euch freigelassen.;;El desgraciado de tu anterior regente, el que te encerró bajo la acusación de estar loco, ya no tiene ninguna influencia en la corte. El nuevo regente te ha liberado.;;;;;;;;;x
EVTOPTA61152;Ì«ÍíÁË.;C'est pas trop tôt.;Keinen Augenblick zu früh.;;Cuanto tiempo perdido;;;;;;;;;x
EVTOPTB61152;È«ÊÀ½ç¶¼¿´ºÃÁË£¡ÎÒÀ´ÁË£¡;Prenez garde, Ô Monde, me voici!;Gib acht, Welt! Jetzt komme ich!;;¡Atended todo el Mundo! ¡Estoy de vuelta!;;;;;;;;;x
EVTDESC61219;Äã³É¹¦´ì°ÜÁË¶ÔÊÖ¶áÈ¡ÉãÕşµØÎ»µÄÆóÍ¼£¬¿ÉÒÔ¼ÌĞøÊÌ·î[Root.Liege.GetTitledFirstName]ÁË.;Vous avez déjoué avec succès les plans de votre adversaire pour devenir régent, et vous pouvez continuer à servir sous la volonté de [Root.Liege.GetTitledFirstName].;Ihr habt die Absichten Eures Gegners, Euch die Regentschaft zu klauen, erfolgreich vereitelt und könnt nun weiterhin [Root.Liege.GetTitledFirstName] dienen.;;Has frustrado existosamente las intenciones de tu oponente sobre tu regencia, y puedes continuar sirviando a [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTDESC61245;[From.GetSheHe]ÕæÊÇ¸öÅ³·ò£¡[From.GetTitledFirstName]¾Ü¾ø½ÓÊÜÄãµÄÌôÕ½£¡;Tout lâche qu'[From.GetSheHe] est, [From.GetTitledFirstName] a refusé de relever votre défi.;Der rückratlose Feigling [From.GetTitledFirstName] hat Eure Herausforderung abgelehnt!;;Como [From.GetSheHe] cobarde despreciable que es, ¿[From.GetTitledFirstName] se ha negado a aceptar tu desafío!;;;;;;;;;x
EVTOPTA61245;Å³·ò£¡µ¨Ğ¡¹í£¡;Chiffe molle! Vermisseau!;Milchbubi! Wurm!;;¡Gallina!, ¡Gusano!;;;;;;;;;x
EVTDESC61246;ÎªÁË±£×¡[From.GetHerHis]Æ¤·ô£¬[From.GetTitledFirstName]¾ö¶¨½«ÉãÕşµØÎ»ÈÃ¸øÄã.;Dans un dernier effort pour sauver sa peau, [From.GetTitledFirstName] a décidé d'abdiquer son titre de régent[From.GetNoneE] en votre faveur.;Um [From.GetHerHis] Haut zu retten, hat [From.GetTitledFirstName] in einem Akt der Verzweiflung die Regentschaft an Euch abgeben.;;En un intento desesperado por salvar su cabeza, [From.GetTitledFirstName] ha decidido cederte su posición como regente.;;;;;;;;;x
EVTOPTA61246;ÕâºÜÈİÒ×.;Bien, c'était trop facile.;Na, das war ja einfach.;;Ha sido facil;;;;;;;;;x
EVTDESC61226;¶ÔÊÖµÄÏÊÑªÔÚµØÃæÁ÷ÌÊ£¬ÄãÔòÒĞ¿¿ÔÚ½£ÉÏ´­Æø.ÕâÊÇ³¡¶ÌÔİ¶ø¼¤ÁÒµÄÕ½¶·£¬²»¹ıÄÇ¼Ò»ïÏÖÔÚÕıÅ¿ÔÚÄãµÄ½Å±ß£¬¿ÉÁ¯µØÕõÔú×Å.Ê¤ÀûÊôÓÚÄã£¡;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît mutilé à vos pieds, s'accrochant à ce qu'il lui reste de vie. Ce jour est le vôtre.;Das Blut Eures Gegners weicht langsam den Boden auf während Ihr euch auf Eurer Schwert lehnt um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt verstümmelt aber gerade noch so am Leben zu Euren Füßen;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace a tus pies, arrastrándose y pidiendo clemencia. Es tu gran día.;;;;;;;;;x
EVTDESC61225;¶ÔÊÖµÄÏÊÑªÔÚµØÃæÁ÷ÌÊ£¬ÄãÔòÒĞ¿¿ÔÚ½£ÉÏ´­Æø.ÕâÊÇ³¡¶ÌÔİ¶ø¼¤ÁÒµÄÕ½¶·£¬²»¹ıÄÇ¼Ò»ï×îÖÕ»¹ÊÇÔÚÄãµÄ½Å±ßËÀÈ¥ÁË.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît sans vie à vos pieds.;Das Blut Eures Gegners weicht langsam den Boden auf während Ihr euch auf Eurer Schwert lehnt um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt tot zu Euren Füßen.;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace muerto a tus pies.;;;;;;;;;x
