;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
HOLDINGS_DEC_LOSS;占有度: ;Propri閠閟? ;Besitzt黰er: ;;Posesiones: ;;;;;;;;;x
TOTAL_DEC_DELTA;总体腐化度: ;Contribution totale ?la D閏adence? ;Gesamtbeitrag zur Dekadenz: ;;Contribuci髇 a la Decadencia Total: ;;;;;;;;;x
HAS_A_JOB_DEC;接受一个任务: ;Poss鑔e une charge;Hat ein Amt: ;;Tiene un Trabajo: ;;;;;;;;;x
ON_JOB_DEC;正在执行任务中: ;Est en mission? ;f黨rt eine Amtsaufgabe aus: ;;Est?en una Misi髇: ;;;;;;;;;x
CHAR_STATUS_PILGRIM;$NAME$? 正在进行朝圣;$NAME$? est en p鑜erinage;$NAME$? ist auf Pilgerfahrt;;$NAME$? est?peregrinando;;;;;;;;;x
EVTDESC1070;当我听说哈菲兹（能背诵全部古兰经的伊斯兰教徒 ）可以准确背诵古兰经里任意一段内容时，我被这个人的虔诚所震惊.铭记古兰经全部的114章内容，是只有最狂热之穆斯林才能做到的壮举！;Tout en 閏outant le Hafiz r閏iter sans fautes un verset du Coran, choisi au hasard, je m'閙erveillais de sa pi閠闋: Seuls les musulmans les plus z閘閟 sont capables de m閙oriser les cent quatorze sourates du Coran.;Als ich dem Hafiz zuh鰎te, wie er eine zuf鋖lige Passage aus dem Qur'an aufsagte, war ich von seiner Piet鋞 beeindruckt. Sich den gesamten Qur'an, alle 114 Suren, einzupr鋑en ist eine Leistung, die nur die fr鰉msten Muslime vollbringen k鰊nen;;Mientras escuchaba como el Hafiz continuaba recitando correctamente un pasaje al azar del Cor醤, me maravill?de la piedad de aquel hombre. Conocer el Cor醤 de memoria, sus 114 Suras, es una labor que s髄o el musulm醩 m醩 fiel puede realizar.;;;;;;;;;x
EVTOPTA1070;愿真主听我所言，我会记住整部古兰经！;Qu'Allah m'en soit t閙oin? j'apprendrai le Coran dans son int間ralit闋!;Bei Allah, ich werde den gesamten Qur'an auswendig lernen!;;Que Al?escuche mis palabras, oy a memorizarme todo el Cor醤!;;;;;;;;;x
EVTOPTB1070;太了不起了! 不过这必将是一件苦差事...;Merveilleux? Mais quelle corv閑...;Fantastisch! Aber das muss eine Heidenarbeit sein...;;aravilloso! Pero debe ser tan tedioso...;;;;;;;;;x
aspiring_hafiz;雄心勃勃的哈菲兹: 将古兰经铭记于心;Apprenti Hafiz? engag?dans l'apprentissage du Coran;aufstrebender Hafiz: lernt den Qur'an auswendig;;Aspirante a Hafiz: Aprendiendo el Cor醤 de memoria;;;;;;;;;x
EVTDESC1071;面对伊玛目时，我倍感紧张, 等待着他任意挑出古兰经中的一段，然后我必须准确背诵出来.He has chosen:\n\nWhen the 古兰经is read...;Me tenir en face de l'Imam me rend nerveux. J'attends qu'il choisisse et d閎ute la r閏itation d'un verset du Coran choisi au hasard. Je devrais en poursuivre la r閏itation sans fautes. Il a choisi? \n\n珷Et quand on r閏ite le Coran...;Ich stehe nerv鰏 vor dem Imam und warte darauf, dass er eine zuf鋖lige Passage aus dem Qur'an ausw鋒lt und beginnt, sie aufzusagen, woraufhin ich sie dann korrekt beenden muss. Er hat sich f黵 eine entschieden:\n\n Und wenn der Qur'an vorgetragen wird...;;Me muero de los nervios mientras me encuentro ante el Im醡, esperando a que escoja y comience a recitar un pasaje aleatorio del Cor醤 que yo debo continuar recitando correctamente. Ya ha hecho su elecion: \nCuando el Cor醤 est?siendo leido...;;;;;;;;;x
