;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
ADD_AMBITION_EFFECT;$CHAR$ 获得野心 $OBJECTIVE$?\n;$CHAR$ acquiert l'ambition? $OBJECTIVE$?\n;$CHAR$ erh鋖t die Ambition $OBJECTIVE$?\n;;$CHAR$ gana la ambici髇 $OBJECTIVE$?\n;;;;;;;;;x
CANCEL_AMBITION_EFFECT;$CHAR$ 失去野心 $OBJECTIVE$?\n;$CHAR$ perd l'ambition? $OBJECTIVE$?\n;$CHAR$ verliert die Ambition $OBJECTIVE$?\n;;$CHAR$ pierde la ambici髇 $OBJECTIVE$?\n;;;;;;;;;x
ADD_PLOT_EFFECT;$CHAR$ 获得密谋 $OBJECTIVE$?\n;$CHAR$ remporte le complot $OBJECTIVE$?\n;$CHAR$ erh鋖t die Verschw鰎ung $OBJECTIVE$?\n;;$CHAR$ gana la conspiraci髇 $OBJECTIVE$?\n;;;;;;;;;x
CANCEL_PLOT_EFFECT;$CHAR$ 失去密谋 $OBJECTIVE$?\n;$CHAR$ perd le complot? $OBJECTIVE$?\n;$CHAR$ verliert die Verschw鰎ung $OBJECTIVE$?\n;;$CHAR$ pierde la conspiraci髇 $OBJECTIVE$?\n;;;;;;;;;x
HAS_AMBITION;拥有野心;A de l'ambition;Hat Ambitionen;;Tiene ambici髇;;;;;;;;;x
HAS_AN_AMBITION;拥有一个野心;A une ambition;Hat eine Ambition;;Tiene una ambici髇;;;;;;;;;x
HAS_NO_AMBITION;没有野心;N'a pas d'ambition;Hat keine Ambition;;No tiene ambici髇;;;;;;;;;x
HAS_CONFLICTING_AMBITION;与 $CHAR2$ 的野心存在冲突.;A une ambition conflictuelle avec $CHAR2$.;Hat widerspr點hliche Ambitionen mit $CHAR2$.;;Tiene una ambici髇 en conflicto con $CHAR2$.;;;;;;;;;x
REL_PENTARCHS;牧首;Pentarques;Pentarchen;;Pentarcas;;;;;;;;;x
REL_PENTARCHS_DESC;五牧首是基督教会原始的五个牧首. 他们在各自传统教区内的权威如同自主牧首们一样依然得到东正教会的认可 . 如果要重新统一基督教会，所有的五个牧首都必须恢复他们的传统教区(天主教 vs 东正教).;Les Pentarques 閠aient les cinq patriarches de l'蒰lise chr閠ienne primitive. L'autorit?dont ils b閚閒iciaient en tant que Patriarches autoc閜hales sur leurs antiques si鑗es 閜iscopaux est aujourd'hui encore reconnue par l'蒰lise Orthodoxe. Les cinq pentarchies doivent 阾re r閠ablies pour pouvoir mettre fin au schisme qui s閜are les catholiques et les orthodoses et ainsi r閡nifier la chr閠ient?;Die Pentarchen waren die urspr黱glichen f黱f Patriarchen der christlichen Kirche. Ihre Autorit鋞 als autokephale Patriarchen in ihren jeweiligen alten Bischofssitzen wird in der orthodoxen Kirche noch immer anerkannt. Alle f黱f orthodoxen Pentarche m黶sen;;Los Pentarcas fueron los cinco primeros patriarcas de la iglesia cristiana. Su autoridad como patriarcas autoc閒alos sobre sus antiguas di骳esis es a鷑 se reconoce en el seno de la iglesia ortodoxa. Los cinco Pentarcas ortodoxos deben existir para curar e;;;;;;;;;x
opinion_liege_vs_faction;派系成员;Membre de faction ;Fraktionsmitglied;;Miembro de la facci髇;;;;;;;;;x
