;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
IS_NOT_ADULT;²»ÊÇ³ÉÄêÈË;§YN'est pas? adulte;Ist NICHT erwachsen;;NO es un adulto;;;;;;;;;x
IS_ADULT;ÊÇ³ÉÄêÈË;§YEst? adulte;Ist erwachsen;;Es un adulto;;;;;;;;;x
IS_NOT_MARRIAGE_ADULT;Ã»ÓĞµ½½á»éÄêÁä;§YN'est pas? assez âg?pour se marier;Ist NICHT alt genug, um zu heiraten;;NO tiene la edad mínima para casarse;;;;;;;;;x
IS_MARRIAGE_ADULT;ÒÑ¾­µ½ÁË½á»éÄêÁä;§YEst? assez âg?pour se marier;Ist alt genug, um zu heiraten;;Est?en edad de casarse;;;;;;;;;x
DISEASE_ACTIVATED;$DISEASE$ ¿ÉÄÜ»á±¬·¢ÎÁÒß¼²²¡;Une épidémie de $DISEASE$ peut ?présent se déclarer;Ausbrüche von $DISEASE$ können nun auftreten;;Pueden aparecer brotes de $DISEASE$;;;;;;;;;x
AIREASON_IS_PRISONER_OF_CHAR;ÊÇ§Y[GetTitledFirstName]§!µÄ·ıÂ²§!;Est prisonnier de §Y[GetTitledFirstName]?;Ist Gefangener von §Y[GetTitledFirstName]?;;Es prisionero de §Y[GetTitledFirstName]?;;;;;;;;;x
SunsetInvasionDLC;ÈÕÂäÈëÇÖ;Invasion du Soleil Couchant;Invasion aus dem Abendrot;;Invasión del Ocaso;;;;;;;;;x
NOT_COASTAL;Õâ¸öÊ¡·İ²»ÑØº£;Ce comt?n'est pas côtièr;Ist KEINE Küstenprovinz;;Esta provincia no es costera;;;;;;;;;x
NOT_FORBIDDEN_LEAD;ÕâÎ»Í¢³¼ÏÖÔÚÔÊĞí´øÁì¾ü¶Ó.\n§Gµã»÷ÕÙ»ØÍ¢³¼²¢½ûÖ¹ÆäÁì¾ü§!;Ce conseiller ne s'est pas vu interdire de diriger une armée.\n§GCliquez pour le rappeler et interdire ?ce conseiller d'en diriger une.?;Diesem Ratsmitglied ist es derzeit erlaubt Armeen anzuführen.\n§GHier klicken, um das Ratsmitglied vom Kommando zu entbinden und das Führen von Armeen zu verbieten.?;;Este consejero no tiene prohibido dirigir ejércitos.\n§GPulsa para llamar y prohibir a tu consejero que lidere ejércitos.?;;;;;;;;;x
FORBIDDEN_LEAD;ÕâÎ»Í¢³¼ÏÖÔÚ±»½ûÖ¹´øÁì¾ü¶Ó.\n§GÔÊĞíÆäÁì¾ü§!;Ce conseiller s'est vu interdire de diriger une armée.\n§GCliquez pour l'autoriser ?en diriger une.?;Diesem Ratsmitglied ist es derzeit verboten Armeen anzuführen.\n§GHier klicken, um dem Ratsmitglied das Führen von Armeen zu erlauben.?;;Este consejero tiene prohibido dirigir ejércitos.\n§GPulsa para permitir a tu consejero que lidere ejércitos.?;;;;;;;;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] ½«´Ó¼àÓü±»ÊÍ·Å.£¬Èç¹û[Recipient.GetSubjectPronoun] Í¬Òâ§!;§YSi [Recipient.GetFirstName] accepte, [Recipient.GetSheHe] retrouvera sa libert??;§Y[Recipient.GetFirstName] wird aus dem Gefängnis entlassen, wenn [Recipient.GetSubjectPronoun] akzeptiert.?;;§Y[Recipient.GetFirstName] ser?liberado si lo acepta.?;;;;;;;;;x
opinion_fought_for_claimant;ÎªĞû³ÆÈ¨¶øÕ½;S'est battu pour le prétendant ;Kämpfte für so Anspruchställer;;Luch?pos como Solicitante;;;;;;;;;x
EVTOPTD9001;ÀñÃ²µÄÑ¯ÎÊ.;Demander poliment;Höflich anfragen.;;Pedir educadamente.;;;;;;;;;x
EVTDESC9003;Ç×°®µÄ [Root.GetTitle],\n\nÎÒÒÑ¾­ÖªµÀÔÚÎÒµÄÁìµØÄÚÓĞÄ³Ğ©ÅÉÏµÕıÔÚÆÆ»µÎÒµÄÍ³ÖÎ. Èç¹ûÄã²ÎÓëÁË»òÕß´òËãÕâÃ´×ö, ÎÒÏàĞÅÄãÏÖÔÚ»á´òÏûÕâ¸öÄîÍ·.\n\nÊğÃû,\n[From.GetTitledName];M[Root.GetHerHis] ch[Root.GetBoyGirl] [Root.GetTitle],\n\nJ'ai appris l'existence dans le Royaume de certaines factions œuvrant ?déstabiliser mon pouvoir. Si vous êtes engagé[Root.GetNoneE] ou comptez vous engagez dans une telle entreprise, je ne peux que vous prier de cesser immédiatement de vous compromettre dans de telles affaires.\n\nSign?\n[From.GetTitledName];Geschätzter [Root.GetTitle],\n\nIch habe erfahren, dass es innerhalb meines Reiches gewisse Fraktionen gibt, die danach trachten, meine Herrschaft zu untergraben. Solltet Ihr in Betracht ziehen, euch einer solchen Fraktion anzuschließen oder es sogar bereits getan haben, so erwarte ich, dass ihr derartige Ambitionen sofort einstellt.\n\nGezeichnet,\n[From.GetTitledName];;Mi estimado [Root.GetTitle],\n\nHa llegado a mis oídos que hay ciertas facciones en el reino trabajando para acabar con mi gobierno. Si estás envuelto en ellas, o te lo estás pensando, confi?en que tu complicidad con estos hechos termine ya mismo.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA9003;×îºÃ²»ÒªÃ°Õâ¸öÏÕ...;Mieux vaut ne pas s'y risquer...;Es ist wohl besser, nichts zu riskieren...;;Mejor no arriesgarse...;;;;;;;;;x
EVTOPTB9003;¹ş! Õâ·âĞÅÊÇÒ»¸ö¾øÍûµÄ±íÏÖ.;Ha? Cette lettre était un acte de désespoir.;Ha! Dieser Brief war ein Akt der Verzweiflung.;;¡Ja! Esta carta demuestra su desesperación.;;;;;;;;;x
EVTTOOLTIP9023;ÄãËÍ³öÁËÒ»·âÀñÃ²µÄÇëÇóÊé.;Vous tentez une requête polie.;Ihr verschickt eine höfliche Aufforderung.;;Envías una educada respuesta.;;;;;;;;;x
