;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
NOT_IN_DYNASTY;²»ÊÇ¸Ã¼Ò×åµÄ³ÉÔ±;N'est pas un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
IN_DYNASTY;ÊÇ¸Ã¼Ò×åµÄ³ÉÔ±;Est un membre de la Maison ;Ist ein Mitglied von Haus ;;Forma parte de la Casa ;;;;;;;;;x
;#REALM_MANPOWER_LESS;Maximum realm levies less than §Y$VAL$§W;;Gesamttruppen im Reich weniger als §Y$VAL$§W;;Las levas m¨¢ximas del reino son menos de §Y$VAL$§W;;;;;;;;;x;
;#REALM_MANPOWER_LEAST;Maximum realm levies at least §Y$VAL$§W;;Gesamttruppen im Reich mindestens §Y$VAL$§W;;Las levas m¨¢ximas del reino son al menos de §Y$VAL$§W;;;;;;;;;x;
REALM_SIZE_LESS;ÁìµØÃæ»ıĞ¡ÓÚ§Y$VAL$§W;Taille du pays plus petite que §Y$VAL$§W;Reichsgröße weniger als §Y$VAL$§W;;El tamaño del reino es de menos de §Y$VAL$§W;;;;;;;;;x
REALM_SIZE_LEAST;ÁìµØÃæ»ı´óÓÚ§Y$VAL$§W;Taille du pays plus grande que §Y$VAL$§W;Reichsgröße mindestens §Y$VAL$§W;;El tamaño del reino es al menos de §Y$VAL$§W;;;;;;;;;x
tut_6a_6;ÂŞË¹Î÷±ßµÄÄÏµºËÆºõÊÇ¸ö²»´íµÄÄ¿±ê£¬¿ÉÒÔÀ©ÕÅÎÒÃÇµÄÁìÍÁ¡£ÁíÍâ£¬¸ÃµØ²¿¶ÓÈËÊıÒ²²»ÊÇºÜ¶à¡£µã»÷ÄÇ¸öÊ¡·İ¡£;Søroyar ?l'ouest de Ross semble être une bonne cible. Ce serait un ajout intéressant ?nos frontières, de plus son nombre maximum de troupes n'est pas très impressionant. Cliquez sur sa province.;Soreyar, westlich von Ross, scheint ein gutes Ziel zu sein. Es wäre eine nette Bereicherung für Euch und die Größe der Armee ist nicht sehr beeindruckend. Klickt die Provinz.;;Søroyar al oeste de Ross parece un buen objetivo. Sería una bonita incorporación a nuestras fronteras, además su número máximo de levas no da ningún miedo. Pincha en la provincia.;;;;;;;;;x
tut_6a_10;ÏÖÔÚ£¬ÈÃÎÒÃÇÅÉ³öÎÒÃÇµÄÒ»¸öÍ¢³¼È¥Ö´ĞĞÎ±ÔìĞû³ÆµÄÃØÃÜÈÎÎñ¡£µã»÷¡°Î±ÔìĞû³ÆÈ¨¡±°´Å¥,µã»÷½«ÄãµÄÍ¢³¼ÅÉÇ²¹ıÈ¥¡£;Maintenant envoyons notre chancelier en mission secrète afin de fabriquer une revendication. Cliquez sur le bouton 'Fabriquer des revendications' ensuite cliquez sur Søroyar pour y placer le chancelier.;Nun lasst uns Euren Kanzler auf eine geheime Mission schicken. Klickt zuerst die Schaltfläche "Ansprüche fingieren" und dann auf Soreyar, um Euren Kanzler zu entsenden.;;Ahora vamos a enviar a nuestro canciller con la secreta misión de crear reclamaciones. Pincha en el botón de crear reclamaciones, después selecciona Søroyar para enviar all?a tu canciller.;;;;;;;;;x
tut_8b_8;Ê¥Õ½ÊÇÓÉ½Ì×ÚÒÔÌìÖ÷½Ì½Ì»áÖ®Ãû·¢ÆğµÄ¡£ËûÖ¸¶¨Ò»¸öĞèÒª±»Õ÷·şµÄÇøÓò£¬Õâ¿éÇøÓò±ØĞëÓÉÄÂË¹ÁÖ»òÔ­Ê¼×Ú½ÌĞÅÍ½Õ¼¾İ¡£µ±ËûÕâÑù×öµÄÊ±ºò£¬»á¿ªÊ¼Ò»³¡ÌØÊâĞÎÊ½µÄÕ½Õù£¬Ê¥Õ½¡£Äã¿ÉÒÔÔÚ½Ì×ÚµÄÍâ½»½çÃæµã»÷¡°²Î¼ÓÕ½Õù¡±À´¼ÓÈëÆäÖĞ¡£;Une croisade est déclenchée lorsque le pape désigne une terre qui doit être conquise au nom de l'Église. Afin de pouvoir le faire, il faut que celle-ci soit sous le contrôle de musulmans ou de païens. Une guerre spéciale commence alors et vous pourrez rejoindre celle-ci en allant dans les actions diplomatiques du pape et en choisissant 'Proposer de rejoindre la guerre'.;Um einen Kreuzzug zu beginnen muss der Papst eine Region auswählen, die im Namen der katholischen Kirche erobert werden soll. Diese Region muss sich derzeit in der Hand von Moslems oder Heiden befinden. Sobald der Papst einen Kreuzzug ausruft beginnt der eigentliche Krieg, dem Ihr Euch über das Diplomatiemen?des Papstes anschließen könnt.;;Lo que inicia una Cruzada es que el Papa decide que una zona tiene que ser conquistada en nombre de la Iglesia Católica. Para que pueda hacerlo esta debe estar controlada por musulmanes o paganos. Cuando lo hace, una guerra de Cruzasa empezar?y podrás participar yendo a la pantalla de diplomacia del Papa y eligiendo 'Ofrecerse a entrar en guerra'.;;;;;;;;;x
tut_8b_9;ÈôÊ¥Õ½³É¹¦£¬ÌìÖ÷½Ì·½¹±Ï××î´ó£¨×î¸ß¹±Ï×·Ö£©µÄÁìÖ÷»á±»ÈÏÎªÓ®µÃÁËÊ¥Õ½¡£;Si une croisade est une réussite, le dirigeant du camp catholique qui a eu le plus grand impact (le score de participation le plus haut) sera considér?comme étant le vainqueur de la croisade.;Sollte ein Kreuzzug erfolgreich sein, so wird der katholische Herrscher, der den größten Beitrag leistete zum Sieger erklärt.;;Si la Cruzada es exitosa, el gobernante que haya tenido el mayor impacto (mayor puntuación de participación) en el bando católico ser?considerado como el vencedor de la Cruzada.;;;;;;;;;x
tut_8b_10;ÈôÄãÑ¡Ôñ²Î¼ÓÊ¥Õ½²¢²¢ÇÒ³ÉÎªÓ®µÃÊ¥Õ½µÄÄÇ¸öµÄ»°£¬Äã»¹»áµÃµ½ò¯³Ï£¬ÍşÍû¼°Ê®×Ö¾üÌØĞÔ¡£;Dans le cas o?vous choisissez de rejoindre la croisade et réussissez ?devenir celui qui l'emporte, vous recevrez toutes les terres tenues par l'ennemi dans la zone de la croisade. Vous recevrez aussi de la piét?et du prestige, ainsi que le trait 'Crois?.;Solltet Ihr Euch einem Kreuzzug anschließen und diesen sogar zu gewinnen, so wird Euch alles Land zugesprochen, dass der Feind in der umkämpften Region besa? Zusätzlich erhaltet ihr Prestige, Pietät und die Eigenschaft "Kreuzfahrer".;;Si decides participar en la Cruzada y consigues ser el vencedor, recibirás todas las tierras gobernadas por el enemigo en la zona de la Cruzada. También ganarás piedad y presigio, as?como el rasgo de Cruzado.;;;;;;;;;x
tut_8b_11;ÈôÄã²Î¼ÓÊ¥Õ½£¬µ«ÆäËûÌìÖ÷½ÌÁìÖ÷Ó®ÁËµÄ»°£¬Äã²»»áµÃµ½ÁìÍÁ£¬²»¹ıÒÀÈ»¿ÉÒÔ»ñµÃò¯³Ï¡¢ÍşÍû¼°Ê®×Ö¾üÌØĞÔ¡£µã»÷¼ÌĞøÒÔ½áÊøÕâÒ»½Ú¡£;Dans le cas o?vous rejoignez la croisade mais que c'est un autre catholique qui la gagne, vous ne recevrez aucune terre mais vous recevrez quand même de la piét?et du prestige ainsi que le trait 'Crois?. Cliquez sur suivant pour terminer ce chapitre.;Solltet Ihr Euch einem Kreuzzug anschließen, der von einem anderen katholischen Herrscher gewonnen wird, so erhaltet Ihr keinerlei Land, jedoch ebenfalls Prestige, Pietät und die Eigenschaft "Kreuzfahrer". Klickt auf "weiter", um diesen Teil des Tutorials zu beenden.;;Si decides participar en la Cruzada pero otro de los participantes es el vencedor, no recibirás ni un acre de tierra, pero recibirás piedad y presigio, as?como el rasgo Cruzado. Pulsa siguiente para terminar este capitulo.;;;;;;;;;x
tut_8b_4;×Ú½Ì·â³¼Ö»»áÔÚÏà±È½Ì×ÚÀ´Ëµ¸üÏ²»¶ÄãµÄÇé¿öÏÂ£¬²Å»áÎªÄãÌá¹©¾ü¶ÓºÍ½ğÇ®¡£Ò»¸ö±È½Ï¼òµ¥µÄ°ì·¨ÊÇ£¬ÈÎÃüÒ»¸öÔ­±¾¾ÍÏ²»¶ÄãµÄÖ÷½Ì¡£Çëµã»÷·¨ÂÉ°´Å¥£¬¿´¿´ÈçºÎ×öµ½ÕâÒ»µã¡£;Les vassaux religieux d'un dirigeant catholique ne vous donneront troupes et argent que s'ils ont une meilleure opinion de vous que du pape. Le meilleur moyen de s'en assurer est en fait de nommer évêque quelqu'un qui vous aime déj? Cliquez sur l'onglet Lois afin de découvrir commment accomplir cela.;Religiöse Vasallen eines katholischen Herrschers entrichten diesem nur dann Steuern und Truppen, wenn sie von ihm eine höhere Meinung haben als vom Papst. Die einfachste Methode, um dies sicherzustellen ist es, nur solche Leute zum Bischof zu ernennen, die Euch bereits wohlgesonnen sind. Klickt die Schaltfläche "Gesetze", um zu erfahren, wie Ihr dies bewerkstelligen könnt.;;Los vasallos eclesiásticos de un gobernante católico sólo te ayudarán tropas y dinero si tienen mejor opinión sobre ti que sobre el Papa. La mejor forma de asegurarse de ello, es apuntar a alguien que te sea leal como obispo. Mira las leyes para comprobar como hacerlo.;;;;;;;;;x
tut_7c_5;Í¬Ò»Ê±¼ä£¬ÄãÖ»ÄÜÑ¡ÔñÒ»¸öÒ°ĞÄºÍÒ»¸öÒõÄ±£¬Èç¹ûÄãÏëÄ±»®ĞÂµÄÒõÄ±£¬¾ÍĞèÒªÈ¡ÏûÇ°Ò»¸öÒõÄ±¡£;Vous pouvez avoir un complot et une ambition active ?n'importe quel moment. Si vous avez déj?un complot et désirez manigancer contre un autre personnage, vous devez auparavant annuler votre ancien complot.;Ihr könnt nur eine Verschwörung und eine Ambition gleichzeitig besitzen. Wollt ihr gegen einen weiteren Charakter intrigieren, so müsst ihr eure alte Verschwörung zunächst abbrechen.;;Sólo puedes tener activos un complot y una ambición al mismo tiempo. Si ya participas en un complot y quieres conspirar contra otro personaje, primero deberás cancelar tu viejo complot.;;;;;;;;;x
tut_7b_4;ÔÚÄãÍ·Ïñ×ó²à£¬Äã¿ÉÒÔ¿´µ½Ò»¸ö±ê×Å¡°Ñ¡ÔñÒ»¸öÒ°ĞÄ¡±µÄĞ¡ĞÍÔ²°´Å¥¡£ÔÚÕâÀïÄã¿ÉÒÔÎªÄãÏÖÔÚµÄ½ÇÉ«Éè¶¨Ò»¸öÒ°ĞÄ¡£¾ÙÀıÀ´Ëµ£¬Ò°ĞÄ¿ÉÒÔÊÇ½á»é¡¢»ıÀÛÒ»´ó±Ê²Æ¸»¡¢»ñµÃÒ»Ç§µãÍşÍûµÈÖîÈç´ËÀàµÄÊÂ¡£µ±ÄãµÄÒ»¸öÒ°ĞÄµÃµ½Âú×ãÊ±£¬ÄãÒ²»á»ñµÃÄ³Ğ©½±Àø¡£µ±È»£¬Ò°ĞÄÔ½ÄÑ´ï³É£¬½±Àø¾ÍÔ½·áºñ¡£;A gauche de votre portrait vous trouverez un petit bouton circulaire appel?'Choisir une ambition'. C'est l?que vous pouvez déterminer l'ambition de votre personnage actuel. Les ambitions types sont de se marrier, d'amasser une grande somme d'argent, d'avoir un millier de points en prestige ou d'autres choses de ce type. Lorsque vous réussissez ?accomplir votre ambition, vous recevrez aussi une sorte de récompense. Celle-ci sera plus important plus l'ambition est difficile ?atteindre bien sûr.;Links neben Eurem Porträt könnt Ihr eine runde Schaltfläche mit dem Namen "Wählt eine Ambition" finden. Hier könnt Ihr die Ambition wählen, der euer Charakter folgen soll. Beispiele für mögliche Ambitionen sind Heirat, die Anhäufung von Reichtümern, die Ansammlung von 1000 Punkten Prestige oder ähnliche Dinge. Wenn Ihr Eure Ambition erfolgreich abschließt, erhaltet ihr eine Belohnung. Schwierigere Ambitionen erzielen verständlicherweise höhere Belohnungen.;;A la izquierda de tu retrato podrás ver un pequeño botón circular llamado "Escoger Ambición'. Aqu?es donde puedes escoger una ambición para tu personaje actual. Posibles ambiciones son casarse, ahorrar una gran cantidad de dinero, ser muy prestigioso, o cosas semejantes. Cuando consigues llevar a cabo una ambición, recibirás una recompensa, que ser?mejor según la dificultad de conseguir lo ambicionado.;;;;;;;;;x
