#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
seize_trade_post_desc;×÷ÎªÒ»Ãû¹óÈË£¬§Y$CLAIMANT$§!¿ÉÒÔ²»Ïò§Y$TITLE$§!ÇëÊ¾¶øÖ±½Ó¶Ô§Y$TARGET$§!ĞûÕ½¡£ÕâÒ»ĞûÕ½ÀíÓÉ¶ÔÓÚÍ¬Ò»¹²ºÍ¹úÄÚÈõµÃ¶àµÄ¹ó×åÊÇ²»Õıµ±µÄ¡£;En tant que patricien, §Y$CLAIMANT$? peut déclarer la guerre ?§Y$TARGET$? pour le §Y$TITLE$?. Ce casus belli n'est pas utilisable contre les patriciens de rang inférieur de la même république.;Als ein Patrizier, §Y$CLAIMANT$? kann §Y$TARGET$? für §Y$TITLE$? den Krieg erklären. Dieser casus belli ist nicht gültig gegen wesentlich schwächere Patrizier innerhalb der gleichen Republik.;;Como patricio, §Y$CLAIMANT$? puede declarar la guerra a §Y$TARGET$? por §Y$TITLE$?;;;;;;;;;x
opinion_rival_republic;µĞ¶Ô¹²ºÍ¹ú;République rivale ;Gegnerische Republik;;República rival;;;;;;;;;x
EVTDESC_REP_070;¾­ÓªÄãÆäÖĞÒ»¸öÃ³Ò×½ÚµãµÄÉÌÈËÃÇĞû²¼·ÅÆú¶ÔÄãµÄ³¯Í¢Ğ§ÖÒ£¡ÏÖÔÚËûÃÇĞ§Á¦ÓÚÒ»¸ö¹óÈË¼Ò×å£¬¸Ã¼Ò×åÊÇĞÂÉúµÄººÈøÍ¬ÃËµÄ³ÉÔ±¡£ººÈøÍ¬ÃËĞû²¼ËûÃÇÕâ¸öÒì¾üÍ»ÆğµÄÍ¬ÃË»áÎªÉÌÈËÃÇ»ñÀûÌá¹©¸üºÃµÄ»ú»á¡£;Les marchands ayant la charge d'un de vos comptoirs ont rompu leur allégeance envers votre maison? Ils sont ?présent au service d'un des familles patriciennes de la récente Hanse, prétendant que cette ambitieuse ligue commerciale leur offre de meilleures opportunités.;Die Kaufleute, die einen Ihrer Handelsposten leiten, haben Ihrer Dynastie die Gefolgschaft aufgekündigt! Sie arbeiten jetzt für eine der Patrizierfamilien in der neu geborenen Hanse, mit der Behauptung, dass dieses Handelsbündnis von Emporkömmlingen ihnen bessere Möglichkeiten bietet, zu profitieren.;;¡Los mercaderes que dirigen uno de tus puestos de comercio han terminado su relación con tu familia! Ahora sirven a la recién creada Hansa, con la excusa de que la nueva liga comercial les permite mayores oportunidades de beneficios. ;;;;;;;;;x
EVTOPTA_REP_070;Íü¶÷¸ºÒåµÄ¼Ò»ïÃÇ£¡;Ingrats?;Undankbare!;;¡Ingratos!;;;;;;;;;x
PATRICIAN_DEMESNE_BONUS;¹óÈË;Patricien;Patrizier;;Patricio;;;;;;;;;x
CANT_BUILD_TRADEPOST_OTHERREP;²»ÊôÓÚÆäËûÉÌÒµ¹²ºÍ¹ú¡£;Ne doit pas être détenu par une autre république maritime;Wird nicht von einer anderen Handelsrepublik besessen;;No forma parte de otra República Mercante;;;;;;;;;x
opinion_royal_marriage;ÁªÒö;Liens par mariage;Ehebünde;;Vinculos matrimoniales;;;;;;;;;x
AIREASON_REPUBLICS_REFUSE_REVOKE;ÄÇĞ©ÉÌÒµ¹²ºÍ¹ú²»»á·ÅÆúÍ·ÏÎµÄ£¡;Les républiques maritimes ne vont pas abandonner de titre;Handelsrepubliken werden Titel nicht aufgeben;;Las repúblicas mercantiles no reparten títulos;;;;;;;;;x
INTERACTION_CAN_AFFORD_THE_COST;ÄÜ¸ºµ£$COST$¤µÄ·ÑÓÃ;Peut dépenser $COST$ ?Kann sich die Kosten von $COST$?leisten;;Puedes gastar $COST$?;;;;;;;;x
INTERACTION_RECIPIENT_NOT_EMBARGOING;§Y[Recipient.GetTitledFirstName]§!²¢Î´ÒÑÔÚ½ûÔË§Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Recipient.GetTitledFirstName]? n'a pas mis sous embargo §Y[ThirdPartyCharacter.GetTitledFirstName]?;§Y[Recipient.GetTitledFirstName]? hat noch kein Embargo gegen §Y[ThirdPartyCharacter.GetTitledFirstName]?;;§Y[Recipient.GetTitledFirstName]? no tiene a §Y[ThirdPartyCharacter.GetTitledFirstName]? bajo embargo;;;;;;;;;x
