;#b_amalfi;Amalfi;;Amalfi;;Amalfi;;;;;;;;;x;
;#CODE;ENGLISH;;GERMAN;;ESPA?OL;;;;;;;;;x;
;#duchy_of_norse_pagan;Jarldom of;;Jarltum von;;Jarldom de;;;;;;;;;x;
;#duchy_of_norse_pagan_reformed;Jarldom of;;Jarltum von;;Jarldom de;;;;;;;;;x;
;#duke_norse_pagan;Jarl;;Jarl;;Jarl;;;;;;;;;x;
;#duke_norse_pagan_reformed;Jarl;;Jarl;;Jarl;;;;;;;;;x;
;#EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights。The Poor Fellow——Soldiers of Christ and of the Temple of Solomon —— or the Knights Templar for short —— have sworn to protect pilgrims travelling through the Holy Land。[ThePope.GetTitledFirstName] fully endorses the Order	and will allow pious Catholic rulers to call on their aid	though they will only fight against heretics and infidels。;;Ein neuer christlich-milit?rischer Orden wurde von einer kleinen Gruppe reicher Ritter gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem – kurz Tempelritter – haben geschworen	alle Pilger auf ihren Reisen durch das Heilige Land zu schützen. [ThePope.GetTitledFirstName] unterstützt den Orden vollkommen und erlaubt frommen katholischen Herrschern	den Orden zu Hilfe zu rufen. Er k?mpft jedoch nur gegen Ketzer und Ungl?ubige.;;Una nueva orden militar Cristiana ha sido fundada por un peque?o grupo de caballeros ricos. Los Miembros Pobres	Soldados de Cristo y del Templo de Salomón	o los Caballeros Templarios	para abreviar	han jurado proteger a los peregrinos que viajan a través de la Tierra Santa. [ThePope.GetTitledFirstName] respalda plenamente la Orden	y permitirá a los gobernantes Católicos piadosos pedir su ayuda	a pesar de que sólo van a luchar contra los herejes e infieles.;;;;;;;;;x;
;#EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed	sponsored by [ThePope.GetTitledFirstName] and the Holy Roman Emperor。The Teutonic Order	much like the Knights of St。John and the Knights Templar	primarily protect and care for pilgrims to the Holy Land	but will serve any good Catholic ruler willing to pay for their upkeep。Being a religious order	they will only fight against heretics and infidels。;;Der Orden der Brüder vom deutschen Haus Sankt Mariens in Jerusalem wurde mit der Unterstützung von [ThePope.GetTitledFirstName] und des Heiligen R?mischen Kaisers gegründet. Der Teutonische Orden beschützt	?hnlich wie die Ritter von St. John und den Tempelrittern	die Pilger zum Heiligen Land	wird aber jedem guten	katholischen Herrscher dienen der bereit ist	ihren Unterhalt zu zahlen. Als religi?ser Orden k?mpfen sie nur gegen Ketzer und Ungl?ubige.;;La Orden de los Hermanos de la Casa Alemana de Santa María en Jerusalén se ha formado	patrocinada por [ThePope.GetTitledFirstName] y el Santo Emperador Romano. La Orden Teutónica	al igual que los Caballeros de San Juan y los Caballeros Templarios	principalmente protegen y cuidan a los peregrinos a Tierra Santa	pero servirán a cualquier buen gobernante Católico dispuesto a pagar por su mantenimiento. Siendo una orden religiosa	sólo lucharán contra los herejes e infieles.;;;;;;;;;x;
;#EVTDESC62920;With our new capital in León	I have decided to rename the kingdom of Asturias to León	thereby clearly declaring my ambitions in the Iberian heartlands……;;Mit unserer neuen Hauptstadt in León habe ich beschlossen	das K?nigreich von Asturien in León umzubennen und hiermit meine Ambitionen im iberischen Kernland zu verkünden…;;Con nuestra nueva capital en León	he decidido cambiar el nombre del reino de Asturias a León	con lo que se declaran claramente mis ambiciones en la zona Ibérica central...;;;;;;;;;x;
;#EVTDESC62921;[From.GetTitledName] has decided to rename [From.GetPossPronoun] kingdom to León after its new capital	signaling an increased political focus on the Iberian heartlands and away from the coastal periphery。;;[From.GetTitledName] hat beschlossen	das [From.GetPossPronoun] K?nigreich nach seiner Hauptstadt zu León umzubennenn	und seinen verst?rkten politischen Fokus auf das iberische Kernland und weg von den Küsten-Randgebieten zu signalisieren.;;[From.GetTitledName] ha decidido cambiar el nombre de [From.GetPossPronoun] reino a León por su nueva capital	lo que indica una mayor atención política en la zona Ibérica central y fuera de la periferia costera.;;;;;;;;;x;
;#EVTNAME62920;The Kingdom of León;;Das K?nigreich von León;;El Reino de León;;;;;;;;;x;
;#EVTNAME62921;The Kingdom of León;;Das K?nigreich von León;;El Reino de León;;;;;;;;;x;
;#EVTTOOLTIP62920;I am crowned King of León;;Ich bin gekr?nter K?nig von León;;Soy coronado Rey de León;;;;;;;;;x;
;#job_marshal_greek;Strategos;;Strategos;;Estratega;;;;;;;;;x;
;#k_seljuk_turks;Seljuk Turks;;Seldschuken;;Turcos Selyúcidas;;;;;;;;;x;
;#LIEGE_PIETY;Piety from temple vassals：+$VALUE$?;;Fr?mmigkeit von Tempelvasallen: +$VALUE$?;;Piedad de los vasallos del templo: +$VALUE$?;;;;;;;;;x;
;#LIEGE_PIETY_BUILDING;Piety to Liege：+$VALUE$?;;Fr?mmigkeit für den Lehnsherrn: +$VALUE$?;;Piedad al Se?or Feudal: +$VALUE$?;;;;;;;;;x;
;#MAKE_CONSORT_INTERACTION_LONG_DESC;Pagan rulers can have up to three concubines in addition to their wife。Concubines are not truly married	but will bear their liege's legitimate children。A woman who is the prisoner of a Pagan ruler can be forced to become his concubine	even if she is already married。;;Heidnische Herrscher k?nnen bis zu drei Konkubinen neben ihrer Frau haben. Konkubinen sind nicht wirklich verheiratet	geb?ren ihrem Lehnsherrn aber legitime Kinder. Eine Frau	die eine Gefangene eines heidnischen Herrschers ist	kann dazu gezwungen werden	seine Konkubine zu werden	selbst wenn sie bereits verheiratet ist.;;Los gobernantes Paganos pueden tener hasta tres concubinas además de su esposa. Las concubinas no están realmente casadas	pero darán hijos legítimos a sus se?ores. Una mujer prisionera de un gobernante Pagano puede ser obligada a convertirse en su concubina	aunque ya esté casada.;;;;;;;;;x;
;#MONTHLY_PIETY_TO_LIEGE;Monthly Piety to Liege：\n;;Monatl. Fr?mmigkeit zum Lehnsherrn:\n;;Piedad Mensual a Se?or Feudal:\n;;;;;;;;;x;
;#norse_pagan_reformed;Norse;;nordisch;;Nórdico;;;;;;;;;x;
;#obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]。If pagan	it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom。;;[This.GetTitledFirstName] m?chte K?nig von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem K?nigreich.;; [This.GetTitledFirstName] quiere convertirse en Rey de [This.Capital.Kingdom.GetName]. Si es pagano	permite a [This.GetObjectPronoun] el uso ilimitado de la Casus Belli Subyugación dentro del reino.;;;;;;;;;x;
;#obj_become_king_tip;Is King of [This.Capital.Kingdom.GetName];;Ist K?nig von [This.Capital.Kingdom.GetName];;Es Rey de [This.Capital.Kingdom.GetName];;;;;;;;;x;
;#obj_become_king_title;Become King of [This.Capital.Kingdom.GetName];;Werdet K?nig von [This.Capital.Kingdom.GetName];;Convertirse en Rey de [This.Capital.Kingdom.GetName];;;;;;;;;x;
;#peasant_leader_desc;This character is a jumped up peasant who revolted against his betters。;Ce personnage est un paysan furieux qui se révolte contre ses supérieurs.;Dieser Charakter ist ein aufst?ndiger Bauer	der gegen seine Obrigkeiten rebelliert.;;Este personaje es un campesino que se rebeló contra sus superiores.;;;;;;;;;x;
;#SETTLEMENT_LOOTED_LOG;$SETTLEMENT$? Has been looted by $LOOTER$?;;$SETTLEMENT$? wurde von $LOOTER$? geplündert;;$SETTLEMENT$? Ha sido saqueado por $LOOTER$?;;;;;;;;;x;
;#VASSAL_OPINION_CHANGE;All vassals' opinion of $ABOUT$? changes by $MUCH$;;Die Haltung aller Vasallen von $ABOUT$? ver?ndert sich um $MUCH$;;La opinión de todos los vasallos acerca de $ABOUT$? cambia por $MUCH$;;;;;;;;;x;
;#vassal_sacrifice_decision;Sacrifice [Root.GetTitledFirstName];;Opfert [Root.GetTitledFirstName];;Sacrifica a [Root.GetTitledFirstName];;;;;;;;;x;
action_inquisition;传教;Faire du pros閘ytisme;Bekehren;;Hacer proselitismo;;;;;;;;;x
AIREASON_CONSORT_CHILD;这是我的孩子;Est mon enfant;Ist mein Kind;;Es mi hijo;;;;;;;;;x
AIREASON_CONSORT_CLOSE_RELATIVE;这是我的近亲;Est un proche parent;Ist mein naher Verwandter;;Es mi pariente cercano;;;;;;;;;x
AIREASON_CONSORT_IS_MY_HEIR;这是我的继承者;Est mon h閞itier;Ist mein Erbe;;Es mi heredero;;;;;;;;;x
AIREASON_CONSORT_TOO_LOW_RANK;[GetTitledFirstName]? 作为一个高产的妾地位太低了;[GetTitledFirstName]? est de rang beaucoup trop bas pour une concubine si bien n閑;[GetTitledFirstName]? ist von zu niedrigem Stand	um sich eine solch hochgeborene Konkubine zu halten;;[GetTitledFirstName]? es de un rango demasiado bajo para una concubina de tan alta cuna ;;;;;;;;;x
AIREASON_NO_WAR_AGAINST_REL_BRETHREN;不能帮着别的宗教的敌人去攻打跟自己一个宗教的兄弟;Ne joindra pas les ennemis religieux contre des fr鑢es de la Foi;Wird religi鰏e Gegner nicht gegen Br黡er des Glaubens unterst黷zen;;No se unir醤 a enemigos religiosos contra los hermanos de la Fe;;;;;;;;;x
AIREASON_NOT_CONSORT_RELIGION;[Religion.GetName]?信仰不允许迎娶妾;Le [Religion.GetName]? n'autorise pas d'avoir des concubines ;Der [Religion.GetName]?-Glaube gestattet es nicht	sich Konkubinen zu nehmen;;La fe [Religion.GetName]? no permite tomar concubinas;;;;;;;;;x
AIREASON_NOT_MY_LOVER;[GetTitledFirstName]?是领主的情人;[GetTitledFirstName]? est mon amour;[GetTitledFirstName]? ist mein Liebhaber;;[GetTitledFirstName]? es mi amante;;;;;;;;;x
AIREASON_PREPARING_INVASION;准备入侵 [GetTitledName]?;Se pr閜are ?envahir [GetTitledName]?;Invasionsvorbereitungen gegen [GetTitledName]?;;Preparando para invadir [GetTitledName]?;;;;;;;;;x
alert_at_peace_prestige_loss_delayed;作为一个$RELIGION$ ?， 如果你处于和平或是不去劫掠的话，每月会减少$PRESTIGE$?威望。;En tant que de religion pa飁nne $RELIGION$?	vous perdez $PRESTIGE$? de prestige chaque mois o?vous 阾es en paix et ne faites pas de pillages.;Als ein $RELIGION$-Heide? verliert Ihr $PRESTIGE$? Prestige in jedem Monat	in dem Ihr Euch im Frieden befindet und niemanden pl黱dert.;;Como Pagano $RELIGION$?	pierdes $PRESTIGE$? prestigio cada mes por estar en paz y no hacer ning鷑 ataque.;;;;;;;;;x
alert_at_peace_prestige_loss_instant;你们是在和平里呆得太久了吗！?;Vous avez 閠?en paix pendant trop longtemps??;Ihr befindet Euch zu lange in Friedenszeiten!?;;Llevas en paz demasiado tiempo!?;;;;;;;;;x
alert_at_peace_prestige_loss_name;长期和平;Longue paix;Langer Frieden;;Larga Paz;;;;;;;;;x
alert_can_reform_religion_delayed;$RELIGION$? 可以改造成一个有组织的宗教;La foi $RELIGION$? peut 阾re r閒orm閑 en une religion organis閑;Der $RELIGION$?-Glauben kann in eine organisierte Religion reformiert werden;;La fe $RELIGION$? puede ser reformada a una religi髇 organizada;;;;;;;;;x
alert_can_reform_religion_instant;宗教可以改革?;La religion peut 阾re r閒orm閑?;Religion kann reformiert werden?;;La Religi髇 puede ser Reformada?;;;;;;;;;x
alert_can_reform_religion_name;宗教可以改革?;La religion peut 阾re r閒orm閑?;Religion kann reformiert werden?;;La Religi髇 puede ser Reformada?;;;;;;;;;x
alert_can_tech_delayed;你在一个科技组有足够的科技点可以用来投资发展;Vous avez suffisamment de points de technologie dans l'un des groupes de technologie pour investir dans l'une de ses avanc閑s;Ihr habt genug Technologiepunkte in einer Technologie-Gruppe	um in einen ihrer Fortschritte zu investieren;;Tienes suficientes Puntos Tecnol骻icos en un Grupo Tecnol骻ico para invertir en cualquiera de sus avances;;;;;;;;;x
alert_can_tech_instant;你应该投资一项科研?;Vous devriez investir dans des avanc閑s technologiques?;Ihr solltet in einen technologischen Fortschritt investieren?;;Deber韆s Invertir en un Avance Tecnol骻ico?;;;;;;;;;x
alert_enemy_invasion_planned_delayed;敌方统治者正准备入侵我国：\n$LIST$;Des souverains ennemis se pr閜arent ?nous envahir?\n$LIST$;Feindliche Herrscher bereiten Invasionen gegen uns vor:\n$LIST$;;Gobernantes enemigos est醤 preparando invasiones contra nosotros:\n$LIST$;;;;;;;;;x
alert_enemy_invasion_planned_instant;敌人准备入侵?;L'ennemi pr閜are une invasion?;Feindliche Invasionsvorbereitung?;;Enemigo Planeando Invadir?;;;;;;;;;x
alert_planning_invasion_delayed;在$DATE$?前我们正准备入侵$TARGET$?;Nous nous pr閜arons ?envahir $TARGET$? avant le $DATE$?;Wir bereiten eine Invasion gegen $TARGET$? noch vor dem $DATE$? vor;;Nos estamos preparando para invadir $TARGET$? antes de $DATE$?;;;;;;;;;x
alert_planning_invasion_instant;准备入侵?;Pr閜aration d'une invasion?;Invasionsvorbereitung?;;Preparando para Invadir?;;;;;;;;;x
ANY_CONSORT_STARTS;任何一个妾;N'importe quelle concubine;Eine Konkubine;;Cualquier Concubina;;;;;;;;;x
ANY_PREVIOUS_HOLDER_STARTS;所有前拥有者;N'importe quel propri閠aire pr閏閐ent;Beliebiger	vorheriger Inhaber;;Cualquier Propietario Anterior;;;;;;;;;x
AT_PEACE_PRESTIGE_LOSS;处于和平 （$MONTHS$? 个月）：$PRESTIGE$?;En paix ($MONTHS$? mois)? $PRESTIGE$?;Im Frieden ($MONTHS$? Monate): $PRESTIGE$?;;En Paz ($MONTHS$? meses): $PRESTIGE$?;;;;;;;;;x
ATTRIBUTE_DIFF_AT_LEAST;$ATTRIBUTE$  $FIRST$? 和 $SECOND$?差异至少 $VAL$?;La diff閞ence en $ATTRIBUTE$ entre $FIRST$? et $SECOND$? est au moins de $VAL$?;$ATTRIBUTE$ Unterschied zwischen $FIRST$? und $SECOND$? mindestens $VAL$?;;$ATTRIBUTE$ Diferencia entre $FIRST$? y $SECOND$? al menos $VAL$?;;;;;;;;;x
ATTRIBUTE_DIFF_LOWER_THAN;$ATTRIBUTE$  $FIRST$? 和 $SECOND$? 的差异低于 $VAL$?;La diff閞ence en $ATTRIBUTE$ entre $FIRST$? et $SECOND$? est inf閞ieure ?$VAL$?;$ATTRIBUTE$ Unterschied zwischen $FIRST$? und $SECOND$? niedriger als $VAL$?;;$ATTRIBUTE$ Diferencia entre $FIRST$? y $SECOND$? inferior a $VAL$?;;;;;;;;;x
avar;阿瓦尔;avare;Avar;;羦aro;;;;;;;;;x
away_witch;你的人把这个女人拖了出去并把她扔进了附近的一堆垃圾中。;Vos hommes tra頽ent la femme ?l'ext閞ieur et la jettent sur un tas de d閠ritus.;Eure M鋘ner bringen die Frau nach drau遝n und werfen sie in einen Haufen Abfall.;;Tus hombres acarrean a la mujer afuera y la echan en un mont髇 de basura cercano.;;;;;;;;;x
