;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
NAME_W_NICK;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
;#VASSAL_RETRACTION_SETUP;A Vassal has been retracted;;Ein Vasall wurde zur¨¹ckgenommen;;Un vasallo ha sido desafectado;;;;;;;;;x;
VASSAL_RETRACTION_LOG;$TOP_LIEGE$ÒÑÊÕ»Ø$VASSAL$$OLD_LIEGE$Í·ÏÎ¡£;$TOP_LIEGE$ a soustrait $VASSAL$ de la vassalité de $OLD_LIEGE$;$TOP_LIEGE$ hat $VASSAL$s Vasallentum von $OLD_LIEGE$ zurückgenommen;;$TOP_LIEGE$;;;;;;;;;x
opinion_retracted_my_vassal;ÊÕ»Ø·â³¼Í·ÏÎ¡£;M'a soustrait un vassal ;Meinen Vasallen zurückgenommen;;Desafectó a mi vasallo;;;;;;;;;x
opinion_retracted_my_de_jure_vassal;ÊÕ»ØÎÒµÄ·¨Àí·â³¼Í·ÏÎ¡£;M'a soustrait un vassal de jure ;Meinen de jure Vasallen zurückgenommen;;Desafectó mi vasallo de jure;;;;;;;;;x
opinion_retracted_a_vassal;ÊÕ»ØÒ»¸ö·â³¼µÄÍ·ÏÎ¡£;Vassal soustrait ;Einen Vasallen zurückgenommen;;Desafectó un vasallo;;;;;;;;;x
opinion_retracted_a_de_jure_vassal;ÊÕ»ØÒ»¸ö·¨Àí·â³¼µÄÍ·ÏÎ¡£;Vassal de jure soustrait ;Einen de jure Vasallen zurückgenommen;;Desafectó un vasallo de jure;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_TITLE;ÊÕ»Ø·â³¼Í·ÏÎ;Soustraire un vassal;Vasallentum zurücknehmen;;Desafecta un vasallaje;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DESC;ÊÕ»ØÒ»¸ö·â³¼§Y[Recipient.GetBestName]§!Í·ÏÎ¡£;Soustraire un vassal de §Y[Recipient.GetBestName]§!.;Einen Vassalen von §Y[Recipient.GetBestName]§! zurücknehmen.;;Desafecta un vasallo de §Y[Recipient.GetBestName]§!.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LONG_DESC;Äã¿ÉÒÔÊÕ»ØÄãÒ»¸öÖ±Êô·â³¼µÄ·â³¼µÄÍ·ÏÎ¡£ËûÃÇ»á¶Ô´Ë¸Ğµ½²»ÔÃ£¬ÌØ±ğÊÇµ±±»ÊÕ»ØÍ·ÏÎµÄ·â³¼ÊÇËûÃÇµÄ·¨Àí·â³¼µÄÊ±ºò¡£;Vous pouvez soustraire un vassal de l'un de vos vassaux directs. Un acte qui leur déplaira, plus particulièrement s'il s'agit d'un de leur vassaux de jure.;Du kannst einen Vasallen von einem deiner direkten Vasallen zurücknehmen. Er wird darüber nicht erfreut sein, besonders nicht, wenn es sich um einen de jure Vasallen handelt.;;Puedes desafectar un vasallo de uno de tus vasallos directos. No les gustará nada, especialmente si es su vasallo de jure.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_0;Ñ¡Ôñ·â³¼£¬ÊÕ»ØÆä§Y[Recipient.GetTitledFirstName]§WÍ·ÏÎ¡£;Sélectionnez un vassal à soustraire à §Y[Recipient.GetTitledFirstName]§W.;Wähle einen Vasallen von §Y[Recipient.GetTitledFirstName]§W aus, um ihn zurückzunehmen.;;Selecciona un vasallo a desafectar de §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
