#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! ¿ÉÒÔ¸ºµ£ [GetHerHis] ×Ô¼ºµÄÊê½ğ;§Y[GetTitledFirstName]? peut payer sa propre rançon;§Y[GetTitledFirstName]? Kann [GetHerHis] Lösegeld selbst zahlen;;§Y[GetTitledFirstName]? puede permitirse su propio rescate;;;;;;;;;x
AIREASON_MARRIAGE_DOES_NOT_MATCH_BETROTHAL;»éÒöÀàĞÍÓë¶©»é²»·û;Le type de mariage ne correspond pas aux fiançailles;Die Art der Ehe passt nicht zur Verlobung;;El tipo de matrimonio no coincide con el compromiso;;;;;;;;;x
appointment;ÈÎÃüÖÆ;Nomination;Verabredung;;Nombramiento;;;;;;;;;x
AIREASON_WILL_NOT_BE_CONSORT_INFIDELS;§Y[GetTitledFirstName]§!²»ÄÜ±»Òì½ÌÍ½ÄÉÎªæª;§Y[GetTitledFirstName]? ne doit pas entrer en concubinage avec un infidèle;§Y[GetTitledFirstName]? darf nicht die Konkubine eines Ungläubigen werdenl;;§Y[GetTitledFirstName]? no debe convertirse en la concubina de un infiel;;;;;;;;;x
SPLIT_IN_HALF_UNIT;Æ½·Ö²¿¶Ó;Scinder en deux;Zweiteilen;;Partir por la mitad;;;;;;;;;x
SPLIT_IN_HALF_UNIT_DRO;½«ÕâÖ§²¿¶Ó·ÖÎªÊµÁ¦´óÖÂÏàÍ¬µÄÁ½Ö§¡£Èç¹û²¿¶ÓÖĞÓĞ±øÁ¦ºÜ´óµÄ¾üÍÅ£¬ÄÇÃ´ĞÂ·Ö³öµÄÁ½Ö§²¿¶Ó¿ÉÄÜÊµÁ¦»á²»¾ùµÈ¡£;Divise cette unit?en deux nouvelles de force approximativement égale. Il se peut que la répartition ne soit pas tout ?fait équilibrée si votre unit?comporte de très grands régiments.;Teilen Sie  diese Einheit in zwei etwa gleich starke Einheiten. Einheiten mit sehr großen Regimentern können eventuell nicht gleichmäßig geteilt werden.;;Divide esta unidad en dos unidades de aproximadamente la misma fuerza. Es posible que las unidades con regimientos muy grandes no puedan dividirse de forma uniforme.;;;;;;;;;x
succ_appointment;ÈÎÃüÖÆ;Nomination;Verabredung;;Nombramiento;;;;;;;;;x
succ_appointment_desc;·â³¼ËÀÍöÊ±£¬Í·ÏÎ½«È«²¿¹é»¹¸øËûµÄÁìÖ÷¡£;?la mort du détenteur, tous les titres reviennent au seigneur lige.;Beim Tod fallen alle Titel an den Lehensherrn zurück.;;Al morir, todos los títulos retornan al señor.;;;;;;;;;x
papal_succession;½Ì×ÚÑ¡¾ÙÖÆ;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession;½Ì×ÚÑ¡¾ÙÖÆ;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession_desc;½Ì×ÚÓÉÊà»úÖ÷½ÌÍÅ¸ù¾İÄêÁä¡¢ò¯³Ï¡¢ÉùÍû¼°ÆäËûÒòËØÑ¡³ö¡£;Le Pape est élu par le Collège des Cardinaux selon son âge, sa piét? sa popularit? entre autres facteurs.;Der Papst wird vom Kardinalskollegium aufgrund von Alter, Frömmigkeit, Beliebtheit und anderen Faktoren gewählt.;;El Papa es elegido por el Colegio Cardenalicio en función de su edad, piedad, popularidad y otros factores.;;;;;;;;;x
COMMANDER;Ö¸»Ó¹Ù;Commandant;Kommandant;;Comandante;;;;;;;;;x
FAMILY_PALACE;¼Ò×å¹¬µî;Palais familial;Familien-Schloss;;Palacio Familiar;;;;;;;;;x
HAS_LOWER_SCORE_THAN;·ÖÊıµÍÓÚ;Possède un score inférieur ?Hat  niedrigeren Punktstand als;;Tiene una puntuación inferior a;;;;;;;;;x
HAS_HIGHER_SCORE_THAN;·ÖÊı²»µÍÓÚ;Possède un score d'au moins;Hat mindestens einen Punktstand von;;Tiene una puntuación igual o superior a;;;;;;;;;x
REP_HAS_FEWER_TPS_THAN;¹²ºÍ¹úµÄÃ³Ò×Õ¾ÉÙÓÚ§Y$NUM$§!¸ö;La république possède moins de §Y$NUM$? comptoirs commerciaux;Republik hat weniger als §Y$NUM$? Handelsposten;;La república tiene menos de §Y$NUM$? puestos comerciales;;;;;;;;;x
REP_HAS_MORE_TPS_THAN;¹²ºÍ¹úµÄÃ³Ò×Õ¾ÖÁÉÙÓĞ§Y$NUM$§!¸ö;La république possède au moins §Y$NUM$? comptoirs commerciaux;Republik hat mindestens §Y$NUM$? Handelsposten;;La república tiene al menos §Y$NUM$? puestos comerciales;;;;;;;;;x
IS_NOT_HISTORICAL;²»ÊÇÊ·ÊµÖĞµÄ;N'est pas historique;Ist NICHT historisch;;NO es histórica;;;;;;;;;x
IS_HISTORICAL;ÊÇÊ·ÊµÖĞµÄ;Est historique;Ist historisch;;Es histórica;;;;;;;;;x
title_cardinal;Êà»úÖ÷½Ì;Cardinal;Kardinal;;Cardenal;;;;;;;;;x
crushed_revolt;±»ÕòÑ¹µÄÅÑÂÒ;Révolte réprimée;Aufstand niedergeschlagen;;Ha derrotado una rebelión;;;;;;;;;x
crushed_major_revolt;±»ÕòÑ¹µÄÖØÒªÅÑÂÒ;Révolte majeure réprimée;Großen Aufstand niedergeschlagen;;Ha derrotado una rebelión importante;;;;;;;;;x
COLLEGE_OF_CARDINALS;Êà»úÖ÷½ÌÍÅ;Le Collège des Cardinaux;Das Kardinalskollegium;;El Colegio Cardenalicio;;;;;;;;;x
expected_next_title_cardinal;×îÓĞÏ£Íû³ÉÎªÊà»úÖ÷½Ì;Prochain cardinal prévu;Erwarteter neuer Kardinal;;Presunto próximo cardenal;;;;;;;;;x
expected_next_title_cardinal_tooltip;µ±Êà»úÖ÷½ÌÍÅÓĞ¿ÕÈ±Ãû¶îÊ±£¬ÕâÃûÖ÷½Ì×îÓĞ¿ÉÄÜ³ÉÎªĞÂµÄÊà»úÖ÷½Ì¡£;Cet évêque sera probablement le prochain cardinal dès qu'une place sera disponible.;Dieser Bischof wird wahrscheinlich als nächster zum Kardinal ernannt, wenn ein Sitz im Kollegium frei wird.;;Este obispo es, probablemente, el próximo candidato a Cardenal cuando haya una vacante.;;;;;;;;;x
best_candidate_title_cardinal;ÎÒ¹ú×îÓĞÁ¦µÄÊà»úÖ÷½Ìºò²¹;Mon meilleur candidat;Mein bester Kardinalskandidat;;Mi mejor candidato a Cardenal;;;;;;;;;x
best_candidate_title_cardinal_tooltip;ÔÚÎÒ¹úÄÚµÄËùÓĞÖ÷½ÌÖĞ£¬ÕâÃûÖ÷½Ì×îÓĞ¿ÉÄÜ±»½Ì×ÚÈÎÃüÎªÊà»úÖ÷½Ì¡£;De tous les évêques du pays, celui-ci est le plus susceptible d'être nomm?cardinal par le pape.;Von allen Bischöfen in meinem Reich wird dieser wahrscheinlich am ehesten vom Papst zum Kardinal ernannt.;;De todos los obispos de mi reino, este es el que tiene más probabilidades de que el Papa lo nombre Cardenal.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_SETUP;½Ì×ÚÈÎÃüÁËĞÂµÄÊà»úÖ÷½Ì¡£;Nouveau cardinal nomm?Neuer Kardinal ernannt;;Nuevo cardenal nombrado.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ ±»ÈÎÃüÎªÊà»úÖ÷½ÌÍÅµÄÒ»Ô±¡£;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen.;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ ±»ÈÎÃüÎªÊà»úÖ÷½ÌÍÅµÄÒ»Ô±¡£;$NEWHOLDER$ a reçu un siège au Collège des cardinaux.;$NEWHOLDER$ wurde ins Kardinalskollegium berufen;;$NEWHOLDER$ ha obtenido un asiento en el Colegio Cardenalicio.;;;;;;;;;x
alert_deficits_instant;§YÔ¤Ëã³à×Ö§!;§YCoffres vides?;§YHaushaltsdefizit?;;§YDéficit presupuestario?;;;;;;;;;x
alert_deficits_delayed;ÄãµÄ½ğ¿âÒÑ±»»Ó»ôÒ»¿Õ£¬»¹Ç·ÏÂ³¼ÃñÒ»Æ¨¹ÉÕ®¡£²¿¶ÓµÄÊ¿ÆøÒò´ËÊÜµ½Ó°Ïì¡£³¤´ËÒÔÍù£¬¸¯°ÜºÍ·¸×ïÒ²ÓĞ¿ÉÄÜÔÚÄãµÄÁìµØºáĞĞ¡£;Vos coffres sont vides et vous avez contract?des dettes envers vos sujets. Le moral de vos armées en sera affect? Plus cette situation s'éternisera, plus la corruption et le crime nuiront ?vos comtés.;Ihre Kasse ist leer und Ihr schuldet Euren Untertanen Geld. Die Moral Eurer Truppen wird leiden und je länger das anhält, umso mehr werden Korruption und Kriminalität Eure Ländereien heimsuchen;;Tus arcas están vacías y debes dinero a tus súbditos. La moral de los ejércitos se ver?afectada y, cuanto más tiempo transcurra, más afectarán la corrupción y la delincuencia a tus condados.;;;;;;;;;x
