#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
HOLD_ELECTION_EFFECT;Ò»³¡Ñ¡¾ÙÕıÔÚ$TITLE$¾ÙĞĞ¡£\n;Une élection se tient en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;§Y$ANTIPOPE$§!ÒÑ¾­²»ÔÙÊÇ¶ÔÁ¢½Ì×Ú¡£;L'Anti-papaut?de §Y$ANTIPOPE$? a pris fin.;Gegenpapsttum der §Y$ANTIPOPE$? ist beendet.;;El antipapado de §Y$ANTIPOPE$? ha terminado.;;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;×î¼ÑĞû³ÆÕß;Prétendant le plus légitime;Besten Titelforderer;;Mejor pretendiente;;;;;;;;;x
CRUSADE_DESC_DRO_3;¼ÈÈ»§Y$TITLE$§!µÄÍõ¹ÚÓĞĞí¶àÓÅĞãµÄ$RELIGION$Ğû³ÆÕß£¬ÄÇÃ´ËùÓĞ»ñµÃµÄÁìÍÁ¶¼»á¸ø×îÓĞÁ¦µÄºòÑ¡ÈË¡ª¡ªÏÖÔÚÊÇ§Y$RULER$§!¡£¶ÔÊ¥Õ½×ö³ö¹±Ï×µÄĞû³ÆÕß±»ÓÅÏÈ¿¼ÂÇ¡£;Comme il y a de bons prétendants de religion $RELIGION$ ?la couronne de §Y$TITLE$?, toute les terres conquises seront données au candidat le plus légitime, soit actuellement §Y$RULER$?.\nLes prétendants contribuant ?la guerre y gagneront en légitimit?et seront de ce fait prioris?;Weil es gute $RELIGION$ Titelförderer für die Krone von §Y$TITLE$? gibt, wird alles erüberter Territorium an der stärkste Kandidat gegeben - in dieses Moment §Y$RULER$?. Titelförderer die an den Krieg beitragen haben Priorität.;;Como hay buenos pretendientes $RELIGION$ a la corona de §Y$TITLE$?, todo el territorio conquistado se dar?al candidato más fuerte ?actualmente §Y$RULER$?. Pretendientes que contribuyen a la guerra se priorizarán.;;;;;;;;;x
restore_pope_in_rome;Ê¹ÂŞÂí½Ì×Ú¸´Î»¡£;Restaurer la Papaut??Rome;Papsttum Wiederstellen;;Restorar el papado;;;;;;;;;x
restore_pope_in_rome_desc;½Ì×ÚÊ§È¥ÁË¶ÔÊÀË×ÁìµØµÄ¿ØÖÆ£¬²»¹ıÎªËû¶á»ØÓÀºãÖ®³ÇÈ´ÊÇÎÒµÄ·ÖÄÚÖ®ÊÂ¡£;Le Saint-Père a perdu le contrôle de son domaine séculier, mais il est en notre pouvoir de le rétablir dans la Cit?Eternelle? ;Das Heilige Vater hat seinen Weltlichen Domain verloren , aber ich kan ihn die Ewige Stadt zurückgeben!;;El Santo Padre ha perdido su dominio terrenal, pero yo tengo el poder de devolverle la Ciudad Eterna!;;;;;;;;;x
opinion_restored_to_rome;¶á»ØÂŞÂí;Restaur??Rome;In Rom wiedergestellt;;Restorado en Roma;;;;;;;;;x
opinion_creator_of_rel_heal;½¨Á¢ÎÒµÄ×Ú½Ì·¨Í¥;A créé mon titre;Schuf meine Post;;Cre?mi oficio;;;;;;;;;x
EVTDESC_SOA_2609;´ËÆïÊ¿ÍÅµÄÃû³ÆÔ´×ÔÊ¥µØÑÇ¸ç¡¤ÂíËşÄªÀ×Ë¹»òËûÔÚÊÀ½çÆäËûµØ·½µÄ³Æºô¡ª¡ª¡°Ä¦¶ûÈËµÄÍÀ·ò¡±Ê¥ÑÅ¸÷¡£Ê¥µØÑÇ¸çÆïÊ¿ÍÅÊÜ[Root.Religion.GetName]½Ì»áµÄ¹Ù·½×ÊÖú£¬¶øÇÒ£¬Èç¹û[Root.Religion.GetName]Í³ÖÎÕßÒªÇóÆïÊ¿ÍÅÖĞµÄÆïÊ¿·¢ÊÄÇåÏ´Íõ¹úÖĞµÄËùÓĞÒì½ÌÍ½ºÍÒì¶Ë£¬ËûÃÇÔò»áÀÖÓÚĞ§Ãü¡£;Un nouvel ordre saint a ét?fond?en Hispanie. Cet Ordre doit son nom ?Jacques de Zébédée, un des douze apôtres, également connu sous le nom de Santiago Matamoros - littéralement «le tueur de Maures?\nL'Ordre de Santiago est soutenu par l'Église [Root.Religion.GetName] et ses chevaliers ont fait vœux de purger des royaumes entiers des infidèles et des païens qui y habitent si un seigneur [Root.Religion.GetName] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, d.h. dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat von die [Root.Religion.GetName] Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName] Majestät dies befiehlt. ;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si as?lo solicitara un gobernante [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_2709;¿¨ÀÕ¶àÀ­°ÍÆïÊ¿ÍÅÊÇ×îĞÂ¼ÓÈëÊ®×Ö¾üµÄ³ÉÔ±¡£¸Õ¸ÕÓÉ[Root.Religion.GetName]½Ì»á·¢²¼µÄÚ¯ÊéÅú×¼³ÉÁ¢¡£ÕâÒ»ÆïÊ¿ÍÅµÄÃû³ÆÔ´ÓÚÒ»×ù´ÓÄÂË¹ÁÖÒì½ÌÍ½ÊÖÖĞÊÕ¸´µÄÒÁ±ÈÀûÑÇ³Ç±¤¡£ÄÄ¸ö [Root.Religion.GetName]Ö§¸¶¸øËûÃÇ²¿¶ÓÎ¬»¤·Ñ£¬ËûÃÇ¾Í»áÒÔÆäÃûÒåÓëÒì½ÌÍ½ºÍÒì¶Ë×÷Õ½ÒÔ¼°±£ÎÀò¯³ÏµÄĞÅÍ½¡£;L'Ordre de Calatrava est le plus récent des ordres religieux de la Sainte Croix ?avoir ét?approuv?par un décret de l'Église [Root.Religion.GetName].\nCes chevaliers tiennent leur nom d'un château repris aux infidèles sarasins en péninsule ibérique et sont prêts ?combattre les païens et ?défendre les croyants au nom de tout seigneur [Root.Religion.GetName] suffisement pieux.;Der Orden von Calatrava ist der jüngste Zugang in der Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName] Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName] Herrschers, der bereit ist, für ihren Unterhalt aufzukommen. ;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;;;;;;;;;x
EVTDESC39100;È·ÈÏ½¨Á¢ĞÂµÄÉ®ÂÂÆïÊ¿ÍÅ--Ò½ÔºÆïÊ¿ÍÅ--µÄÚ¯ÊéÒÑ¾­ÏÂ´ï¡£ËûÃÇ±£»¤ºÍÕÕÁÏÉú²¡µÄÒ®Â·ÈöÀä³¯Ê¥ÕßÒ²ÓĞÒ»¶ÎÊ±¼äÁË¡£ÏÖÔÚËûÃÇÔòÓĞ[Root.Religion.GetName]ÔÚÖ§³ÖËûÃÇ²¢¶ÔËûÃÇÎ¯ÒÔÖØÈÎ¡£ò¯³ÏµÄ[Root.Religion.GetName]Í³ÖÎÕßÔÚÓëÒì½ÌÍ½ºÍÒì¶ËÃÇ½»Õ½Ê±À´Ñ°ÇóËûÃÇµÄ°ïÖúÁË¡£²»¹ıËûÃÇ²»»áÓëÄÇĞ©ºÍ×Ô¼ºĞÅÑöÏàÍ¬µÄÈË½»Õ½¡£;L'Église [Root.Religion.GetName] a publi?un décret confirmant la formation d'un nouvel ordre religieux? l'Ordre de Saint-Jean de Jérusalem, plus connu sous le nom de « Ordre de l'Hospital ».\nCes chevaliers, qui protègent et soignent déj?les pèlerins se rendant ?Jérusalem, bénéficient désormais de l'appui de l'Église [Root.Religion.GetName].\nLes pieux seigneurs chrétiens peuvent désormais faire appel ?eux pour les aider dans leurs guerre contre les hérétiques et les païens, mais ils ne combattront pas leurs frères de foi [Root.Religion.GetName].;Die [Root.Religion.GetName] Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Malteserorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName] Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
