#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
INTERACTION_RELIGION_MUST_MARRY_REGULARLY;$RELIGION$ ¸Ã½ÇÉ«²»ÄÜÈë×¸»éÒö;Les adeptes de la religion $RELIGION$ ne peuvent pas contracter de mariage matrilinéaire;$RELIGION$ Charaktere können nicht matrilineal heiraten;;Los personajes de religión $RELIGION$ no pueden casarse matrilinealmente;;;;;;;;;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Ç¨¶¼ºó²»ÄÜËÍ³öÊ×¶¼²®¾ôÁì;Impossible d'octroyer le comt?accueillant votre capitale après le déplacement de celle-ci;Ihr könnt eure Hauptstadt nicht abtreten nachdem ihr sie schon einmal verlegt habt.;;No puedes entregar el condado principal al trasladar la capital;;;;;;;;;x
INTERACTION_REVOKE_BEFORE_DATE;²»ÄÜÔÚ§Y$DATE$§!Ç°ÊÕ»Ø¸ÃÍ·ÏÎ£¡;Impossible de révoquer ce titre octroy?avant le §Y$DATE$?;Ihr könnt diesen Titel nicht vor §Y$DATE$? entziehen!;;No puedes revocar este título hasta §Y$DATE$?;;;;;;;;;x
AIREASON_FIGHTING_FOR_THE_CHURCH;Îª½Ì»á¶øÕ½;Combat pour l'Église;Kämpft für die Kirche;;Luchando por la Iglesia;;;;;;;;;x
IS_NOT_MATRI_MARRIED;²»ÊÇÈë×¸»éÒö;N'a pas de mariage matrilinéaire;Ist NICHT matrilineal verheiratet;;NO est?casado matrilinealmente;;;;;;;;;x
IS_MATRI_MARRIED;ÊÇÈë×¸»éÒö;A un mariage matrilinéaire;Ist matrilineal verheiratet;;Est?casado matrilinealmente;;;;;;;;;x
IS_RECENT_GRANT;ÊÇ×î½üÊÚÓèµÄ;A ét?récemment octroy?Vor kurzem vergeben;;Fue entregado recientemente;;;;;;;;;x
IS_NOT_RECENT_GRANT;²»ÊÇ×î½üÊÚÓèµÄ;N'a pas ét?récemment octroy?NICHT vor kurzem vergeben;;NO fue entregado recientemente;;;;;;;;;x
AIREASON_AI_FLAG_REFUSE_CONVERSION;Õæ³ÏµÄĞÅÕß;Véritable croyant;Wahrer Gläubiger;;Fiel creyente;;;;;;;;;x
INTERACTION_GRANT_THEOCRACY_LIMITS;ÉñÈ¨ÁìµØÖ»ÄÜÓĞÒ»¸öÊ¡·İ;Impossible de donner aux théocraties plus d'un duch?ou royaume;Ihr könnt nicht mehr als eine Herzogtum oder Königreich an Theokratien vergeben;;No puedes dar a las teocracias más de un ducado o reino;;;;;;;;;x
deposed_antipope;·Ï÷íÁË¶ÔÁ¢½Ì×Ú;A dépos?un antipape;Hat einen Gegenpapst abgesetzt;;Depuso a un Antipapa;;;;;;;;;x
opinion_deposed_antipope;·Ï÷íÁË¶ÔÁ¢½Ì×Ú;A dépos?un antipape;Hat einen Gegenpapst abgesetzt;;Depuso a un Antipapa;;;;;;;;;x
depose_antipope_desc;ÆäËû¹ú¼ÒÄÜÊ¹ÓÃÕâ¸öÕ½ÕùÀíÓÉ·Ï÷í¶ÔÁ¢½Ì×Ú;Ce casus belli peut être utilis?pour déposer l'antipape d'un autre royaume.;Mit dieses Casus Belli könnt ihr einen Gegenpapst in einem anderen Reich absetzen;;Este casus belli puede usarse para deponer a un Antipapa en otro reino.;;;;;;;;;x
CB_NAME_DEPOSE_ANTIPOPE;·Ï÷í¶ÔÁ¢½Ì×Ú;Déposer l'antipape;Gegenpapst absetzen;;Deponer Antipapa;;;;;;;;;x
WAR_NAME_DEPOSE_ANTIPOPE;$FIRST_ADJ$-$SECOND_ADJ$¶ÔÁ¢½Ì×ÚÖ®Õ½;Guerre $FIRST_ADJ$ de déposition de l'antipapaut?$SECOND_ADJ$;$FIRST_ADJ$-$SECOND_ADJ$ Gegenpapst-Krieg;;Guerra Antipapal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
CB_NAME_INSTALL_ANTIKING;Á¢¶ÔÁ¢Íõ;Installer l'antiroi;Gegenkönig einsetzen;;Instalar Antirrey;;;;;;;;;x
WAR_NAME_INSTALL_ANTIKING;$FIRST_ADJ$-$SECOND_ADJ$¶ÔÁ¢ÍõÖ®Õ½;Guerre de l'antiroyaut?$FIRST_ADJ$ pour le trône de $SECOND$;$FIRST_ADJ$-$SECOND_ADJ$ Gegenkönig-Krieg;;Guerra Antirreal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
ANTIPOPE_RECENTLY_DEPOSED;§RÒ»Î»¶ÔÁ¢½Ì×Ú×î½ü±»Ç¿ĞĞ·Ï÷í§!;§RUn antipape a ét?récemment dépos?par la force?;§REin Gegenpapst wurde erst kürzlich abgesetzt?;;§RUn Antipapa fue depuesto recientemente por la fuerza de las armas?;;;;;;;;;x
ANTIPOPE_CREATION_WRONG_RELIGION;§R ²»ÊÇ $RELIGION$§!;§RN'est pas de foi $RELIGION$?;§RIst nicht $RELIGION$?;;§RNo es de religión $RELIGION$?;;;;;;;;;x
faction_antiking_short;¶ÔÁ¢Íõ[From.GetFirstName];[From.GetFirstName] antiroi;Gegenkönig [From.GetFirstName];;Antirrey [From.GetFirstName];;;;;;;;;x
faction_antiking_title;[This.GetName]µÄ¶ÔÁ¢Íõ[From.GetFirstName];[From.GetFirstName] antiroi pour le trône de [This.GetName];Gegenkönig [From.GetFirstName] für [This.GetName];;Antirrey [From.GetFirstName] en [This.GetName];;;;;;;;;x
faction_antiking_desc;³ÉÔ±Ï£ÍûÍ¨¹ıÓµÁ¢§Y[From.GetBestName]§!»ñµÃÈ¨Î»¡¢·Ï÷íËùÓĞ¹úÄÚµÄ¶ÔÁ¢½Ì×ÚÒÔ¼°Í¨¹ı½Ì×ÚÊÚÖ°·¨£¬ÒÔÖØ½¨½Ì×ÚÔÚ[This.GetName]µÄÈ¨Íş¡£;Les membres de cette faction cherchent ?restaurer l'autorit?pontificale en [This.GetName] en installant §Y[From.GetBestName]? sur le trône, en déposant tout antipape et en proclamant la loi d'investiture pontificale des évêques.;Mitglieder wollen die Autorität des Papsts in [This.GetName] wiederherstellen, §Y[From.GetBestName]? Auf den Thron setzen, den Gegenpapst absetzen und die päpstliche Investitur erzwingen.;;Sus miembros desean restaurar la autoridad pontificia en [This.GetName] instalando a §Y[From.GetBestName]? en el trono, deponiendo al Antipapa y pasando la ley de Investidura Pontifica.;;;;;;;;;x
faction_antiking_ultimatum;ÒªÇóÈ¨Î»;Demander le trône;Den Thron fordern;;Demand the Throne;;;;;;;;;x
faction_antiking_ultimatum_desc;Ïò§Y[Root.Liege.GetBestName]§!·¢³ö×îºóÍ¨ëº£¬ÒªÇóÈ¨Î»£¬ÍÆ·­¶ÔÁ¢½Ì×Ú²¢ÍÆĞĞ½Ì×ÚÊÚÖ°·¨¡£Èç¹û[Root.Liege.GetSubjectPronoun]¾Ü¾ø½ÓÊÜ£¬ÄãµÄÅÉÏµ»á·¢ÆğÒ»³¡ÅÑÂÒ¡£;Présenter un ultimatum ?§Y[Root.Liege.GetBestName]? demandant le trône. Si'l accepte, cela renversera également les antipapes et établira une investiture pontificale des évêques.\nSi [Root.Liege.GetSubjectPronoun] refuse de s'y soumettre, notre faction se soulèvera.;Ein Ultimatum an §Y[Root.Liege.GetBestName]? geben, in dem wir den Thron, die Absetzung des Gegenpapstes und die Einführung der päpstliche Investitur verlangen. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimatum a §Y[Root.Liege.GetBestName]?, demandándole el trono, la deposición del Antipapa y la institución de la Investidura Pontificia. Si rechaza aceptar estos términos, tu facción se levantar?contra [Root.Liege.GetSubjectPronoun];;;;;;;;;x
