;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
INTERACTION_REQUIRES_NO_ACTOR_TEMPORARY_TITLE;[Actor.GetTitledFirstName]? 当前不得持有临时头衔;[Actor.GetTitledFirstName]? ne doit pas d閠enir de titre temporaire;[Actor.GetTitledFirstName]? darf keinen tempor鋜en Titel besitzen.;;[Actor.GetTitledFirstName]? no debe ostentar ning鷑 t韙ulo temporal;;;;;;;;;x
INTERACTION_REQUIRES_NO_RECIPIENT_TEMPORARY_TITLE;[Recipient.GetTitledFirstName]? 当前不得持有临时头衔;[Recipient.GetTitledFirstName]? ne doit pas d閠enir de titre temporaire;[Recipient.GetTitledFirstName]? darf keinen tempor鋜en Titel besitzen.;;[Recipient.GetTitledFirstName]? no debe ostentar ning鷑 t韙ulo temporal;;;;;;;;;x
REBEL_TITLE;[Recipient.PrimaryTitle.GetAdjective] 叛军;R関olte [Recipient.PrimaryTitle.GetAdjective];[Recipient.PrimaryTitle.GetAdjective] Revolte;;Revuelta [Recipient.PrimaryTitle.GetAdjective];;;;;;;;;x
opinion_rebel_leader;叛军首领;Chef des rebelles;F黨rer der Rebellion;;L韉er de la Rebeli髇;;;;;;;;;x
opinion_fellow_rebel;叛军成员;Rebelle alli?Befreundeter Rebell;;Hermano Rebelde;;;;;;;;;x
CHECKBOX_COMPRESSED_SAVEGAMES;压缩游戏数据;Compresser les donn閑s du jeu;Spielst鋘de komprimieren;;Comprimir datos de juego;;;;;;;;;x
EVTDESC75041;[Root.GetLordSpiritualName] [From.GetTitledFirstName] 说:'主君! 宫廷里有异教徒.'\n'我要求你将他绑上火刑柱!';珷M[Root.GetHerHis][Root.GetLordLady], votre Cour abrite un infid鑜e?牷, a d閏lar?mon [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n珷J'exige que vous le condamniez au b鹀her?牷;Mein Lehnsherr, an Eurem Hof gibt es einen Ungl鋟bigen!' berichtete mein [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n'Ich verlange, dass Ihr den Ungl鋟bigen auf dem Scheiterhaufen verbrennen lasst!';;i se駉r, hay un infiel en vuestra corte!', mi [Root.GetLordSpiritualName] [From.GetTitledFirstName] dijo.\n'xijo que quem閕s al infiel en la pira';;;;;;;;;x
EVTDESC75042;[Root.GetLordSpiritualName] [From.GetTitledFirstName] 说:'主君! 宫廷里有异教徒.'\n'我要求你将他驱逐出去!';珷M[Root.GetHerHis][Root.GetLordLady], votre cour abrite un infid鑜e?牷, a d閏lar?mon [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n珷J'exige que vous le bannissiez?牷;Mein Lehnsherr, an Eurem Hof gibt es einen Ungl鋟bigen!' berichtete mein [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n'Ich verlange, dass Ihr den Ungl鋟bigen verbannt!';;i se駉r, hay un infiel en vuestra corte!', mi [Root.GetLordSpiritualName] [From.GetTitledFirstName] dijo.\n'xijo que expuls閕s al infiel!';;;;;;;;;x
EVTDESC75051;[Root.GetLordSpiritualName] [From.GetTitledFirstName] 悄悄告诉我:'主君! 宫廷里有异端.'\n'我认为你最好将他处以火刑, 以儆效尤!';珷M[Root.GetHerHis][Root.GetLordLady], votre cour abrite un h閞閠ique?牷, m'a confi?mon [Root.GetLordSpiritualName] [From.GetTitledFirstName].\n 珷Je vous recommande de donner l'exemple en le condamnant au b鹀her?牷;Mein Lehnsherr, an Eurem Hof gibt es einen Ketzer!' redete mir mein [Root.GetLordSpiritualName] [From.GetTitledFirstName] ins Gewissen.\n'Ich empfehle Euch, ein Exempel zu statuieren und den Ketzer auf dem Scheiterhaufen verbrennen zu lassen!';;i se駉r, hay un hereje en vuestra corte!', mi [Root.GetLordSpiritualName] [From.GetTitledFirstName] me ha dicho en confianza.\n's recomiendo que lo us閕s de ejemplo y lo quem閕s en la pira!';;;;;;;;;x
TITLE_HAS_NO_HOLDER;不可剥夺无主头衔.;Impossible de r関oquer ce titre, il n'est port?par personne.;Aberkennung nicht m鰃lich, da Titel keinen Besitzer hat.;;No puedes revocar el t韙ulo al no tener titular;;;;;;;;;x
LOADING_TIP_54;穆斯林可以去麦加朝觐, 以摆脱腐化特质.;Les musulmans peuvent perdre le trait de d閏adence en accomplissant le hajj ?La Mecque.;"Moslems k鰊nen den ""Dekadent""-Nachteil loswerden, indem sie sich auf Haddsch nach Mecca begeben. ";;Los Musulmanes pueden perder el rasgo Decadente realizando un Hajj a la Meca.;;;;;;;;;x
TITLE_CANNOT_USURP_PRIMARY_OFF_OTHER_REL;当异教角色仍拥有头衔法理下领地时无法篡夺.?;Impossible d'usurper le titre principal et unique d'un souverain d'une autre religion qui d閠ient encore des terres au sein de celle-ci.?;Das Ergreifen des Haupttitels eines Herrschers einer anderen Religion, welcher Land besitzt, ist nicht m鰃lich.?;;No puedes usurpar el 鷑ico t韙ulo primario de un gobernante de otra religi髇 que mantiene tierras en 閘.?;;;;;;;;;x
age_child;幼年;Enfant;Kind;;Ni駉;;;;;;;;;x
age_teen;少年;Adolescent;Jugendlicher;;Adolescente;;;;;;;;;x
age_young;青年;Jeune adulte;Junger Erwachsener;;Joven Adulto;;;;;;;;;x
age_adult;成年;Adulte;Erwachsener;;Adulto;;;;;;;;;x
age_old;老年;Vieillard;Betagt;;Viejo;;;;;;;;;x
age_very_old;暮年;Vieillard;Betagt;;Anciano;;;;;;;;;x
WRONG_OCEAN;可经海路抵达;Acc鑣 par la mer;Kann vom Meer aus erreicht werden;;Puede llegarse por mar;;;;;;;;;x
