;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
IS_NOT_LOVER_OF;不是$WHO$?的情人;N'est pas l'amant(e) de $WHO$?;Ist KEIN Liebhaber von $WHO$?;;No es un amante de $WHO$?;;;;;;;;;x
IS_LOVER_OF;是$WHO$?的情人;Est l'amant(e) de $WHO$?;Ist ein Liebhaber von $WHO$?;;es un amante de $WHO$?;;;;;;;;;x
HAS_LESS_SPOUSES_THAN;最多拥有的配偶数;Nombre d'閜oux(ses) inf閞ieur ?;Hat weniger Ehepartner als;;tiene menos c髇yuges que;;;;;;;;;x
HAS_MORE_SPOUSES_THAN;至少拥有的配偶数;Nombre d'閜oux(ses) d'au moins ;Mindestzahl der Ehepartner;;N鷐ero de c髇yuges por lo menos;;;;;;;;;x
HAS_LESS_CONSORTS_THAN;最多拥有的男伴数;Nombre de compagnons inf閞ieur ?;Hat weniger Gemahle als;;tiene un menor n鷐ero de consortes que;;;;;;;;;x
HAS_MORE_CONSORTS_THAN;至少拥有的男伴数;Nombre de compagnons d'au moins ;Mindestzahl der Gemahle;; N鷐ero de consortes por lo menos;;;;;;;;;x
HAS_LESS_LOVERS_THAN;最多拥有的情人数;Nombre d'amant(e)s inf閞ieur ?;Hat weniger Liebhaber als;; tiene menos amantes que;;;;;;;;;x
HAS_MORE_LOVERS_THAN;至少拥有的情人数;Nombre d'amant(e)s d'au moins ;Mindestzahl der Liebhaber;; N鷐ero de amantes por lo menos;;;;;;;;;x
ANY_LOVER_STARTS;任何情人;Tout amant(e);Jeder Liebhaber;; cualquier amante;;;;;;;;;x
AIREASON_AGE_DIFFERENCE;在年龄上有差距;Diff閞ence d'鈍e;Altersunterschied;; diferencia de edad;;;;;;;;;x
ANY_CLAIM_STARTS;任何宣称;Toute revendication;Jeder Anspruch;; Cualquier Reclamaci髇;;;;;;;;;x
IS_PACIFIST;奉行和平主义;Est pacifiste ;Ist ein Pazifist;; es un pacifista;;;;;;;;;x
IS_NOT_PACIFIST;不奉行和平主义;N'est pas pacifiste ;Ist KEIN Pazifist;; no es un pacifista;;;;;;;;;x
EVTDESC_RoI_10003;种种迹象表明,我亲爱的[GetFromRelation]表现出种种他是由他的[GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]转世而来的迹象.小[From.GetFirstName]经常谈起[From.GetPossPronoun]的亲朋好友,甚至可以精准地说出他们的名字.;M[From.GetHerHis] [GetFromRelation] montre tous les signes de la r閕ncarnation de notre [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. [From.GetFirstName] parle souvent de ses anciens amis et de son ancienne famille, et nomment m阭e la plupart correctement.;Mein geliebter [GetFromRelation] weist alle Anzeichen daf黵 auf, dass er mein wiedergeborener [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName] ist. Klein-[From.GetFirstName] spricht oft von [From.GetPossPronoun] alten Freunden und Verwandten und kennt manche sogar beim Namen;; mi amado [GetFromRelation] est?mostrando todos los signos de ser mi renacido/a [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. El peque駉/a [From.GetFirstName] a menudo habla de [From.GetPossPronoun] viejos amigos y familiares, incluso nombrando a muchos de ellos correctamente.;;;;;;;;;x
conscript_merchant_ships;征募商船;Navire marchand conscrit;Handelsschiffe zwangsverpflichten;; Barcos mercantes conscriptos;;;;;;;;;x
conscript_merchant_ships_desc;随着海外领土的增加,我国有相当数量的商船可以在战争期间被征召——当然,也需要支付那么一点点金子……;En raison de ses propri閠閟 outre-mer, mon pays poss鑔e un bon nombre de navire marchands que je peux mobiliser en temps de guerre. 蓈idemment, cela a un prix...;Aufgrund von Besitzt黰ern in 躡ersee gedeiht in meinem Reich die Handelsschiffahrt. Die Schiffe der H鋘dler k鰊nen in Kriegszeiten zwangsverpflichtet werden - nur gegen Gold, versteht sich...;; Con propiedades en el extranjero, mi reino tiene gran parte de la marina mercante que puede ser reclutada en tiempos de guerra - por una buena suma de oro, por supuesto?;;;;;;;;x
HAS_NO_OVERSEAS_HOLDINGS;没有海外领土;Ne poss鑔e pas de propri閠閟 outre-mer;Hat KEINE Besitzt黰er im Ausland;; NO tiene propiedades en el extranjero;;;;;;;;;x
