;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTOPTD91355;[Root.Religion.GetRandomGodName] Ò²Ğí»áĞÀÏ²ÓëÎÒ¾èÏ×µÄĞ¡Ç®Ç®.;[Root.Religion.GetRandomGodName] appréciera que je donne de l'or.;[Root.Religion.GetRandomGodName] wird über eine Goldspende erfreut sein.;;[Root.Religion.GetRandomGodName] estar?contento si dono el oro;;;;;;;;;x
EVTOPTE91355;Ò²ĞíÎÒ¿ÉÒÔÈÃ [From.GetHerHis] [From.Spouse.GetHusbandWife] µ½ÎÒµÄÕóÓªÀ´.;Je peux probablement mettre s[From.Spouse.GetHerHis] [From.Spouse.GetHusbandWife] de mon côt?;Vielleicht kann ich [From.GetHerHis] [From.Spouse.GetHusbandWife] auf meine Seite bringen.;;Tal fez puedo [From.GetHerHis] [From.Spouse.GetHusbandWife] a creed en m?;;;;;;;;;x
EVTDESC91372;My agents have brought me a message from [From.GetTitledFirstName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHeCap] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [From.GetHerHis] decadence.;Mes agents m'ont transmis un message de [From.GetTitledFirstName] qui refuse encore mes exigences? [From.GetSheHeCap] m'offre un eunuque qui sait bien se battre si je lui permets de persister dans sa décadence.;Meine Agenten überbrachten mir eine Nachricht von [From.GetTitledFirstName]. Noch immer zeigt [From.GetSheHe] keine Bereitschaft, sich zu ändern! [From.GetSheHeCap] bot mir einen kampferprobten Eunuchen als Geschenk an, wenn ich [From.GetHerHim] gestatte, [From.GetHerHis] Dekadenz weiter fortzuführen.;;Mis agents me han traído un mensaje de[From.GetTitledFirstName], queen todavía rechaza mis demandas que [From.GetSheHe] se enderece!Se ofreci?darme un eunuco fuerte de gran capacidad marcial como un regalo si permito que?[From.GetHerHim] persiste en su década.;;;;;;;;;x
EVTOPTA91372;ÕâÑùµÄÑËÈË¿Ï¶¨ÓĞÓÃ!;J'aurais bien besoin d'un eunuque?;Ein solcher Eunuch käme wie gerufen!;;¡yo podría seguramente usar a tal eunuco!;;;;;;;;;x
EVTDESC91373;[From.GetTitledFirstName] ¸úÎÒËµ [From.GetSheHe] Ñ¡ÔñÁËÒª¹ı [From.GetHerHis] ÏëÒªµÄÉú»î. [From.GetSubjectPronounCap] ÊÔ×Å¸øÎÒ½âÊÍÎÒÑÛÖĞµÄ¸¯»¯²»¹ıÊÇÒ»ÖÖ¾´Ñö[From.Religion.GetRandomGodName]µÄ·½Ê½. [From.GetSheHeCap] Ò²Ìá³öÒÔÎÒÖ®Ãû¾è±ÊÇ®¸ø½Ì»áÒÔÊ¾ÓÑºÃ.;[From.GetTitledFirstName] m'a parl?de ses choix de vie. [From.GetSubjectPronounCap] a tent?de m'expliquer que ce que je considérais comme de la décadence n'était qu'une autre manière d'honorer la volont?de [From.Religion.GetRandomGodName]. En témoignage de son amiti? [From.GetSheHe] m'a propos?de faire un don en mon nom.;[From.GetTitledFirstName] erzählte mir, wie [From.GetSheHe] sich entschied, [From.GetHerHis] eigenes Leben zu leben. [From.GetSubjectPronounCap] erklärte mir, dass das, was ich als Dekadenz ansehen würde, lediglich eine andere Weise sei, den Willen von [From.Religion.GetRandomGodName] zu tun. [From.GetSheHeCap] bot mir auch an, als Zeichen der Freundschaft in meinem Namen für religiöse Zwecke zu spenden.;;[From.GetTitledFirstName] me hablaba sobre cómo [From.GetSheHe] ha optado por vivir[From.GetHerHis] propria vida. [From.GetSubjectPronounCap] trat?de explicarme que lo que yo he visto como decadencia fue simplemente otra forma de honrar a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTOPTA91373;[From.Religion.GetRandomGodName]»áÈÏ¿ÉÕâ¾èÏ×µÄ.;[From.Religion.GetRandomGodName] ne sera sans doute pas contre ce don.;Eine solche Spende gefiele sicherlich [From.Religion.GetRandomGodName].;;Tal donación complacería seguramente a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTDESC91374;[From.GetTitledFirstName] À´µ½ÁËÎÒµÄ¹¬Í¢²¢ÔÚÎÒ¶ú±ßÇáÓï. [Root.Spouse.GetTitledFirstName] ¼á³Ö [From.GetSheHe] ÒòÎª[From.GetHerHis]ÕâÑùÃÓÀÃµÄÏ°ĞÔµÃ±»¹Ø½ø´óÀÎ,µ«ÊÇ [From.GetTitledFirstName] ÓëÈËÃÇËùËµµÄÈ´´ó²»ÏàÍ¬.;[From.GetTitledFirstName] vint me voir pour me chuchoter de douces paroles ?l'oreille. [Root.Spouse.GetTitledFirstName] insiste pour qu'[From.GetSheHe] fasse un tour en prison, en raison de ses mœurs décadentes. Mais [From.GetTitledFirstName] ne se comporte pas du tout comme ce que l'on m'avait décrit.;[From.GetTitledFirstName] suchte mich nachts auf, um mir wohlklingende Worte einzuflüstern. [Root.Spouse.GetTitledFirstName] besteht darauf, dass [From.GetSheHe] unbedingt im Kerker landen muss, denn [From.GetHerHis] Lebensweise sei dekadent. Doch nun scheint [From.GetTitledFirstName] völlig anders zu sein, als man mir berichtete.;;[From.GetTitledFirstName] vino a mis cámaras y susurr?palabras bonitas en mi oído.[Root.Spouse.GetTitledFirstName] insiste en que [From.GetSheHe] debería ser lanzado en la cárcel debido a sus costumbres decadentes, pero [From.GetTitledFirstName] ahora parece ser muy diferente de lo que había oído. ;;;;;;;;;x
EVTOPTA91374;ÎÒ×¹ÈëÁË°®ºÓ!;L'amour est venu me visiter?;Ich habe mich verliebt!;;¡Me he enamorado!;;;;;;;;;x
EVTOPTB91374;Õâ¿Ï¶¨Ö»ÊÇ³¡Ï·!;Ce n'est qu'un subterfuge?;Bestimmt ist es blo?Schau!;;¡Esto es claramente justo un acto!;;;;;;;;;x
EVTDESC91375;ÎÒµÄÅäÅ¼¶Ô,ÕÕ [From.GetSheHe]µÄËµ·¨ÎÒÕë¶Ô[FromFrom.GetTitledFirstName]ºÍ[FromFrom.GetHerHis]¸¯°ÜµÄÉú»îÄÇÃ»±ØÒª¶ñÁÓÌ¬¶È¸Ğµ½Æø·ß, ²¢ÒªÇóÎÒ²»Òª¸ÉÔ¤[FromFrom.GetHerHim].;Ma moiti?n'accepte pas ce qu'[From.GetSheHe] décrit comme ma cruaut?superflue envers [FromFrom.GetTitledFirstName] et ses manières décadentes, et me demande de cesser mes remarques désobligeantes.;Mein Gespons stört sich an meiner, wie [From.GetSheHe] meint, angeblich unnötig strengen Haltung gegenüber [FromFrom.GetTitledFirstName] und [FromFrom.GetHerHis] dekadenten Lebensstil und bittet mich, [FromFrom.GetHerHim] in Ruhe zu lassen.;;Mi cónyuge a [From.GetSheHe] se disgusta por lo que se refiere como un actitud innecesariamente áspera hacia [FromFrom.GetTitledFirstName] y sus costumbres decadentes de [FromFrom.GetHerHis] y me pide dejar a [FromFrom.GetHerHim] en paz.;;;;;;;;;x
