;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
ACQUISITION_CLAIM;×÷ÎªĞû³ÆÕß¶øÕ÷·ş;Conquis en tant que revendicateur;Erobert als Anspruchsteller;;Conquistado como un pretendiente;;;;;;;;;x
ACQUISITION_HOST;×÷ÎªÃ°ÏÕÕß¶øÕ÷·ş;Conquis en tant qu'aventurier;Erobert als Abenteurer;;Conquistado como un aventurero;;;;;;;;;x
ACQUISITION_REVOLT;×÷ÎªÆğÒåÁìĞä¶øÕ÷·ş;Conquis en tant que chef d'une révolte;Erobert als Anführer eines Aufstands;;Conquistado como líder de un levantamiento;;;;;;;;;x
ACQUISITION_USURP;ºÍÆ½µØ´Û¶á;Usurp?en paix;Friedliche Übernahme;;Usurpado pacíficamente;;;;;;;;;x
ACQUISITION_FACTION_DEMAND;±»ÅÉÏµËùÓµÁ¢;Install?sous demande d'une faction;Installiert durch eine Splittergruppe;;Instalado por petición de la facción;;;;;;;;;x
PERSONAL_OPINION_LOWER_THAN;¸öÈËºÃ¸ĞµÍÓÚ;Opinion personnelle inférieure ?;Pers. Meinung geringer als ;;Opinión personal más baja que;;;;;;;;;x
PERSONAL_OPINION_AT_LEAST;¸öÈËºÃ¸ĞÖÁÉÙÓĞ;Opinion personnelle d'au moins ;Pers. Meinung mindestens ;;Opinión personal de por lo menos;;;;;;;;;x
PERS_OPINION_DIFF_LOWER_THAN;¶Ô§Y$FIRST$§!ºÍ§Y$SECOND$§!µÄ¸öÈËºÃ¸Ğ²îÒìµÍÓÚ§Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$? et §Y$SECOND$? est inférieure ?§Y$VAL$?;Pers. Meinungsunterschiede zwischen §Y$FIRST$? und §Y$SECOND$? geringer als §Y$VAL$?;;¡Diferencia de opinión personal entre §Y$FIRST$? y §Y$SECOND$? más baja que §Y$VAL$?;;;;;;;;;x
PERS_OPINION_DIFF_AT_LEAST;¶Ô§Y$FIRST$§!ºÍ§Y$SECOND$§!µÄ¸öÈËºÃ¸Ğ²îÒìÖÁÉÙÎª§Y$VAL$§!;La différence d'opinion personnelle entre §Y$FIRST$? et §Y$SECOND$? est d'au moins §Y$VAL$?;Pers. Meinungsunterschiede zwischen §Y$FIRST$? und §Y$SECOND$? mindestens §Y$VAL$?;;¡Diferencia de la opinión personal entre §Y$FIRST$? y §Y$SECOND$? de por lo menos §Y$VAL$?;;;;;;;;;x
RULER_OF_TITLE;$TITLE$$RULER$;$RULER$ de $TITLE$;$RULER$ von $TITLE$;;$RULER$ de $TITLE$;;;;;;;;;x
EVTDESC38305;ÎÒ±äµÃ¸ü¼ÓÈİÒ×ĞÅÈÎ±ğÈË£¬ÎŞÂÛµÈ´ı×ÅÎÒµÄÃüÔËÈçºÎ£¬ÎÒ¶¼´ÓÈİ½ÓÊÜ¡£ÎÒ²»ÔÙ¶àÒÉ¡£;Je suis désormais plus confiant et j'accepte le sort que le destin me réserve. Je ne suis plus paranoïaque.;Ich bin nun weniger argwöhnisch und nehme hin, was das Schicksal bringt. Ich habe die Eigenschaft Paranoid verloren.;;Me he vuelto más confiado, aceptando lo que el destino me traiga. He perdido el rasgo Paranoico;;;;;;;;;x
EVTDESC38306;ÎÒ±äµÃ¶ÔÈËÃÇ¼éÕ©µÄĞĞÎª¸ü¼Ó¾¯¾õ¡£ÎÒ²»ÔÙÇáÒ×ĞÅÈÎËûÈË¡£;J'ai pris conscience de la duplicit?de certains. J'ai perdu ma confiance.;Mir ist die Doppelzüngigkeit der Menschen bewusst geworden. Ich habe die Eigenschaft Treuherzig verloren.;;Me he dado cuenta de la duplicidad de la gente. He perdido el rasgo Confiado.;;;;;;;;;x
EVTDESC38307;ÎÒÒÑ¾­¾­ÊÜÁËÌ«¶àµÄÍ´¿àµÄ±³ÅÑ¡£ÎªÊ²Ã´ÎÒÒªÈ¥°ïÖúÄÇĞ©»Ø¹ıÍ·¾Í»áÉËº¦ÎÒµÄÈË£¿ÎÒ²»ÔÙºÍ°ª¡£;J'ai suffisamment souffert des suites de diverses trahisons. Pourquoi devrais-je aider ceux qui me font du mal? Ma gentillesse est du pass?;Ich habe genug Pein und Verrat erfahren. Warum soll ich meinen Neidern helfen? Ich habe die Eigenschaft Gütig verloren.;;He sufrido bastante dolor y traición. ¿Por qu?ayudar a aquellos que me haga daño? He perdido el rasgo Amable;;;;;;;;;x
EVTDESC38308;ÕâµÀÉË°Ì½«ÀÓÓ¡ÔÚÎÒÉíÉÏ¡¢°éËæÎÒÖÕÉú¡£ÎÒ±äµÃÉËºÛÀÛÀÛ¡£;Mes blessures ont laiss?des traces. J'ai dorénavant des balafres.;Die Wunden werden mich ein Leben lang zeichnen. Ich habe die Eigenschaft Vernarbt erhalten.;;Las heridas me han marcado para la vida. He adquirido el rasgo marcado de cicatrices..;;;;;;;;;x
MEN;ÄĞÊ¿ÃÇ;hommes;Männer;;hombres;;;;;;;;;x
WOMEN;Å®Ê¿ÃÇ;femmes;Frauen;;mujeres;;;;;;;;;x
MALE;ÄĞĞÔ;e;männlich;;hombre;;;;;;;;;x
FEMALE;Å®ĞÔ;ette;weiblich;;mujer;;;;;;;;;x
ADULTERER;¼é·ò;adultère;Ehebrecher;;adúltero;;;;;;;;;x
ADULTERESS;Òù¸¾;adultère;Ehebrecherin;;adúltera;;;;;;;;;x
nick_the_unfaithful;²»ÖÒÕß;l'Adultère;der/die Treulose;;el Infiel;;;;;;;;;x
nick_the_beguiling;ÃÔÈËÕß;le Séduisant;der/die Betörende;;el Persuasivo;;;;;;;;;x
nick_the_temptress;÷È»óÕß;la Tentatrice;die Versucherin;;la Tentadora;;;;;;;;;x
nick_the_seducer;¹´ÒıÕß;le Séducteur;der Verführer;;el Seductor;;;;;;;;;x
nick_the_lewd;â«ÙôÕß;le Lubrique;der/die Liederliche;;el Lascivo;;;;;;;;;x
nick_the_lecher;É«¹í;le Débauch?der Lüstling;;el Libidinoso;;;;;;;;;x
nick_the_unchaste;²»Õê½àÕß;l'Impudique;der/die Unkeusche;;el Impúdico;;;;;;;;;x
INSULT_OLD;ÀÏÍ·;sénile;Alte;;viejo;;;;;;;;;x
INSULT_TADPOLE;Ğ¡òòò½;de têtard;Kaulquappen;;renacuajo;;;;;;;;;x
INSULT_CHILD;Ğ¡Æ¨º¢;de gamin;Kinder;;niño/a;;;;;;;;;x
INSULT_VILE;±°±ÉĞ¡ÈË;infâme;Scheusale;;vil;;;;;;;;;x
INSULT_FOUL;°¹ÔàµÄÈË;ignoble;Faulige;;asqueroso/a;;;;;;;;;x
INSULT_FILTHY;ÏÂÁ÷µÄÈË;immonde;Dreckwühler;;guarro/a;;;;;;;;;x
INSULT_CLOWN;Ğ¡³ó;de bouffon;Clowns;;mamarracho;;;;;;;;;x
INSULT_COW;Å£;de vache;Kühe;;vaca;;;;;;;;;x
INSULT_INFIDEL;Òì½ÌÍ½;infidèle;Ungläubige;;infiel;;;;;;;;;x
INSULT_HERETIC;Òì¶ËÕß;hérétique;Ketzer;;hereje;;;;;;;;;x
INSULT_GROTESQUE;¹Öµ®µÄÈË;de grotesque;Groteske Gestalten;;grotesco;;;;;;;;;x
INSULT_DWARF;ÙªÈå;de nain;Zwerge;;enano/a;;;;;;;;;x
INSULT_CLUBFOOT;»ûĞÎ×ã;de pied bot;Klumpfüße;;pie zopo;;;;;;;;;x
;#INSULT_LIMPING;limping;infirme;Hinkende;;cojeando;;;;;;;;;x;
INSULT_HARELIP;ÍÃ´½Õß;de bec-de-lièvre;Hasenschartige;;labio leporino;;;;;;;;;x
