;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#MODIFIER_COMBAT_RATING;Combat Rating;;Kampfkraft;;Clasificaci¨®n de combate;;;;;;;;;x;
CR_DIFF_LOWER_THAN;§Y$FIRST$§!ºÍ§Y$SECOND$§!µÄ¾ö¶·µÈ¼¶²îÖµµÍÓÚ§Y$VAL$§!;La différence de classement de combat entre §Y$FIRST$? et §Y$SECOND$? est inférieure ?§Y$VAL$?;Kampfkraftunterschied zwischen §Y$FIRST$? und §Y$SECOND$? niedriger als §Y$VAL$?;;Clasificación de combate entre §Y$FIRST$?y §Y$SECOND$? §Y$VAL$? menor que §Y$VAL$?;;;;;;;;;x
CR_DIFF_AT_LEAST;§Y$FIRST$§!ºÍ§Y$SECOND$§!µÄ¾ö¶·µÈ¼¶²îÖµÖÁÉÙÎª§Y$VAL$§!;La différence de classement de combat entre §Y$FIRST$? et §Y$SECOND$? est d'au moins §Y$VAL$?;Kampfkraftunterschied zwischen §Y$FIRST$? und §Y$SECOND$? mindestens §Y$VAL$?;;Clasificación de combate entre §Y$FIRST$?y §Y$SECOND$? y §Y$VAL$? por lo menos §Y$VAL$?;;;;;;;;;x
HAS_CR_AT_LEAST;¾ö¶·µÈ¼¶ÖÁÉÙÎª;Classement de combat d'au moins ;Mindestkampfkraft ;;Clasificación de combate al menos;;;;;;;;;x
HAS_LOWER_CR_THAN;¾ö¶·µÈ¼¶µÍÓÚ;Classement de combat inférieur ?;Kampfkraft niedriger als ;;Clasificación de combate menor;;;;;;;;;x
MASTER;Ö÷ÈË;maître;Herr;;señor;;;;;;;;;x
MISTRESS;Å®Ö÷ÈË;maîtresse;Herrin;;señora;;;;;;;;;x
wol_schemer_1;ÒµÓàµÄÄ±Ê¿;Conspirateur amateur;Hobby-Intrigant;;Intrigante aficionado;;;;;;;;;x
desc_wol_schemer_1;¸Ã½ÇÉ«Ò°ĞÄ²ª²ª£¬ÊÇÒ»Î»ÆóÍ¼Í¨¹ı»¨ÑÔÇÉÓïÀ´²Ù¿ØËûÈËµÄÒõÄ±¼Ò¡£;Ce personnage est un conspirateur amateur qui cherche ?manipuler son entourage ?l'aide de subterfuges et de coups bas.;Diese Person ist ein angehender Intrigant und trachtet danach, andere durch Täuschung und Tricks zu manipulieren.;;Este personaje es un aspirante a intrigante que trata manipular a otros a través del engaño y subterfugio.;;;;;;;;;x
wol_schemer_2;Ä±Ê¿;Conspirateur;Intrigant;;Intrigante;;;;;;;;;x
desc_wol_schemer_2;¸Ã½ÇÉ«ÊÇÒ»Î»¾­ÑéÀÏµÀµÄÄ±Ê¿£¬ÃÜÄ±²ß»®ÕßºÍ°µÖĞ²Ù¿ØÈË¡£;Ce personnage est un conspirateur expériment? ainsi qu'un comploteur et un tireur de ficelles.;Diese Person ist ein erfahrener Intrigant und Verschwörer mit manipulativen Talenten.;;Este personaje es un experimentado intrigante, conspirador y manipulador en las sombras.;;;;;;;;;x
wol_patriarch_1;¾Ó¼ÒÄĞÈË;Sens de la famille;Familienmensch;;Padre de familia;;;;;;;;;x
desc_wol_patriarch_1;Ëû¸ÊÔ¸Îª¼ÒÍ¥µÄºÍÄÀĞÒ¸£·îÏ×Ò»ÇĞ¡£;Cet homme est dévou??maintenir l'harmonie et le bon état de sa famille.;Diesem Mann liegt die Harmonie und das Wohlergehen seiner Familie am Herzen.;;Este hombre se dedica a la armonía y el bienestar de su familia.;;;;;;;;;x
wol_patriarch_2;¼Ò×å³¤;Patriarche de la famille;Patriarch;;Patriarca familiar;;;;;;;;;x
desc_wol_patriarch_2;ËûÊÇ¼Ò×åÖĞÎŞ¿ÉÕùÒéµÄÁìµ¼Õß£¬²ÉÓÃ¸ÕÈá²¢¼ÃµÄÊÖ¶Î½â¾ö³åÍ»¡£;Cet homme est le chef incontest?de la famille, et s'applique ?résoudre les conflits d'une main de fer dans un gant de velours.;Dieser Mann ist das unumstrittene Familienoberhaupt, er schlichtet Konflikte und führt mit Nachdruck, aber sanft.;;Este hombre es el jefe indiscutible de la familia, resolviendo conflictos y dirigiendo con mano firme pero suave.;;;;;;;;;x
wol_matriarch_1;¾Ó¼ÒÅ®ÈË;Sens de la famille;Familienmensch;;Mujer de familia;;;;;;;;;x
desc_wol_matriarch_1;Ëı¸ÊÔ¸Îª¼ÒÍ¥µÄºÍÄÀĞÒ¸£·îÏ×Ò»ÇĞ¡£;Cette femme est dévouée ?maintenir l'harmonie et le bon état de sa famille.;Dieser Frau liegt die Harmonie und das Wohlergehen ihrer Familie am Herzen.;;Esta mujer se dedica a la armonía y el bienestar de su familia.;;;;;;;;;x
wol_matriarch_2;Å®×å³¤;Matriarche de la famille;Matriarchin;;Matriarca familiar;;;;;;;;;x
desc_wol_matriarch_2;ËıÊÇ¼Ò×åÖĞÎŞ¿ÉÕùÒéµÄÁìµ¼Õß£¬²ÉÓÃ¸ÕÈá²¢¼ÃµÄÊÖ¶Î½â¾ö³åÍ»¡£;Cette femme est la chef incontestée de la famille, et s'applique ?résoudre les conflits d'une main de fer dans un gant de velours.;Diese Frau ist das unumstrittene Familienoberhaupt, sie schlichtet Konflikte und führt mit Nachdruck, aber sanft.;;Esta mujer es la jefa indiscutible de la familia, resolviendo conflictos y dirigiendo con mano firme pero suave.;;;;;;;;;x
schemer;ÃÜÄ±´óÊ¦;Maître conspirateur;Meister-Intrigant;;Intrigante maestro;;;;;;;;;x
break_up_with_lover;·ÖÊÖ;Rompre;Zerwürfnis;;Ruptura;;;;;;;;;x
break_up_with_lover_desc;ÄãºÍ §Y[Root.GetTitledFirstNameNoRegnal]§! µÄÁµ°®¹ØÏµ½áÊøÁË¡£;Votre histoire d'amour avec §Y[Root.GetTitledFirstNameNoRegnal]? prend fin.;Eure Liebesaffäre mit §Y[Root.GetTitledFirstNameNoRegnal]? ist vorbei.;;Tu relación amorosa con §Y[Root.GetTitledFirstNameNoRegnal]? se ha terminado.;;;;;;;;;x
opinion_whorespawn;æ½¸¾ËùÉú;Enfant de putain;Hurengezücht;;Prole de zorra;;;;;;;;;x
opinion_seduced_once;±»¹´Òı;Sous le charme;Verführt;;Seducido;;;;;;;;;x
opinion_seduced_lustful_worship;É«Óû³ç°İ;Adoration lubrique;Lustvolle Verehrung;;Adoración lujuriosa;;;;;;;;;x
opinion_seducing_concubine;ÓÕ»ó;Séduction;Verführend;;Seducir;;;;;;;;;x
opinion_regicide_traitor;ß±¾ıÅÑÍ½;Traître meurtrier;Mordgieriger Verräter;;Traidor asesino;;;;;;;;;x
seduced_loyal_bodyguard;±£ïÚÇéÈË;Charmeuse de gardes du corps;Leibwächter-Liebhaber;;Amante de guardaespaldas;;;;;;;;;x
