;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
gamer;ÓÎÏ·´óÊ¦;Expert en jeux;Meisterspieler;;Maestro de juego;;;;;;;;;x
gamer_desc;Õâ¸ö½ÇÉ«ÊÇ³öÁËÃûµÄÓÎÏ·´óÊ¦,²»ÂÛÊÇÏóÆå»¹ÊÇË«Â½Æå,ÉõÖÁÊÇÒì¹úµÄÊ®×ÖÏ·¶¼²»ÔÚ»°ÏÂ.;Ce personnage est connu pour être un joueur expert. Les échecs, le jeu de jacquet ou l'exotique Pachisi, rien ne lui échappe.;Diese Person ist bekannt als eifriger und meisterlicher Spieler von Spielen ?ihre Palette reicht von Schach über Tabula bis hin zum exotischen Pachisi.;;Este personaje es célebre como un jugador ferviente y magistral de todo, del ajedrez a tabula, pasando por el exótico parchís.;;;;;;;;;x
IS_NOT_MARRIED_TO;Ã»ÓĞÓë §Y$WHO$§! ½á»é;N'est pas mari?e) ?§Y$WHO$?;Ist NICHT mit §Y$WHO$? verheiratet;;NO est?casado/a con;;;;;;;;;x
IS_MARRIED_TO;Óë §Y$WHO$§! ½á»é;Est mari?e) ?§Y$WHO$?;Ist mit §Y$WHO$? verheiratet;;Est?casado/a con §Y$WHO$?;;;;;;;;;x
nick_the_shrewd;»úÁéÕß;le Malin;der/die Kluge;;el sagaz;;;;;;;;;x
nick_the_wily;½Æ»«Õß;la Ruse;der/die Listige;;el Astuto;;;;;;;;;x
nick_the_fox;ºüÀê;le Renard;der/die Füchsin;;el Zorro;;;;;;;;;x
nick_the_jovial;»¶ÓäÕß;le Jovialiste;der/die Heitere;;el Jovial;;;;;;;;;x
nick_the_jolly;»¶ÀÖÕß;la Joie;der/die Muntere;;el Alegre;;;;;;;;;x
nick_the_gracious;ÓÅÑÅÕß;la Grâce;der/die Anmutige;;el Gentil;;;;;;;;;x
trade_route;Ã³Ò×ÉÌÂ·;Route commerciale;Handelsroute;;Ruta comercial;;;;;;;;;x
desc_trade_route;Õâ¸öÊ¡·İÓë¹úÍâ·±ÈÙµÄ½»Ò×´øÀ´ÁËÒìÓòÉÌÆ·¡£;Ce comt?possède une route commerciale prospère qui apporte des biens exotiques.;Diese Provinz betreibt florierenden Handel mit einem ausländischen Reich und importiert exotische Waren.;;Esta provincia tiene un floreciente comercio con un reino extranjero que trae mercancías exóticas.;;;;;;;;;x
stone_quarry;²ÉÊ¯³¡;Carrière de pierres;Steinbruch;;Cantera de piedra;;;;;;;;;x
desc_stone_quarry;Õâ¸öÊ¡·İµÄ²ÉÊ¯³¡Éú²ú´óÁ¿Á®¼ÛµÄ½¨Öş²ÄÁÏ¡£;Une carrière de pierres située dans ce comt?fournit un surplus de matériaux de construction bon march?;Ein Steinbruch in dieser Provinz produziert einen Überschuss an günstigem Baumaterial.;;Una cantera en esta provincia produce un exceso de materiales de construcción baratos.;;;;;;;;;x
leaning_tower_bad;Ğ±Ëş;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
desc_leaning_tower_bad;Ò»×ùĞ±ËşËÊÁ¢Æğ,Ğ¦Ëµ½¨ÖşÊ¦²»ÈëĞĞ.;Une tour penchée domine le paysage, ?la grande honte de son constructeur.;Ein schiefer Turm bestimmt das Landschaftsbild, zur Schande seines Erbauers.;;Una torre inclinada domina el paisaje, para vergüenza del constructor.;;;;;;;;;x
leaning_tower;Ğ±Ëş;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
desc_leaning_tower;Ò»×ùĞ±ËşËÊÁ¢Æğ,ÒıµÃÔ¶½üÈËÀ´¹Û;Une tour penchée domine le paysage. Ce spectacle attire les visiteurs de très loin.;Ein schiefer Turm bestimmt das Landschaftsbild. Diese spektakuläre Sehenswürdigkeit zieht Besucher von weither an.;;Una torre inclinada domina el paisaje. Esta vista espectacular atrae gente de lejos.;;;;;;;;;x
aspiring_trader;ÓĞÖ¾ÉÌÈË;Aspirant commerçant;Angehender Händler;;Aspirante a comerciante;;;;;;;;;x
