;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
MODIFIER_COMBAT_RATING;个人实战技能;Comp閠ence de combat personnelle;Pers鰊liche Kampffertigkeit;;Destreza de Combate Personal;;;;;;;;;x
GOD_THE_CREATOR;造物主;le Cr閍teur;der Sch鰌fer;;el Creador;;;;;;;;;x
GOD_BRAHMA;梵天;Brahma;Brahma;;Brahma;;;;;;;;;x
GOD_SATURN;萨尔图努斯;Saturne;Saturn;;Saturno;;;;;;;;;x
scholar_desc;这名角色是天生的学者,以期超乎凡人的智慧穷毕生之精力去钻研书本当中的知识.;Ce personnage vit en 閞udit. Il se plonge dans les livres et correspond avec les esprits les plus brillants du monde connu.;Diese Person f黨rt das Leben eines Gelehrten, w鋖zt B點her und tauscht sich brieflich mit den gr鲞ten Denkern der bekannten Welt aus.;;Este personaje lleva la vida de un erudito, estudiando libros y carte醤dose con las mejores mentes del mundo conocido.;;;;;;;;;x
HAVE_NOT_RELIGION;不是;N'est pas;ist NICHT;;NO es;;;;;;;;;x
;#alert_available_targetted_decision_instant;You Can Now?;;Ihr k?nnt nun?;;Ahora Puedes?;;;;;;;;;x;
;#alert_available_targetted_decision_delayed;The following Character Interactions are available:\n$LIST$;;Die folgenden Personeninteraktionen sind verfügbar:\n$LIST$;;Los siguientes Interacciones con Personajes son realizables:\n$LIST$;;;;;;;;;x;
EVTOPTA_WOL_2100_3;侏儒,鞋子... 不! [target_spy_on.GetFirstName] 竟然在肏羊!;Des nains, des chaussures... Oh non! [target_spy_on.GetFirstName] entretient une liaison avec une ch鑦re fougueuse?;Zwerge, Schuhe... Nein! [target_spy_on.GetFirstName] hat eine Aff鋜e mit einer widerborstigen Ziege!;;Enanos, zapatos... No! [target_spy_on.GetFirstName] est?teniendo relaciones con una cabra!;;;;;;;;;x
EVTOPTA_WOL_2100_5;[target_spy_on.GetSubjectPronounCap] 在十一岁的小小年纪就杀了一个玩伴!;[target_spy_on.GetSubjectPronounCap] a assassin?un ami d'enfance ?l'鈍e de 11 ans?;[target_spy_on.GetSubjectPronounCap] ermordete einen Spielgef鋒rten im zarten Alter von 11 Jahren!;;[target_spy_on.GetSubjectPronounCap] asesin?an un amiguito cuando ten韆 11 a駉s!;;;;;;;;;x
EVTOPTA_WOL_2100_6;[target_spy_on.GetSubjectPronounCap] 给自己幻想了一个叫巴伯的朋友!;[target_spy_on.GetSubjectPronounCap] poss鑔e un ami imaginaire appel?Bappo?;[target_spy_on.GetSubjectPronounCap] hat einen unsichtbaren Freund namens Bappo!;;[target_spy_on.GetSubjectPronounCap] tiene un amigo imaginario llamado B醦o!;;;;;;;;;x
EVTOPTA_WOL_2100_8;[target_spy_on.GetSubjectPronounCap] 一有机会就会去偷偷地跑到 [target_spy_on.Capital.Capital.GetName]的妓院里去做鸡!;[target_spy_on.GetSubjectPronounCap] se prostitue secr鑤ement dans un bordel de [target_spy_on.Capital.Capital.GetName]?;[target_spy_on.GetSubjectPronounCap] f黨rt ein Doppelleben als Prostituierte/r in einem Freudenhaus in [target_spy_on.Capital.Capital.GetName]!;;[target_spy_on.GetSubjectPronounCap] lleva una vida secreta como prostituta en un burdel en [target_spy_on.Capital.Capital.GetName]!;;;;;;;;;x
