#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RCLK_TO_SELECT;§Gµã»÷Êó±êÓÒ¼ü½øĞĞÑ¡Ôñ§!;§GClic droit pour sélectionner?;§GRechtsklickt zur auswahl?;;§GHaz clic derecho para seleccionar?;;;;;;;;;x
vassal_sacrifice_decision;ÎşÉü;Sacrifier;Opfert;;Sacrifica;;;;;;;;;x
vassal_sacrifice_decision_named;Ï×¼À [Root.GetFirstName];Sacrifier [Root.GetFirstName];Opfert [Root.GetFirstName];;Sacrifica a [Root.GetFirstName];;;;;;;;;x
break_up_with_lover_named;Óë [Root.GetFirstName] ·ÖÊÖ;Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relación con [Root.GetFirstName];;;;;;;;;x
seduce_decision_named;¹´Òı [Root.GetFirstName];Séduire [Root.GetFirstName];[Root.GetFirstName] verführen;;Seducir [Root.GetFirstName];;;;;;;;;x
decision_spy_on_named;¼àÊÓ [Root.GetFirstName];Espionner [Root.GetFirstName];Spionieren an [Root.GetFirstName];;Espiar a [Root.GetFirstName];;;;;;;;;x
decision_break_free_named;´Ó¼àÓüÀï½â¾È [Root.GetFirstName];Libérer [Root.GetFirstName] de sa captivit?[Root.GetFirstName] vom gefangenschaft befreien;;Liberar a [Root.GetFirstName] de la cautividad;;;;;;;;;x
invite_to_party_named;ÑûÇë [Root.GetFirstName] ¸°Ñç;Inviter [Root.GetFirstName] ?faire ribote;[Root.GetFirstName] zu Zecherei einladen;;Invitar a [Root.GetFirstName] a Juerga;;;;;;;;;x
duel_decision_named;Óë [Root.GetFirstName] ¾ö¶·;Se battre en duel avec [Root.GetFirstName];Duelliere mit [Root.GetFirstName];;Batir en duelo con [Root.GetFirstName];;;;;;;;;x
legitimize_bastard;Ë½Éú×ÓºÏ·¨»¯;Légitimer;Legitimieren;;Legitimar;;;;;;;;;x
legitimize_bastard_named;Ê¹ [Root.GetTitledFirstName]³ÉÎªºÏ·¨×ÓÅ®;Légitimer [Root.GetTitledFirstName];[Root.GetTitledFirstName] legitimieren;;Legitimar a [Root.GetTitledFirstName];;;;;;;;;x
