;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
party_timer;最近的狂欢;Ribote r閏ente;K黵zliches Zechen;;Juerga Reciente;;;;;;;;;x
temple_barony_of_zun_pagan;太阳神殿;Temple Solaire de;Sonnentempel von;;Templo Solar de;;;;;;;;;x
temple_barony_of_zun_pagan_reformed;太阳神殿;Temple Solaire de;Sonnentempel von;;Templo Solar de;;;;;;;;;x
;#EVTOPTA_WOL_415;Ihavebutterfliesinmystomach！;;;;;;;;;;;;;x;
;#EVTTOOLTIP_CM_4332;[This.GetTitledFirstName]becomesamemberoftheHaruriyyahOrder;;;;;;;;;;;;;x;
;#tower_topples;Towertopples。;;;;;;;;;;;;;x;
;#tower_stands;Towerstands。;;;;;;;;;;;;;x;
;#promised_to_clear_out_heresy;Promisedtoclearoutheresy;;;;;;;;;;;;;x;
;#alert_can_tech_name;Cantech;;;;;;;;;;;;;x;
