;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC_WOL_115;我向[target_seduced.GetTitledFirstNameNoRegnal]追求我情爱上的兴趣的时光极为艰难。我何时能有时间去如此远的地方？;J'ai de grandes difficult閟 ?entretenir mon histoire d'amour avec [target_seduced.GetTitledFirstNameNoRegnal]. Trouverai-je un jour le temps de faire un si long voyage?;Es ist au遝rgew鰄nlich schwierig, meinen amour鰏en Neigungen gegen黚er [target_seduced.GetTitledFirstNameNoRegnal] nachzugehen. Wann werde ich wohl die Zeit finden, so weit zu reisen?;;Estoy teniendo excesivos problemas en mis intereses amorosos en [target_seduced.GetTitledFirstNameNoRegnal]. 緾u醤do encontrar?tiempo para viajar tan lejos?;;;;;;;;;x
EVTDESC_WOL_115_BUSY;我现在的工作让我无暇去追求[target_seduced.GetTitledFirstNameNoRegnal]——或其他任何人。;Mes t鈉hes actuelles ne me laissent aucun loisir de courtiser [target_seduced.GetTitledFirstNameNoRegnal]... Ni personne d'autre, d'ailleurs.;Meine momentanen Verpflichtungen verhindern derzeit, dass ich [target_seduced.GetTitledFirstNameNoRegnal] nachstelle, und das gilt genauso f黵 alle anderen.;;Mi ocupaci髇 actual sencillamente no me deja sin tiempo para perseguir a [target_seduced.GetTitledFirstNameNoRegnal] o cualquier otra cosa.;;;;;;;;;x
EVTDESC_WOL_115_UNAVAILABLE;我情爱上的目标，[target_seduced.GetTitledFirstNameNoRegnal]，似乎就没出现过！;L'objet de mes 閘ans amoureux, [target_seduced.GetTitledFirstNameNoRegnal], est introuvable?;Das Ziel meiner romantischen Pl鋘e, [target_seduced.GetTitledFirstNameNoRegnal], ist einfach nie in der N鋒e!;;l objetivo de mis atenciones amorosas, [target_seduced.GetTitledFirstNameNoRegnal], simplemente parece que no est?al alcance!;;;;;;;;;x
EVTOPTA_WOL_115;我应当放弃……暂时来说。;J'abandonne... Pour le moment.;Am Besten lasse ich es bleiben ... zun鋍hst jedenfalls.;;Deber韆 rendirme... por el momento.;;;;;;;;;x
EVTOPTB_WOL_115;不着急！;Rien ne presse?;Gut Ding will Weile haben!;;o hay prisa!;;;;;;;;;x
stop_seduce_decision;停止勾引;Arr阾er la s閐uction;Verf黨rung beenden;;Deja la seducci髇;;;;;;;;;x
stop_seduce_decision_desc;停止我现在的勾引努力。或许我应当专注于其他人……;Cessons l?cette s閐uction. J'aurai plus de chance ailleurs...;Die Verf黨rungsversuche werden eingestellt. Vielleicht k鋗e jemand anders infrage ...;;Dejar mi esfuerzo seductor actual. Tal vez deber韆 dedicarme en otra persona...;;;;;;;;;x
stop_seduce_decision_tt;勾引终止;Fin de la s閐uction;Verf黨rung endet;;La seducci髇 termina;;;;;;;;;x
stop_seduce_decision_target;停止勾引;Arr阾er la s閐uction;Verf黨rung beenden;;Dejar de seducir;;;;;;;;;x
stop_seduce_decision_target_desc;停止对[Root.GetTitledFirstNameNoRegnal]?的勾引尝试。我应当把我的注意力放到别处……;Je dois cesser de s閐uire [Root.GetTitledFirstNameNoRegnal]?. Je devrais passer ?autre chose...;Verf黨rung von [Root.GetTitledFirstNameNoRegnal]? beenden. Ich sollte mich anderweitig orientieren ...;;Deja de intentar seducir a [Root.GetTitledFirstNameNoRegnal]?. Deber韆 dirigir mi atenci髇 en otro lado...;;;;;;;;;x
stop_spy_on_decision;停止监视;Ne plus espionner;Spionage beenden;;Deja de espiar;;;;;;;;;x
stop_spy_on_decision_desc;停止监视我的现有目标。还有很多人可以监视……;Cesser d'espionner cette cible. Il y a tant d'autres suspects...;Das aktuelle Ziel nicht weiter 黚erwachen. Es gibt so viele Verd鋍htige ...;;Deja de espiar a mi objetivo actual. Hay muchos otros sospechosos...;;;;;;;;;x
stop_spy_on_decision_tt;监视终止;Fin de l'espionnage;Spionage wird beendet;;Deja de espiar;;;;;;;;;x
stop_spy_on_decision_target;停止监视;Arr阾er l'espionnage;Spionage beenden:;;Dejar de espiar;;;;;;;;;x
stop_spy_on_decision_target_desc;停止监视[Root.GetTitledFirstNameNoRegnal]?。或许我应当专注于其他人……;Arr阾er d'espionner [Root.GetTitledFirstNameNoRegnal]?. Je devrais passer ?autre chose...;躡erwachung von [Root.GetTitledFirstNameNoRegnal]? beenden. Ich sollte mich anderweitig orientieren ...;;Deja de espiar a [Root.GetTitledFirstNameNoRegnal]? Deber韆 dirigir mi atenci髇 en otra parte...;;;;;;;;;x
EVTDESC_HL_5051;一组袭击者对我们境内的贸易产生威胁。我的领主，[Liege.GetTitledFirstName]命令我消灭他们的头领，确保商队在路上的安全。;Une bande de pillards s'attaque aux marchands dans le royaume. M[Liege.GetHerHis] [Liege.GetLordLady], [Liege.GetTitledFirstName], a ordonn?que je m'occupe de leur chef afin que les caravanes puissent ?nouveau se d閜lacer en s閏urit?;Der Handel in unserem Reich droht durch Pl黱derer zu leiden. Nun hat mich mein Lehnsherr [Liege.GetTitledFirstName] beauftragt, f黵 Sicherheit auf den Stra遝n zu sorgen. Ich soll Jagd auf den Anf黨rer der Pl黱derer machen.;;Un grupo de asaltantes est?amenazando el comercio de nuestro reino. Mi se駉r [Liege.GetTitledFirstName] me ha pedido que persiga a su l韉er y me asegure de que los caminos son seguros para las caravanas.;;;;;;;;;x
EVTOPTA_HL_5051;这是我的使命。;Tel est mon devoir.;So ist es meine Pflicht.;;Es mi deber.;;;;;;;;;x
EVTOPTB_HL_5051;我不能为了这危险的强盗冒生命危险。;Je ne risquerai pas ma peau contre ces dangereux bandits.;Ich werde nicht mein Leben wegen dieser gef鋒rlichen Banditen aufs Spiel setzen!;;No arriesgar?mi vida contra bandidos peligrosos.;;;;;;;;;x
