#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
ONLY_ONE_TRIBAL;Ã¿¸öÊ¡·İÖ»ÄÜ´æÁôÒ»¸ö²¿Âä¡£;Chaque comt?ne peut héberger qu'une seule tribu.;In jeder Provinz kann nur ein Stamm leben.;;Sólo una tribu puede vivir en cada provincia.;;;;;;;;;x
#HT_HONORARY_TITLES;Honorary Titles;;Ehrentitel;;T¨ªtulos honor¨ªficos;;;;;;;;;x;
HT_SHOW_HONORARY_TITLES;ÏÔÊ¾ÈÙÓşÍ·ÏÎ;Afficher les titres honorifiques;Ehrentitel anzeigen;;Muestra títulos honoríficos;;;;;;;;;x
HT_SHOW_COMMANDERS;ÏÔÊ¾Ö¸»Ó¹Ù;Afficher les commandants;Kommandanten anzeigen;;Mostrar los comandantes;;;;;;;;;x
INTERACTION_INVALID_CB;ÓĞĞ§Õ½ÕùÀíÓÉ;Casus belli valide;Gültiger Kriegsgrund;;Casus Belli válido;;;;;;;;;x
lappish;ÈøÃ×ÈË;same;Samen;;Sami;;;;;;;;;x
d_lappish_band;ÈøÃ×´ó¶Ó;Bande armée sami;Samentrupp;;Banda sami;;;;;;;;;x
d_lappish_band_adj;ÈøÃ×´ó¶Ó;samie;Samen;;Sami;;;;;;;;;x
IRONMAN_MODE_CHECKSUM_DESC;ÓÎÏ·µÄÊı¾İÎÄ¼şÒÑ¾­±»ĞŞ¸Ä£¬ÌúÈËÄ£Ê½Òò¶ø½ûÓÃ¡£Çë¼ì²éÊÇ·ñ¼ÓÔØÓĞmod»ò¼ìÑéÄãµÄÓÎÏ·ÎÄ¼ş¡£;Les fichiers du jeu ont ét?modifiés, les accomplissements en mode Iron Man ont ét?désactivés. Assurez-vous de n'avoir activ?aucun mode ou vérifiez les fichiers du jeu. Utiliser l'éditeur de règles désactive aussi les accomplissements.;Die Spieldateien wurden verändert und die Errungenschaften aus dem Ironman-Modus deaktiviert. Überprüfen Sie die Integrität der Installation oder deaktivieren Sie etwaige Mods. Auch durch die Verwendung des Herrscher-Baukastens werden Errungenschaften deaktiviert.;;Los archivos de datos del juego han sido alterados de alguna manera, desactivando los logros en el modo Ironman. Verifica si no tienes mods cargados, o tus archivos de juego. Utilizar el diseñador del gobernante también desactivar?logros.;;;;;;;;;x
NAND_TRIGGER_STARTS;ÒÔÏÂËùÓĞ±ØĞë²»³ÉÁ¢;Toutes ces conditions doivent être invalides;KEINE der folgenden Bedingungen darf erfüllt sein;;Todo lo siguiente NO debe ser verdad;;;;;;;;;x
MATCHMAKING_SERVER_DENIED;¾Ü¾ø;Refus?Verweigert;;Denegado;;;;;;;;;x
PROVINCE_EXTEND;ÍØÕ¹;Étendu;Erweiterung;;Ampliar;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_TITLE;½¨Ôì$TYPE$;Établir une propriét?de type '$TYPE$';$TYPE$ bauen;;Construye $TYPE$;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_DESC;ÄãÈ·¶¨Òª½¨ÔìÒ»×ù$TYPE$Âğ£¿\nÕâ½«ÏûºÄÄã§Y$COST$§!¤ ²¢ÔÚ$FINISHED$Íê¹¤;Voulez-vous vraiment établir votre $TYPE$?\nVous devrez payer §Y$COST$??et la construction s'achèvera le §Y$FINISHED$?;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$?? Fertigstellung am §Y$FINISHED$?.;;¿Estás seguro/a de que desea construir un/a $TYPE$?\n Te costar?§Y$COST$??estar?terminado en §Y$FINISHED$?;;;;;;;;;x
GOVERNMENT_ALLOWS_BUILDING;§Y$GOVERNMENT$§!ÕşÌåÔÊĞí½¨Ôì §Y$TYPE$§!;Un gouvernement de type '§Y$GOVERNMENT$?' permet de construire '§Y$TYPE$?';Bau von §Y$TYPE$? möglich unter §Y$GOVERNMENT$?;;§Y$GOVERNMENT$? Gobierno permite construir §Y$TYPE$?;;;;;;;;;x
CONTROLS_PROVINCE;¿ØÖÆ§Y$PROVINCE$§!;Contrôle §Y$PROVINCE$?.;Kontrolliert §Y$PROVINCE$?.;;Controla §Y$PROVINCE$?.;;;;;;;;;x
EXTRA_HOLDING_UNDER_CONSTRUCTION;$TYPE$ÔÚ±»§Y$BUILDER$§!½¨Ôì\n½«ÓÚ§Y$DATE$§!Íê¹¤;§Y$BUILDER$? est en train d'établir une propriét?de type '$TYPE$'.\nCe sera termin?le §Y$DATE$?;§Y$BUILDER$? baut $TYPE$\nFertigstellung am §Y$DATE$?;;$TYPE$ en construcción por §Y$BUILDER$?\n Estar?terminado en §Y$DATE$?;;;;;;;;;x
BUILD_EXTRA_HOLDING;§Y½¨ÔìÒ»×ùĞÂµÄ$TYPE$§!;Établir une nouvelle propriét?de type '$TYPE$';Neu bauen: $TYPE$;;Construir un nuevo / una nueva $TYPE$;;;;;;;;;x
NO_EXTRA_HOLDING_BUILT;Ã»ÓĞÒÑ½¨ÔìµÄ$TYPE$;Aucune propriét?de type '$TYPE$' établie;$TYPE$ noch nicht gebaut;;No $TYPE$ construido/a;;;;;;;;;x
EXTRA_HOLDING_UNDER_CON;$TYPE$ÔÚ½¨ÔìÖĞ;$TYPE$ en construction;$TYPE$ wird gebaut;;$TYPE$ en construcción;;;;;;;;;x
CREATE_EXTRA_HOLDING_EFFECT;ÔÚ$LOCATION$½¨ÔìÒ»×ù$TYPE$;Crée une propriét?de type '$TYPE$' en $LOCATION$;Erstellt $TYPE$ in $LOCATION$;;Crear $TYPE$ en $LOCATION$;;;;;;;;;x
NOMAD_TAX_MODIFIER;ÓÎÄÁË°;Impôt nomade;Nomadensteuer;;Impuesto de nómadas;;;;;;;;x
