;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
b_sanvicente;圣维森特;San Vicente;San Vicente;;San Vicente;;;;;;;;;x
WOE;悲哀！;Malheur?;Oh weh!;;y!;;;;;;;;;x
UNIT_MORALE_EFFECT;军队可获得$PERC$士气.\n;Les troupes b閚閒icient de $PERC$ en moral.\n;Truppen erhalten $PERC$ Moral.\n;;Los soldados logran $PERC$ moral.\n;;;;;;;;;x
UNIT_REINFORCE_EFFECT;指挥的部队由于$PERC$被加强.\n;Les troupes command閑s obtiennent $PERC$ de renforts.\n;Befehligte Truppen werden um $PERC$ verst鋜kt.\n;;Los soldados comandados son reforzados por $PERC$.\n;;;;;;;;;x
UNIT_INVERTREINFORCE_EFFECT;统帅军队的$PERC$被杀死.\n;$PERC$ des troupes command閑s sont 閘imin閑s.\n;$PERC$ der befehligten Truppen sind gefallen.\n;;$PERC$ de los soldados comandados es asesinado.\n;;;;;;;;;x
TRIGGER_LEADER;领导者;;;;;;;;;;;;;x
opinion_father_child;父亲;P鑢e;Vater;;Padre;Padre;;;;;;;;x
opinion_mother_of_child;我的小孩;Mon enfant;Mein Kind;;Mi hijo;;;;;;;;;x
COUNCIL;内阁;Conseil;Rat;;Consejo;;;;;;;;;x
BM_CHARLEMAGNE_ERA;中世纪早期;Haut Moyen 耮e;Fr黨mittelalter;;Temprana Edad Media;;;;;;;;;x
