;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
haughty;自大;Enfant au caract鑢e hautain;躡erheblich;;altanero/a;;;;;;;;;x
;#haughty_desc;This child is proud and vain, convinced of their own superiority.;;Das Kind ist voller Stolz und Eitelkeit und überzeugt von der eigenen überlegenheit.;;Este/a ni?o/a es orgulloso/a y vanidoso/a, convencido de su propia superioridad.;;;;;;;;;x;
affectionate;亲切;Enfant au caract鑢e tendre;Herzlich;;afectuoso/a;;;;;;;;;x
;#affectionate_desc;This child is kind and is quick to show love and affection.;;Das Kind ist freundlich und zeigt schnell seine Liebe und Zuneigung.;;Este/a ni?o/a es buena y rápido/a en mostrar amor y afecto.;;;;;;;;;x;
timid;怯懦;Enfant au caract鑢e timide;Zaghaft;;t韒ido/a;;;;;;;;;x
;#timid_desc;This child is shy and quiet and usually avoids open conflicts.;;Das Kind ist schüchtern und still und geht der offenen Konfrontation aus dem Weg.;;Este/a ni?o/a es tímido/a y reservado/a y evita generalmente conflictos abiertos.;;;;;;;;;x;
rowdy;粗暴;Enfant au caract鑢e chahuteur;Rauflustig;;alborotador/a;;;;;;;;;x
;#rowdy_desc;This child is loud and lively and usually prefers rough physical activity over calmer pursuits.;;Das Kind ist laut und quirlig und geht am liebsten k?rperlich fordernden Aktivit?ten nach.;;Este/a ni?o/a es fuerte y vivaz y generalmente prefiere actividad física ruda sobre actividades más tranquilas.;;;;;;;;;x;
willful;任性;Enfant au caract鑢e opini鈚re;Eigenwillig;;obstinado/a;;;;;;;;;x
;#willful_desc;This child is stubborn and strong-willed, and doesn't obey or give way easily.;;Das Kind ist stur und eigensinnig. Es gehorcht nicht gern und gibt nicht gern nach.;;Este/a ni?o/a es obstinado/a y terco/a, y no obedece o cede el paso fácilmente.;;;;;;;;;x;
brooding;沉思;Enfant au caract鑢e songeur;Gr黚lerisch;;pensativo/a;;;;;;;;;x
;#brooding_desc;This child is a quiet thinker, often sitting inside in deep ponderings as others play outside in the sun.;;Das Kind hat einen Hang zur stillen Betrachtung und überl?sst das Herumtoben im Freien gerne den anderen.;;Este ni?o/a es un/a pensador/a tranquilo/a, a menudo sentado/a en profundas meditaciones mientras otros juegan fuera, al sol.;;;;;;;;;x;
indolent;懒散;Enfant au caract鑢e veule;Tr鋑e;;indolente;;;;;;;;;x
