;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
TOOLTIP_DISALLOW_TRUE_COGNATIC;²»ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
;#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession suppl¨¦mentaires.\n;Erlaubt zus?tzliche Erbfolgerechte\n;;Permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
;#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Emp¨ºche les lois de succession suppl¨¦mentaires.\n;Verbietet zus?tzliche Erbfolgerechte\n;;No permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
opinion_powerful_vassal_not_voter;ÏëÒª»ñµÃÊàÃÜÔºÏ¯Î»;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
REQUEST_SUPPORT_INTERACTION_TITLE;ÒªÇóÊàÃÜÔºÖ§³Ö;Demander du soutien au vote;Rat um Unterstützung bitten;;Solicitar el apoyo del Consejo;;;;;;;;;x
ASK_TO_DECLARE_WAR_INTERACTION_TITLE;ÒªÇó¹«¿ªĞû³Æ;Demander d'appuyer une revendication;Um Durchsetzung von Ansprüchen bitten;;Pedir presentar reclamaciones;;;;;;;;;x
change_council_job_desc;Èç¹ûÄã¾õµÃ§Y[Root.GetTitledName]?¸üÊ¤ÈÎÁíÒ»·İÊàÃÜÔºµÄ¹¤×÷£¬Äã¿ÉÒÔ°Ñ[Root.GetHerHis]ÏÖ½ñ¹¤×÷ÓëÁíÒ»¸öÈË½»»»¡£;Si vous pensez qu'une autre fonction au sein du Conseil conviendrait mieux ?§Y[Root.GetTitledName]?, vous pouvez librement modifier celle-ci.;Wenn Ihr denkt, dass §Y[Root.GetTitledName]? für eine andere Stelle im Rat besser geeignet ist, könnt Ihr die aktuelle Stelle dieser Person ändern.;;Si crees que §Y[Root.GetTitledName]? es más adecuado para otro trabajo en el Consejo puedes cambiar [Root.GetHerHis] trabajo actual en el Consejo por otro.;;;;x
IS_AFFECTED_BY_AN_ACTIVE_REALM_PEACE;´¦ÓÚÈ«¾³ºÍÆ½µÄÓ°ÏìÖĞ;Est sous l'effet d'une paix imposée dans le pays.;Ist von einem aktiven Reichsfrieden betroffen.;;Se ve afectado por una Paz del Reino activa.;;;;;;;;;x
IS_NOT_AFFECTED_BY_AN_ACTIVE_REALM_PEACE;²»´¦ÓÚÈ«¾³ºÍÆ½µÄÓ°ÏìÖĞ;N'est pas sous l'effet d'une paix imposée dans le pays.;Ist NICHT von einem aktiven Reichsfrieden betroffen.;;NO se ve afectado por una Paz del Reino activa.;;;;;;;;;x
;#alert_high_infamy_instant;§YHigh Infamy§!;;§YHohe Infamie?;;§YAlta Infamia?;;;;;;;;;x;
;#alert_high_infamy_delayed;With §YInfamy§! over §Y25%§! you risk having a coalition forming against you! It will decline slowly over time but you can manually lower it by granting independence to non-dejure land.;;Bei mehr als §Y25?%? §YInfamie? riskiert Ihr, dass sich eine Koalition gegen Euch bildet! Sie sinkt mit der Zeit, aber Ihr k?nnt sie manuell verringern, indem Ihr nicht rechtm??igem Land die Unabh?ngigkeit gew?hrt.;;?Con una §YInfamia? superior al §Y25% ? corres el riesgo que se forme una coalici¨®n contra ti!  Disminuir¨¢ lentamente con el tiempo pero puedes reducirla manualmente concediendo independencia a tierras no de jure.;;;;;;;;;x;
;#RELEASE_VASSAL_INTERACTION_0;Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion, §G$INFAMY$%§! Infamy);;Gew?hrt §Y[Recipient.GetTitledFirstName]§W Unabh?ngigkeit. [Recipient.GetSubjectPronounCap] wird geb¨¹hrend dankbar sein. (§G+$OPINION$? Meinung, §G$INFAMY$?%? Infamie);;Conceder la independencia a §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] ser¨¢ debidamente agradecido (§G+$OPINION$? Opini¨®n, §G$INFAMY$%? Infamia);;;;;;;;;x;
;#GRANT_LANDED_TITLE_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.;;Die §Y[ThirdPartyTitle.GetFullName]§W und alle damit verbundenen Titel werden §Y[Recipient.GetTitledFirstName]§W gew?hrt, sodass sich seine/ihre Meinung von Euch um §G$OPINION$? verbessert und Eure Infamie um §G$INFAMY$?%? sinkt.;;Concede el §Y[ThirdPartyTitle.GetFullName]§W y todos los t¨ªtulos que contenga a §Y[Recipient.GetTitledFirstName]§W, aumentando [Recipient.GetPossPronoun] opini¨®n hacia en §G$OPINION$? y bajando tu infamia en §G$INFAMY$%?.;;;;;;;;;x;
;#GRANT_LANDED_TITLE_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.;;Die §Y[ThirdPartyTitle.GetFullName]§W wird §Y[Recipient.GetTitledFirstName]§W gew?hrt, sodass sich seine/ihre Meinung von Euch um §G$OPINION$? verbessert und Eure Infamie um §G$INFAMY$?%? sinkt.;;Concede el §Y[ThirdPartyTitle.GetFullName]§W  a §Y[Recipient.GetTitledFirstName]§W, aumentando [Recipient.GetPossPronoun] opini¨®n hacia ti en §G$OPINION$? y bajando tu infamia en §G$INFAMY$%?.;;;;;;;;;x;
