;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
EVTDESC_ZE_22300;正当审判威胁你王座的罪犯时，一个年轻的贵族被带到你面前。你迅速得出了结论：这个人的的确确有罪。向他问罪可能不是最明智的选择，毕竟他是个贵族出身。如果你赦免了这个人，他会证明他自己是对你有用处的，毕竟他欠了你罪债。;Alors que vous jugez les criminels depuis le confort de votre tr鬾e, on vous am鑞e un jeune noble. Vous d閠erminez rapidement que sa culpabilit?ne fait aucun doute, mais le condamner n'est peut-阾re pas la meilleure solution en raison de sa noble extraction. Si vous l'acquittez, il pourrait s'av閞er utile, se voyant oblig?de vous rendre la faveur.;W鋒rend Ihr von Eurem sicheren Thron aus 黚er Verbrecher richtet, wird ein junger Adliger vor Euch gef黨rt. Ihr kommt schnell zu der 躡erzeugung, dass der Mann f黵wahr schuldig ist. Ihn zu verurteilen mag nicht die kl黦ste Wahl sein, da er dem Adel angeh鰎t. Wenn Ihr ihn begnadigt, k鰊nte er Euch eventuell von Nutzen sein, da er dann in Eurer Schuld st黱de.;;Al pasar juicio sobre los criminales desde la seguridad de tu trono, un joven noble se presenta antes de ti. R醦idamente llegas a la conclusi髇 de que el hombre es de hecho culpable. Condenarle pueda no ser la elecci髇 m醩 sabia, ya que es de noble nacimiento. Si perdonas al hombre podr韆 ser 鷗il para ti, ya que estar韆 en deuda contigo.;;;;;;;;;x
EVTOPTA_ZE_22300;放了他！现在，你可别忘了我为你所做的这一切……;Lib閞ez-le? Mais qu'il n'oublie pas ce que j'ai fait pour lui...;Lasst ihn frei! Und du solltest lieber nicht vergessen, was ich f黵 dich getan habe ...;;ib閞ale! Ahora, no olvides lo que hice por ti...;;;;;;;;;x
EVTOPTB_ZE_22300;王侯将相宁有种乎！跟他一起去地牢吧！;Son sang bleu ne change rien. Emmenez-le au cachot?;Adliger Herkunft zu sein ist bedeutungslos. In den Kerker mit ihm!;;Ser de cuna noble no significa nada.  los calabozos con 閘!;;;;;;;;;x
EVTDESC_ZE_22400;在一场格外激烈的枢密院争论中，正当你快要出丑时，[target_saved_voter.GetTitledFirstName]走进来了。[target_saved_voter.GetSheHeCap]不仅可以为你的观点争辩从而挽回你的掩面，而且还能为你赢得这场争论！显然[target_saved_voter.GetFirstName]的巧舌如簧是你成功的唯一原因，而否认这一点或许会使你声誉不佳。;Lors d'une discussion particuli鑢ement houleuse au Conseil, [target_saved_voter.GetTitledFirstName] a pris la parole alors que vous alliez vous ridiculiser. [target_saved_voter.GetSheHeCap] a pu faire valoir vos positions, vous 関itant le ridicule et parvenant ?convaincre les autres membres en votre faveur? Il est 関ident que l'閘oquence de [target_saved_voter.GetFirstName] est la seule raison de votre succ鑣 et nier l'関idence vous ferait passer pour un mufle.;W鋒rend einer besonders hitzigen Debatte im Rat bewahrte Euch [target_saved_voter.GetTitledFirstName] im letzten Moment davor, Euch zum Narren zu machen. [target_saved_voter.GetSheHeCap] setzte sich f黵 Euren Standpunkt ein, wodurch Ihr Euer Gesicht wahren und sogar die Streitfrage zu Euren Gunsten entscheiden konntet! Die Wortgewandtheit von [target_saved_voter.GetFirstName] war unbestreitbar der einzige Grund f黵 Euren Erfolg, und dies nicht anzuerkennen, w黵de Euch sicherlich in einem schlechten Licht erscheinen lassen.;;Durante una acalorada discusi髇 en el consejo, [target_saved_voter.GetTitledFirstName] intervino cuando estabas a punto de quedar en rid韈ulo. target_saved_voter.GetSheHeCap] fue capaz defender tu argumento, no s髄o salvar tu prestigio, sino tambi閚 ganar la discusi髇 para ti! Es obvio que la labia de [target_saved_voter.GetFirstName] ha sido la 鷑ica raz髇 de tu 閤ito, y negar el hecho probablemente te dejar韆 en mal lugar.;;;;;;;;;x
EVTOPTA_ZE_22400;谢谢！我确实欠你一回！;Merci? Je vous suis redevable?;Habt Dank! Ich stehe wirklich in Eurer Schuld!;;racias! e debo una de verdad!;;;;;;;;;x
EVTOPTB_ZE_22400;我呸！我自己本来能赢得那场争论！;Bah? J'aurais convaincu tout le monde de toute fa鏾n?;Pah! Diese Debatte h鋞te ich auch selbst gewinnen k鰊nen!;;ah! abr韆 ganado ese argumento por m?mismo!;;;;;;;;;x
EVTDESC_ZE_22410;在枢密院争辩不休时, 你走了进来, [From.GetBestName] 感觉 [From.GetHerselfHimself] 受了愚弄. 在你帮助下 [From.GetHerHim] 赢了辩论. 这是很好的手段, 现在 [From.GetSheHe] 欠你一份人情!;Lors d'une discussion particuli鑢ement houleuse au Conseil, vous avez pris le relais alors que [From.GetBestName] se ridiculisait. Vous avez ainsi r閡ssi ?apaiser le d閎at et fait valoir sa position, une id閑 qui s'est av閞閑 excellente puisqu'[From.GetSheHe] estime dor閚avant avoir une dette envers vous?;W鋒rend einer besonders hitzigen Debatte im Rat konntet Ihr [From.GetBestName] davor bewahren, sich zum Narren zu machen. Ihr konntet alle Beteiligten beschwichtigen und die Streitfrage zu Gunsten von [From.GetBestName] entscheiden. Dies erwies sich als gro遝r Vorteil f黵 Euch, da [From.GetSheHe] nun in Eurer Schuld steht!;;Durante una acalorada discusi髇 en el consejo, interviniste cuando [From.GetBestName] estaba a punto de ponerse [From.GetHerselfHimself] en rid韈ulo. as conseguido de calmar a los polemistas y ganar el argumento para [From.GetHerHim]! sto result?ser un gran movimiento de tu parte, ya que ahora [From.GetSheHe] se siente en deuda contigo! ;;;;;;;;;x
EVTOPTA_ZE_22410;现在，何时需要帮忙....;Bien, reste ?savoir quand user de cette faveur...;Wann werdet Ihr diesen Gefallen wohl einfordern ...;;Ahora, cuando reclamar el favor...;;;;;;;;;x
EVTDESC_ZE_22420;在枢密院争辩不休时, 你走了进来, [From.GetBestName] 感觉 [From.GetHerselfHimself] 受了愚弄. 在你帮助下 [From.GetHerHim] 赢了辩论. 这激怒了 [From.GetHerHim],  [From.GetSheHe] 想依靠 [From.GetHerHis] 的能力赢得辩论! 这样等于公开羞辱 [From.GetFirstName].;Lors d'une discussion particuli鑢ement houleuse au Conseil, vous avez pris le relais alors que [From.GetBestName] se ridiculisait. Vous avez ainsi r閡ssi ?apaiser le d閎at et fait valoir sa position, mais [From.GetSheHe] est n閍nmoins de mauvaise humeur. [From.GetSheHeCap] voulait convaincre le monde de son propre chef? Pareille crise en public a jet?l'opprobre sur [From.GetFirstName].;W鋒rend einer besonders hitzigen Debatte im Rat konntet Ihr [From.GetBestName] davor bewahren, sich zum Narren zu machen. Ihr konntet alle Beteiligten beschwichtigen und die Streitfrage zu Gunsten von [From.GetBestName] entscheiden. Dies erz黵nte [From.GetBestName] jedoch, da [From.GetSheHe] die Debatte selbst f黵 sich entscheiden wollte! Dieser Wutanfall machte [From.GetFirstName] in aller 謋fentlichkeit zum Gesp鰐t.;;Durante una acalorada discusi髇 en el consejo, interviniste cuando[From.GetBestName] estaba a punto de ponerse [From.GetHerselfHimself] en rid韈ulo. Has conseguido de calmar a los polemistas y ganar el argumento para [From.GetHerHim]. unque esto s髄o [From.GetHerHim] enfureci? pues [From.GetSheHe] quer韆 ganar la discusi髇 por [From.GetHerHis] propios medios! Montar tal berrinche este ha avergonzado p鷅licamente a [From.GetFirstName]. ;;;;;;;;;x
EVTOPTA_ZE_22420;忘恩负义是这个世界的奖励;L'ingratitude est bien trop commune en ce monde.;Undank ist der Welten Lohn.;;El mundo nos paga con ingratitud.;;;;;;;;;x
